N	3gram	Berdyaev_N	StatiiOP
1	в том что	1	47
2	о том что	1	29
3	до сих пор	1	19
4	с другой стороны	2	13
5	во всяком случае	1	13
6	не может быть	4	11
7	вместе с тем	2	9
8	можно было бы	1	9
9	не только в	1	8
10	не в том	1	7
11	в то время	1	7
12	так же как	2	6
13	в этом смысле	2	6
14	я думаю что	1	6
15	в том смысле	1	6
16	вопрос о том	2	6
17	то время как	1	5
18	но и в	1	5
19	в том чтобы	1	5
20	то что в	1	5
21	то что он	1	4
22	сами по себе	1	4
23	с одной стороны	2	4
24	жизни и творчества	1	4
25	начала xix века	1	4
26	это не значит	2	3
27	только потому что	1	3
28	в том числе	1	3
29	совершенно так же	1	3
30	не значит что	3	3
31	и пр в	1	3
32	в наше время	3	3
33	это связано с	1	3
34	и не в	1	3
35	в известном смысле	1	3
36	в значительной степени	1	3
37	в эту эпоху	1	2
38	что в новом	1	2
39	но я не	1	2
40	в зависимости от	1	2
41	совсем не в	2	2
42	том числе и	1	2
43	и вместе с	1	2
44	в отличие от	1	2
45	что в этом	1	2
46	а не в	1	2
47	вообще не существует	1	2
48	на протяжении всей	1	2
49	он не может	2	2
50	я не могу	1	2
51	что в нем	2	2
52	и в наши	1	2
53	как и в	1	2
54	в этой системе	1	1
55	другой же стороны	1	1
56	не существует что	1	1
57	как будто бы	1	1
58	в последние годы	1	1
59	не только потому	1	1
60	к одному из	1	1
61	в большинстве случаев	1	1
62	вполне возможно что	1	1
63	мы говорим о	1	1
64	истории как и	1	1
65	в том и	2	1
66	истории и к	1	1
67	для себя и	1	1
68	как я уже	1	1
69	смысле в каком	1	1
70	он не имеет	2	1
71	в том случае	1	1
72	в такой же	1	1
73	чтобы понять смысл	1	1
74	в наши дни	3	1
75	в то что	1	1
76	не было и	1	1
77	потому что не	1	1
78	в высшей степени	6	1
79	это значит что	1	1
80	никогда не было	2	1
81	имея в виду	1	1
82	и не может	1	1
83	быть не может	1	1
84	не знает что	1	1
85	и потому что	1	1
86	место в жизни	1	1
87	с общественным мнением	1	1
88	а не человек	1	1
89	к вопросу о	1	1
90	xix века и	2	1
91	значит что в	2	1
92	есть такой же	1	1
93	что совершается в	1	1
94	то что совершается	1	1
95	и быть не	1	1
96	с другой же	1	1
97	том смысле в	1	1
98	том что нет	1	1
99	должно было быть	1	1
100	большую роль в	2	1
101	не быть в	1	1
102	и духовной жизни	1	1
103	же как и	1	1
104	не могут быть	1	1
105	себе и в	1	1
106	пустое место в	1	1
107	ни в чем	1	1
108	а не для	1	1
109	к жизни и	1	1
110	и замечательно что	1	1
