N	3gram	Voloshinov	PoTuStor
1	с точки зрения	5	6
2	на самом деле	1	4
3	с самого начала	2	4
4	не может быть	4	3
5	может быть это	1	3
6	мы полагаем что	1	3
7	все то что	1	2
8	на две группы	1	2
9	в конечном счете	1	2
10	так же как	1	2
11	в самом деле	2	2
12	нам кажется что	1	2
13	в том что	2	1
14	и связанных с	1	1
15	мы не можем	1	1
16	не что иное	2	1
17	и его школа	1	1
18	что иное как	2	1
19	не чем иным	2	1
20	подобно тому как	1	1
21	ничего общего не	1	1
22	существует только в	1	1
23	можно было бы	1	1
24	мы утверждаем что	1	1
25	мы должны перейти	1	1
26	в данном случае	2	1
27	в этот момент	1	1
28	роковую роль в	1	1
29	есть прежде всего	3	1
30	него все то	1	1
31	чем иным как	2	1
32	не может иметь	1	1
33	и т.п и	3	1
34	этой точки зрения	1	1
35	с этой точки	1	1
36	то же самое	1	1
37	для того чтобы	1	1
38	в разных местах	1	1
39	с одной стороны	2	1
40	в этом отношении	1	1
41	нужно отметить что	1	1
42	в связи с	1	1
