N	4gram	Tiupa_Hudo	Vvedenie
1	той мере в какой	1	6
2	в той мере в	1	6
3	в то же время	7	6
4	не что иное как	1	5
5	и в самом деле	2	3
6	с одной стороны и	1	3
7	в том отношении что	1	3
8	но в то же	1	3
9	есть не что иное	1	3
10	состоит в том что	4	2
11	с этой точки зрения	2	2
12	заключается в том что	1	2
13	и в том отношении	1	2
14	одно и то же	3	2
15	по тем или иным	1	2
16	одного и того же	3	2
17	в том или ином	1	2
18	мере в какой их	1	1
19	одном и том же	1	1
20	в этом втором случае	1	1
21	по отношению к нему	1	1
22	в том что он	2	1
23	в одном и том	1	1
24	в связи с этим	1	1
25	бы то ни было	2	1
26	тем не менее не	1	1
27	то что входит в	1	1
28	специфическом значении этого термина	1	1
29	мы имеем в виду	3	1
30	в той или иной	2	1
31	не может быть и	1	1
32	какой бы то ни	1	1
33	мы имеем дело с	1	1
34	еще и потому что	1	1
35	точно так же как	1	1
