N	3gram	Voloshinov	Tragedij
1	так и в	1	3
2	в том что	1	2
3	в году в	1	2
4	в данном случае	1	2
5	о том что	2	2
6	это желание в	1	1
7	но несмотря на	1	1
8	в применении к	1	1
9	не может быть	3	1
10	еще в году	1	1
11	в известной степени	1	1
12	ни разу не	1	1
13	на противоположном конце	1	1
14	по сравнению с	3	1
15	с самого начала	4	1
16	не могут быть	2	1
17	только на путях	1	1
18	в высшей степени	1	1
19	в связи с	1	1
20	в самом деле	2	1
21	во всяком случае	3	1
22	в этой борьбе	1	1
23	если б я	1	1
24	на вопрос о	1	1
25	это и есть	1	1
26	и в этом	2	1
