N	2gram	Ircho_Kome	Otkroven
1	у него	6	22
2	и в	40	19
3	и не	19	13
4	но и	14	13
5	в этом	9	12
6	человека в	2	11
7	а не	1	11
8	не только	12	11
9	не в	8	11
10	может быть	16	11
11	вопрос о	5	10
12	и все	4	10
13	в нем	8	10
14	к человеку	2	9
15	потому что	8	9
16	прежде всего	8	9
17	не было	1	9
18	в самой	2	9
19	и он	1	8
20	он был	4	8
21	от него	1	7
22	ни с	1	7
23	в его	8	7
24	он не	5	7
25	но он	2	7
26	до конца	3	7
27	человеческой личности	1	6
28	все это	7	6
29	как и	12	6
30	в самом	5	5
31	в том	19	5
32	для него	1	5
33	него в	1	5
34	в этой	9	5
35	а в	9	5
36	до самого	3	5
37	отношение к	3	5
38	о его	5	5
39	то что	8	5
40	человеку и	2	5
41	что в	12	4
42	того чтобы	4	4
43	грани и	1	4
44	т е	14	4
45	не может	3	4
46	что не	1	4
47	в самую	1	4
48	все эти	1	4
49	и его	17	4
50	с его	4	4
51	в русской	1	3
52	и от	2	3
53	до самой	1	3
54	все что	3	3
55	чем на	2	3
56	и вот	4	3
57	хотя бы	2	3
58	это не	2	3
59	для того	3	3
60	с ним	1	3
61	когда он	1	3
62	легенде о	1	3
63	в этих	5	3
64	не могут	1	3
65	в своих	2	3
66	как бы	3	3
67	было бы	8	3
68	человека его	1	3
69	могут быть	3	3
70	в себе	3	3
71	что он	11	3
72	никто не	3	3
73	это было	5	3
74	и ее	5	3
75	о том	12	3
76	того что	1	3
77	к нему	5	3
78	еще не	7	3
79	всего в	5	2
80	человека к	1	2
81	и к	2	2
82	природы в	1	2
83	и потому	1	2
84	так и	17	2
85	что они	4	2
86	и против	1	2
87	в душе	1	2
88	все же	7	2
89	что у	6	2
90	не могли	2	2
91	так как	6	2
92	и очень	2	2
93	при чтении	1	2
94	за все	1	2
95	на западе	1	2
96	к этой	1	2
97	раз уже	1	2
98	даже и	1	2
99	к ней	2	2
100	его не	1	2
101	и ни	1	2
102	уже в	9	2
103	любовь к	1	2
104	в другом	5	2
105	совсем не	2	2
106	так что	6	2
107	в своем	6	2
108	в этот	1	2
109	с тем	5	2
110	и из	2	2
111	в которой	9	2
112	ее в	2	2
113	о которой	1	2
114	не все	2	2
115	и этим	1	2
116	одно из	1	2
117	что и	10	2
118	которую он	3	2
119	потребность в	1	2
120	в истории	10	2
121	его в	6	2
122	должен был	1	2
123	ко всем	1	2
124	и с	8	2
125	что же	2	2
126	то к	1	2
127	и там	1	2
128	он в	1	2
129	и о	3	2
130	сказать что	1	2
131	что для	1	2
132	тем что	5	2
133	него не	1	2
134	из всего	2	2
135	и на	9	2
136	сложнее и	1	2
137	в других	3	2
138	же можно	1	2
139	что все	1	2
140	ничего не	4	2
141	хотя и	6	2
142	в своей	3	2
143	все еще	1	2
144	жизни в	1	2
145	по себе	2	2
146	не имеет	1	2
147	к этому	8	2
148	ни у	1	2
149	сразу же	5	2
150	же это	1	2
151	самого конца	3	2
152	том что	19	2
153	от человека	1	2
154	и для	4	2
155	в ее	2	2
156	подойти к	1	2
157	но в	6	2
158	и нет	1	2
159	вокруг которого	1	1
160	было у	1	1
161	чтобы сделать	1	1
162	него из	1	1
163	и мир	2	1
164	ближе к	1	1
165	во всем	1	1
166	к одному	1	1
167	ничего но	1	1
168	в каждом	2	1
169	одно время	1	1
170	богатого и	1	1
171	не подходит	1	1
172	во всяком	4	1
173	не так	1	1
174	бросается в	1	1
175	человек может	1	1
176	ко всему	2	1
177	всегда является	1	1
178	во внешнем	1	1
179	совершенно не	1	1
180	попадает в	1	1
181	том случае	1	1
182	то он	1	1
183	в бытовом	1	1
184	для его	1	1
185	а с	1	1
186	это конечно	1	1
187	все его	1	1
188	и других	7	1
189	один из	9	1
190	начало в	1	1
191	которым он	1	1
192	в котором	6	1
193	и здесь	6	1
194	та же	1	1
195	из сторон	1	1
196	после этого	3	1
197	приносит нам	1	1
198	он понимал	1	1
199	мир в	1	1
200	они и	1	1
201	любой из	1	1
202	толстого и	1	1
203	после того	3	1
204	которым можно	1	1
205	не имеют	1	1
206	за судьбу	1	1
207	человека не	1	1
208	случае если	1	1
209	он выступает	2	1
210	но о	1	1
211	того как	3	1
212	к одной	1	1
213	в братьях	1	1
214	собой в	2	1
215	его с	2	1
216	мы не	4	1
217	человек совершает	1	1
218	каждый может	1	1
219	больше всего	2	1
220	ли так	1	1
221	ее у	1	1
222	поток и	1	1
223	не приходит	1	1
224	еще больше	1	1
225	творчестве в	1	1
226	быть сопоставлен	1	1
227	еще более	2	1
228	также и	1	1
229	ту же	2	1
230	но не	3	1
231	отношениях к	1	1
232	по сравнению	1	1
233	из жизни	1	1
234	не по	5	1
235	представляет собой	1	1
236	но всегда	1	1
237	быть не	1	1
238	оба они	1	1
239	от которого	1	1
240	в ней	2	1
241	у самого	1	1
242	из всех	2	1
243	и своим	1	1
244	что это	5	1
245	в отношениях	1	1
246	была поставлена	2	1
247	и тогда	1	1
248	этом отношении	3	1
249	один человек	1	1
250	может служить	2	1
251	всяком случае	4	1
252	с трудом	1	1
253	о чем	2	1
254	в сущности	3	1
255	действующих лиц	8	1
256	из которой	2	1
257	в судьбе	1	1
258	сам по	1	1
259	его собственным	1	1
260	только их	1	1
261	в частности	7	1
262	как это	7	1
263	о нем	1	1
264	между двумя	1	1
265	народа и	1	1
266	и больше	1	1
267	всего написанного	1	1
268	только один	2	1
269	с утра	1	1
270	что только	1	1
271	на нем	2	1
272	со всей	1	1
273	богов а	1	1
274	как у	1	1
275	со стороны	3	1
276	своих героев	1	1
277	в которую	1	1
278	в науке	1	1
279	видеть в	2	1
280	что люди	1	1
281	не с	1	1
282	отношении к	1	1
283	с до	1	1
284	до вечера	1	1
285	за собой	3	1
286	всего его	1	1
287	ты не	1	1
288	и что	2	1
289	в одном	10	1
290	силы в	1	1
291	на самом	1	1
292	народ в	1	1
293	у нас	3	1
294	в отношении	6	1
295	можно было	5	1
296	никто еще	1	1
297	людей и	1	1
298	же не	2	1
299	бы и	1	1
300	и бесконечных	1	1
301	и это	3	1
302	это подтверждается	1	1
303	смысле этого	1	1
304	там и	1	1
305	и когда	1	1
306	доходит до	1	1
307	с их	4	1
308	сторон и	2	1
309	тысячи лет	1	1
310	и страх	1	1
311	утра до	1	1
312	по содержанию	5	1
313	свою тайну	3	1
314	не вполне	2	1
315	иначе чем	1	1
316	по своей	2	1
317	от того	3	1
318	дело доходит	1	1
319	в форму	2	1
320	его образ	1	1
321	с кем	1	1
322	в них	7	1
323	у нее	2	1
324	нужна была	1	1
325	вопрос об	1	1
326	в форме	2	1
327	целью чтобы	1	1
328	говорит он	1	1
329	связь с	2	1
330	было и	1	1
331	берегах а	1	1
332	и всех	1	1
333	видно что	1	1
334	что нет	1	1
335	было сделать	1	1
336	не случайно	1	1
337	и даже	5	1
338	в борьбе	1	1
339	в глаза	1	1
340	этот период	1	1
341	он еще	1	1
342	всегда и	1	1
343	если бы	4	1
344	от всех	1	1
345	ii в	4	1
346	и формы	2	1
347	и более	2	1
348	самим собой	1	1
349	с ними	2	1
350	и сам	5	1
351	почему же	1	1
352	с гордостью	2	1
353	своих целей	1	1
354	представляется ему	1	1
355	или лучше	1	1
356	человек а	1	1
357	и можно	2	1
358	среди них	1	1
359	будто бы	2	1
360	в виду	2	1
361	в силу	4	1
362	самом начале	3	1
363	на этот	5	1
364	права на	1	1
365	их взаимоотношения	1	1
366	которого они	1	1
367	из самых	2	1
368	места в	1	1
369	дано было	1	1
370	его творчества	4	1
371	и эта	1	1
372	в эпоху	1	1
373	к каким	1	1
374	его как	1	1
375	отношения к	1	1
376	тем же	2	1
377	как против	1	1
378	и каждый	1	1
379	от которой	2	1
380	ведет к	1	1
381	не делает	1	1
382	ее как	1	1
383	это два	1	1
384	над его	1	1
385	бы он	1	1
386	сказать в	1	1
387	в конце	7	1
388	указывает на	2	1
389	например в	1	1
390	в жизни	1	1
391	что иной	1	1
392	находится в	2	1
393	и почему	1	1
394	захватывает и	1	1
395	в сферу	1	1
396	их было	2	1
397	с той	2	1
398	и без	3	1
399	как от	1	1
400	и как	3	1
401	совершенно исключительное	1	1
402	то в	1	1
403	этих словах	1	1
404	в голову	1	1
405	все время	2	1
406	к его	3	1
407	в сознании	4	1
408	приходит в	1	1
409	что она	3	1
410	жизни и	4	1
411	всю жизнь	1	1
412	одна из	4	1
413	для своих	1	1
414	кем и	1	1
415	в мире	3	1
416	свои силы	1	1
417	в разных	1	1
418	одном из	4	1
419	и прежде	1	1
420	в одно	1	1
421	который в	2	1
422	как в	8	1
423	этого слова	1	1
424	как будто	3	1
425	в совершенно	1	1
426	речь о	2	1
427	даже до	1	1
428	на то	3	1
429	стремлением к	1	1
430	но у	1	1
431	лица в	1	1
432	от этого	2	1
433	в народном	7	1
434	может привести	1	1
435	и я	2	1
436	трагедии и	1	1
437	нуждается в	2	1
438	слишком много	1	1
439	отличается от	1	1
440	что во	1	1
441	да и	5	1
442	творчества это	1	1
443	ли он	1	1
444	у одного	1	1
445	бы от	1	1
446	возможности для	1	1
447	сравнению с	1	1
448	интерес к	2	1
449	но это	2	1
450	в эти	2	1
451	и после	3	1
452	природой и	1	1
453	в это	3	1
454	женщины и	1	1
455	из него	1	1
456	чтобы не	1	1
457	но там	2	1
458	любви и	1	1
459	ничего нет	1	1
460	его творчество	3	1
461	само по	1	1
462	к которой	1	1
463	из них	16	1
464	что их	1	1
465	вовсе не	3	1
466	и бесконечные	1	1
467	доступ к	1	1
468	в одной	1	1
469	нее не	1	1
470	и дал	1	1
471	это была	2	1
472	особенно в	1	1
473	с какими	1	1
474	мира в	5	1
475	все внимание	1	1
476	и самый	1	1
477	бы ни	1	1
478	бы в	3	1
479	поэтому он	1	1
480	отметить что	1	1
