N	3gram	Vinokur_St	EvropaiC
1	в том что	29	16
2	до сих пор	12	15
3	по отношению к	3	11
4	с точки зрения	10	8
5	более или менее	2	8
6	а между тем	2	8
7	на то что	5	7
8	для того чтобы	13	7
9	на самом деле	7	7
10	друг от друга	1	6
11	сих пор не	1	5
12	по сравнению с	1	5
13	в самом деле	7	5
14	так или иначе	3	5
15	к тому же	2	5
16	не может быть	5	4
17	о том что	19	4
18	и без того	1	4
19	тот факт что	5	4
20	тем не менее	4	4
21	совершенно так же	1	4
22	с другой стороны	8	4
23	в том случае	1	4
24	в конце концов	2	4
25	в этом случае	3	4
26	в этой области	5	4
27	может быть и	2	4
28	вместе с тем	2	3
29	заключается в том	4	3
30	в целом ряде	1	3
31	в том же	3	3
32	в настоящее время	2	3
33	таким образом в	1	3
34	нечего и говорить	1	3
35	так же как	5	3
36	то ни было	1	3
37	в данном случае	7	3
38	и то что	2	3
39	не может не	1	3
40	бы то ни	2	3
41	в вопросе о	1	2
42	ответить на вопрос	1	2
43	в том и	1	2
44	во всяком случае	8	2
45	во всех этих	1	2
46	что же касается	3	2
47	он не может	1	2
48	как и в	2	2
49	в то время	2	2
50	в то же	5	2
51	ничего общего с	3	2
52	а с другой	1	2
53	что при таких	1	2
54	том что он	6	2
55	принять во внимание	1	2
56	в высшей степени	1	2
57	то что у	2	2
58	из того же	1	2
59	но все же	3	2
60	только то что	1	2
61	в такой форме	1	2
62	с одной стороны	2	2
63	то же время	5	2
64	при таких условиях	1	2
65	и в том	3	2
66	не только по	1	1
67	но кто знает	1	1
68	а может быть	1	1
69	за то что	5	1
70	что и для	1	1
71	этому требованию и	1	1
72	по этому поводу	4	1
73	мысль о том	1	1
74	для борьбы с	1	1
75	на своем пути	1	1
76	дело только в	1	1
77	в одну кучу	1	1
78	а на самом	1	1
79	в его собственной	2	1
80	как и вообще	2	1
81	этой области не	1	1
82	к тому времени	2	1
83	из двух или	1	1
84	в ту же	1	1
85	по крайней мере	2	1
86	того что именно	2	1
87	и в другом	1	1
88	лишь те которые	1	1
89	этой работы и	1	1
90	в одно целое	1	1
91	этом у нас	1	1
92	том что как	1	1
93	как будто должно	1	1
94	но в целом	2	1
95	больше чем у	1	1
96	а потому не	1	1
97	это может быть	1	1
98	точно так же	2	1
99	к одному из	1	1
100	в том числе	3	1
101	только в том	3	1
102	во внимание что	1	1
103	то что для	1	1
104	все же будет	1	1
105	том и другом	1	1
106	и все это	1	1
107	в виду следующие	1	1
108	за последнее время	1	1
109	не в том	3	1
110	только с точки	1	1
111	свидетельствует о том	1	1
112	но и с	2	1
113	тем более что	2	1
114	этот вопрос в	2	1
115	как общее правило	1	1
116	что у него	1	1
117	говоря уже о	2	1
118	лишь то что	1	1
119	трудно видеть что	1	1
120	не говоря уже	2	1
121	во многих отношениях	1	1
122	и некоторые другие	1	1
123	в то ее	1	1
124	прямого отношения к	1	1
125	малейшего намека на	1	1
126	указание на то	1	1
127	более что он	1	1
128	что она исходит	1	1
129	может не быть	1	1
130	я не могу	2	1
131	что он сам	1	1
132	каких бы то	1	1
133	на точку зрения	2	1
134	дело в том	7	1
135	иметь в виду	2	1
136	о том кто	2	1
137	смысле этого слова	1	1
138	одно и то	1	1
139	не трудно видеть	1	1
140	в лучшем случае	1	1
141	в зависимости от	2	1
142	в приложении к	1	1
143	в то что	1	1
144	точку зрения в	2	1
145	лишь о том	1	1
146	том числе и	2	1
147	и для самого	1	1
148	том же духе	1	1
149	можно было бы	8	1
150	в начале своей	1	1
151	к концу этого	1	1
152	если бы все	1	1
153	или лучше сказать	2	1
154	и таким образом	1	1
155	и это не	1	1
156	надо сказать что	1	1
157	в результате которой	1	1
158	как бы он	1	1
159	целом ряде случаев	1	1
160	как бы ни	2	1
161	судя по его	1	1
162	что в таком	1	1
163	в голову не	1	1
164	так что в	1	1
165	а в том	1	1
166	и в голову	1	1
167	уже и сейчас	1	1
168	с самого начала	3	1
169	и то же	1	1
170	в народных массах	1	1
171	потому чтобы я	1	1
172	не только не	2	1
173	хотя бы в	1	1
174	русской истории и	2	1
175	но именно в	1	1
176	бы может быть	1	1
177	может быть признана	1	1
178	одно из двух	1	1
179	самого себя и	1	1
180	также и то	1	1
181	отсюда как будто	1	1
182	надо иметь в	1	1
183	уже о том	2	1
184	то обстоятельство что	3	1
185	самое простое и	1	1
186	у каждого своя	1	1
187	том что так	1	1
188	ясно что и	1	1
189	а не в	1	1
190	в один общий	1	1
191	и проч все	1	1
192	между тем в	1	1
193	должна была бы	4	1
194	и в ту	1	1
195	с тех пор	1	1
196	к тому что	4	1
197	по его мнению	1	1
198	таким образом этот	1	1
199	вместо того чтобы	1	1
200	но с этим	1	1
201	встать на точку	1	1
202	не только с	2	1
203	представление о том	1	1
204	при помощи этой	1	1
205	никогда не было	1	1
206	совершенно отказаться от	1	1
207	на эти темы	1	1
208	не потому чтобы	1	1
209	в равной мере	2	1
210	сих пор еще	1	1
211	то время как	1	1
212	и не может	1	1
213	но с другой	2	1
214	именно в том	1	1
215	и не имеет	1	1
