N	4gram	Vygotskiy_	Stilisti
1	в то же время	1	7
2	одно и то же	3	5
3	одной и той же	5	4
4	все больше и больше	2	2
5	не что иное как	1	2
6	одном и том же	3	2
7	но для того чтобы	1	2
8	и то же слово	1	2
9	вместе с тем и	2	2
10	в зависимости от того	1	2
11	одну и ту же	1	2
12	в то же самое	1	2
13	то же самое время	1	2
14	есть не что иное	1	2
15	и тем самым не	1	1
16	с другой стороны развитие	1	1
17	как мы видели не	1	1
18	как мы увидим ниже	1	1
19	так и по отношению	1	1
20	в том и другом	2	1
21	значений в зависимости от	1	1
22	и по отношению к	1	1
23	по сравнению с его	1	1
24	остается тем же самым	1	1
25	то же самое происходит	1	1
26	в той же мере	2	1
27	не связанных между собой	1	1
28	но вместе с тем	2	1
29	и не может быть	2	1
30	которой как мы видели	1	1
31	имеет первостепенное значение для	1	1
32	как по отношению к	1	1
33	одним и тем же	2	1
34	нет и не может	2	1
35	речи но все же	1	1
36	об одном и том	3	1
37	одного и того же	3	1
38	в одной и той	3	1
39	в собственном смысле слова	1	1
40	внутренней и внешней речи	1	1
41	с самого начала своего	1	1
