N	2gram	Voloshinov	Myslijsy
1	и в	3	121
2	может быть	1	107
3	и не	1	73
4	не только	1	67
5	а не	1	67
6	в языке	1	60
7	но и	1	59
8	то же	1	56
9	если бы	1	53
10	не может	4	52
11	для него	1	28
12	в то	1	24
13	не менее	1	21
14	в ней	1	20
15	из этих	1	19
16	точки зрения	1	17
17	в его	1	17
18	и на	1	16
19	к тому	1	16
20	с другими	1	15
21	связи с	1	14
22	же время	1	14
23	и все	1	13
24	в каждом	1	12
25	мы видим	1	10
26	бы в	1	10
27	тому что	1	10
28	один из	2	9
29	с точки	1	9
30	не из	1	8
31	язык как	1	7
32	языка как	1	7
33	несмотря на	1	7
34	художественного произведения	1	6
35	на нее	1	6
36	сравнении с	1	5
37	если в	2	5
38	можно назвать	1	5
39	влияния на	1	4
40	он в	1	4
41	себе все	1	3
42	вопрос что	1	3
43	лежащие в	1	3
44	как искусство	1	3
45	ничего кроме	1	3
46	грамматических категорий	1	3
47	речь и	1	3
48	его от	1	2
49	в системе	1	2
50	и заставляет	1	2
51	деятельности в	1	2
52	именно с	1	2
53	и должно	1	2
54	по своим	1	2
55	истории но	1	2
56	себя от	1	2
57	нуждаются в	1	2
58	исходя из	1	2
59	нет и	1	2
60	бы на	1	2
61	с теми	1	2
62	тех же	1	2
63	при сравнении	1	2
64	во второй	1	2
65	может и	1	2
66	в особенности	1	1
67	можно и	1	1
68	в выборе	1	1
69	произведения но	1	1
70	ее решения	1	1
71	и лингвистики	1	1
72	о формах	1	1
73	и можно	1	1
74	теми или	1	1
75	важность этой	1	1
76	значительное количество	1	1
77	может не	1	1
78	так называемая	1	1
79	понятно не	1	1
80	сил которые	1	1
81	лучше всего	1	1
82	от связи	1	1
83	литературного языка	1	1
84	и тому	1	1
85	явление если	1	1
86	если один	1	1
87	тому подобных	1	1
88	с самых	1	1
