N	3gram	Nazirov_Tr	Russkaja
1	то же время	5	10
2	в то же	5	10
3	в том что	2	7
4	во всяком случае	1	6
5	а между тем	1	5
6	не может быть	1	4
7	в конце концов	1	3
8	в данном случае	2	3
9	в этом случае	1	3
10	и то что	1	3
11	и не может	1	3
12	что он не	1	2
13	точно так же	2	2
14	о том что	2	2
15	не только к	1	2
16	к тому что	1	2
17	и вместе с	1	2
18	но при этом	1	1
19	в самом деле	1	1
20	народ может быть	1	1
21	и как бы	2	1
22	и в частности	2	1
23	за то что	1	1
24	смысле этого слова	1	1
25	но в то	2	1
26	в этом состоит	1	1
27	и должно быть	1	1
28	самое большее что	1	1
29	отнюдь не является	1	1
30	одна из тех	1	1
31	в борьбе за	1	1
32	с самого начала	1	1
33	никогда не был	1	1
34	в связи с	1	1
35	и все же	1	1
36	не только сам	1	1
37	что все это	1	1
38	тем не менее	1	1
39	но все же	2	1
40	несмотря на все	1	1
41	в такое время	1	1
42	прежде всего необходимо	1	1
43	в применении к	1	1
44	это и есть	1	1
45	и в этом	1	1
