N	2gram	Tiupa_Disk	Komedia
1	и в	27	77
2	и не	25	47
3	в том	29	44
4	том что	27	42
5	о том	12	33
6	в г	2	33
7	едва ли	2	32
8	но и	22	32
9	может быть	29	30
10	из них	6	29
11	таким образом	4	29
12	в то	8	28
13	и его	4	28
14	в этом	29	27
15	потому что	7	27
16	что он	6	26
17	к тому	6	26
18	тому же	5	25
19	не только	36	25
20	вместе с	3	25
21	как и	27	23
22	ни в	7	23
23	что в	8	23
24	в самом	4	22
25	что и	5	22
26	если бы	1	22
27	то же	12	21
28	в конце	1	21
29	так и	14	21
30	а в	5	21
31	в его	9	20
32	к этому	4	19
33	во время	1	19
34	со стороны	17	19
35	в этой	5	18
36	тем что	4	17
37	же время	9	17
38	в нем	16	17
39	еще не	20	17
40	при этом	22	16
41	все же	8	16
42	не менее	6	16
43	сих пор	1	16
44	до нас	2	16
45	он не	4	16
46	действующих лиц	1	16
47	и сам	2	16
48	до сих	1	16
49	не в	8	15
50	в своем	11	15
51	точки зрения	6	15
52	его в	1	15
53	в которой	2	15
54	на себя	2	15
55	между тем	5	15
56	один из	3	15
57	и на	8	15
58	было бы	1	15
59	прежде всего	17	15
60	и с	2	14
61	на протяжении	2	14
62	столь же	6	14
63	к нему	1	14
64	в свою	3	14
65	все это	2	14
66	ли не	3	14
67	об этом	3	14
68	самом деле	2	13
69	о чем	4	13
70	в них	6	13
71	в одном	5	13
72	что она	1	13
73	того же	5	13
74	как раз	1	13
75	мы можем	1	13
76	так что	1	13
77	то что	10	13
78	но в	15	13
79	в котором	7	12
80	с другой	14	12
81	н э	1	12
82	на сцене	2	12
83	несмотря на	1	12
84	хотя и	3	12
85	в качестве	45	12
86	как это	2	12
87	из которых	1	12
88	как в	16	12
89	уже в	2	12
90	в истории	5	12
91	афинской демократии	1	12
92	не по	1	12
93	нового времени	2	12
94	в начале	2	12
95	не может	17	12
96	но не	17	12
97	и даже	4	11
98	с тем	1	11
99	по отношению	13	11
100	наряду с	1	11
101	что его	1	11
102	должны были	1	11
103	речь идет	2	11
104	как мы	2	11
105	на этот	1	11
106	в их	5	11
107	в частности	18	11
108	одного из	5	11
109	с этим	3	10
110	он был	1	10
111	свою очередь	3	10
112	на него	2	10
113	тут же	3	10
114	с одной	12	10
115	к себе	2	10
116	в чем	2	10
117	как бы	9	10
118	и что	2	10
119	и все	5	10
120	более чем	3	10
121	одной из	4	10
122	в глазах	1	10
