N	2gram	Vinokur_Ku	Mirosoze
1	и в	44	97
2	у достоевского	2	94
3	может быть	25	64
4	не только	29	63
5	в этом	31	55
6	но и	13	54
7	он не	4	53
8	а не	17	53
9	в нем	7	49
10	не может	13	49
11	у него	3	47
12	и не	23	39
13	никогда не	2	38
14	в ней	6	37
15	потому что	40	37
16	не было	6	36
17	не в	18	34
18	и есть	3	33
19	для него	2	31
20	не есть	4	30
21	но он	2	30
22	есть лишь	3	30
23	как и	3	29
24	прежде всего	14	29
25	и он	4	27
26	но в	11	27
27	в своей	4	25
28	он был	1	25
29	и это	3	25
30	переходит в	2	24
31	и все	4	24
32	у нас	19	24
33	ведет к	1	23
34	в своем	4	23
35	что в	25	23
36	что он	7	22
37	в самом	20	21
38	достоевского и	2	21
39	в себе	4	20
40	отношение к	2	20
41	в россии	1	19
42	как бы	11	19
43	до конца	3	19
44	в его	16	18
45	любви к	2	17
46	того что	11	17
47	и потому	6	17
48	том что	30	16
49	в том	47	16
50	то что	14	16
51	было бы	28	16
52	достоевского в	1	16
53	и его	8	16
54	быть может	1	15
55	в котором	4	15
56	не был	2	15
57	не знает	4	15
58	в этой	8	15
59	в конце	5	14
60	человек в	1	14
61	она не	1	14
62	нет ничего	1	14
63	те которые	1	14
64	так как	16	14
65	та же	1	13
66	и на	8	13
67	и вот	4	13
68	в русском	14	13
69	привести к	1	12
70	в них	10	12
71	к нему	1	12
72	и у	3	12
73	но не	11	12
74	смысле слова	3	12
75	достоевский в	1	12
76	это не	13	12
77	все это	10	12
78	и к	1	11
79	любовь к	2	11
80	с тем	5	11
81	уже не	13	11
82	хотя бы	19	11
83	в которой	7	11
84	был бы	4	11
85	только в	15	11
86	как в	6	11
87	и там	2	11
88	но это	4	11
89	и для	3	11
90	менее всего	1	11
91	жизни и	1	11
92	достоевского не	1	10
93	то же	12	10
94	так же	8	10
95	для человека	1	10
96	один из	8	10
97	должна быть	6	10
98	не могут	5	10
99	не имеет	6	10
100	это и	6	10
101	связана с	1	10
102	в самой	6	10
103	есть не	2	10
104	все что	1	9
105	в бесах	1	9
106	из самых	1	9
107	к тому	8	9
108	не мог	2	9
109	должно быть	6	9
110	что и	5	9
111	xix века	5	9
112	я не	5	9
113	не будет	1	9
114	он уже	1	9
115	с ним	5	9
116	вместе с	8	9
117	в свою	4	9
118	и во	1	9
119	бы и	6	9
120	есть уже	1	9
121	есть и	1	9
122	а в	7	9
123	лишь в	6	9
124	в этих	5	8
125	и с	11	8
126	тем что	9	8
127	о том	10	8
128	вопрос о	11	8
129	себя в	1	8
130	в дневнике	1	8
131	т е	54	8
132	что не	10	8
133	дневнике писателя	1	8
134	жизнь в	2	8
135	что есть	1	8
136	не так	2	8
137	в отношении	2	8
138	нет в	2	8
139	того чтобы	25	8
140	отношении к	1	8
141	нет и	1	8
142	с его	4	8
143	ничего не	6	8
144	они не	4	8
145	уже в	5	8
146	только и	3	8
147	для того	23	8
148	во всем	1	7
149	в духе	3	7
150	нем есть	1	7
151	в нашем	8	7
152	что все	6	7
153	точки зрения	25	7
154	революции и	2	7
155	она есть	2	7
156	те же	1	7
157	чем в	3	7
158	что она	5	7
159	на этом	4	7
160	от нее	1	7
161	в жизни	1	7
162	отношения к	2	7
163	жизни в	1	7
164	себя и	1	7
165	более чем	1	7
166	мог бы	1	7
167	но если	2	7
168	должен быть	8	7
169	также и	7	7
170	как он	1	7
171	не хотел	1	7
172	к другу	1	6
173	же и	4	6
174	самого себя	1	6
175	с этой	4	6
176	не как	2	6
177	было в	2	6
178	увидим что	2	6
179	и те	1	6
180	всего в	2	6
181	что у	3	6
182	его в	1	6
183	к чему	1	6
184	у них	1	6
185	совсем не	1	6
186	можно было	14	6
187	чтобы не	1	6
188	и от	2	6
189	и здесь	8	6
190	что это	11	6
191	или к	1	6
192	это есть	2	6
193	если бы	21	6
194	в которых	8	6
195	бы не	1	6
196	русских писателей	1	6
197	братьях карамазовых	1	6
198	в братьях	1	6
199	в ее	2	6
200	того как	6	6
201	должен был	1	6
202	и более	3	6
203	на все	3	6
204	его не	1	6
205	быть и	1	6
206	россии и	1	6
207	на то	6	6
208	еще не	10	5
209	бы в	8	5
210	которые не	1	5
211	мысли и	1	5
212	одно из	3	5
213	что русский	1	5
214	и как	3	5
215	мысли о	1	5
216	отличается от	2	5
217	с этим	6	5
218	во всяком	8	5
219	для этого	6	5
220	мы увидим	3	5
221	говорит что	1	5
222	до того	2	5
223	перед ним	1	5
224	сказать что	5	5
225	к которому	3	5
226	все время	1	5
227	в атмосфере	2	5
228	момент в	1	5
229	по преимуществу	3	5
230	на протяжении	1	5
231	хочет быть	1	5
232	после того	3	5
233	и вместе	1	5
234	вл соловьева	1	5
235	есть явление	1	5
236	от этого	4	5
237	он знал	1	5
238	сих пор	5	5
239	вопроса о	7	5
240	должны быть	4	5
241	человек который	1	5
242	был в	2	5
243	в то	4	5
244	который был	1	5
245	для чего	1	5
246	когда он	4	5
247	до сих	5	5
248	и этот	1	5
249	они и	1	5
250	интерес к	1	5
251	оно не	5	5
252	и мы	2	5
253	да и	5	5
254	хотел бы	1	5
255	его и	1	5
256	то он	1	5
257	и если	4	5
258	этом пути	1	5
259	жизни это	1	5
260	той же	5	5
261	тот же	7	5
262	человека но	1	5
263	в более	2	5
264	к революции	1	5
265	этот процесс	1	5
266	не для	2	5
267	так и	10	5
268	как у	2	5
269	в их	3	5
270	дневника писателя	1	5
271	xx века	1	5
272	связано с	3	5
273	думать что	1	5
274	как будто	2	5
275	в той	6	4
276	что было	2	4
277	человеческой жизни	1	4
278	к этой	3	4
279	еще более	1	4
280	в разных	2	4
281	на деле	2	4
282	нас в	1	4
283	не хочет	2	4
284	в своих	2	4
285	и даже	5	4
286	отношением к	1	4
