1	не что иное как	3	5
2	есть не что иное	3	5
3	не имеют ничего общего	1	4
4	не имеет ничего общего	1	4
5	до сих пор мы	1	3
6	свидетельствует о том что	1	3
7	дело в том что	13	3
8	имеет ничего общего с	1	3
9	в связи с этим	4	2
10	с одной стороны и	5	2
11	не чем иным как	1	2
12	одним и тем же	2	2
13	заключается в том что	2	2
14	нужно сказать и о	1	2
15	самое нужно сказать и	1	2
16	тем не менее он	1	2
17	то же самое нужно	1	2
18	же самое нужно сказать	1	2
19	в том числе и	17	2
20	по себе и в	1	2
21	в то время как	1	2
22	что в конце концов	1	2
23	одного и того же	3	2
24	то что в них	1	1
25	является одним из самых	1	1
26	в обычном смысле слова	1	1
27	одной стороны и с	1	1
28	и до наших дней	5	1
29	здесь перед нами в	1	1
30	а с другой стороны	2	1
31	перед нами как нечто	1	1
32	взятый сам по себе	1	1
33	как раз то что	1	1
34	никакого отношения к самому	1	1
35	и в том и	1	1
36	не только то что	1	1
37	в литературе и в	3	1
38	мы имеем в виду	5	1
39	в том случае если	1	1
40	и xx веков в	1	1
41	и в то же	12	1
42	понять его именно как	1	1
43	и с другой стороны	1	1
44	ту же самую объективную	1	1
45	в том что в	1	1
46	говорить о том что	1	1
47	одно и то же	1	1
48	в точном смысле слова	1	1
49	в пространстве и времени	1	1
50	в том что все	1	1
51	один и тот же	4	1
52	человека а следовательно и	1	1
53	имеют ничего общего с	1	1
54	и с точки зрения	2	1
55	но как раз это	1	1
56	во всяком случае не	1	1
57	время не может быть	1	1
58	и ни на что	2	1
59	все дело в том	2	1
60	и в настоящее время	2	1
61	и в самом деле	1	1
62	как мы уже сказали	11	1
63	что многие из этих	1	1
64	xix и xx веков	1	1
65	как бы оно ни	2	1
66	он не был бы	1	1
67	и в литературе и	2	1
68	и в данном случае	2	1
69	так же как и	2	1
70	как нечто само собой	1	1
71	сих пор мы рассматривали	1	1
72	той или иной мере	1	1
73	так что в конце	1	1
74	в той или иной	10	1
75	и в другом случае	1	1
76	бы оно ни было	3	1
77	нечто само собой разумеющееся	1	1
78	и не может быть	4	1
79	о том что в	3	1
80	до поры до времени	1	1
81	всегда в той или	3	1
82	есть прежде всего ее	1	1
83	том и в другом	1	1
84	о том как он	1	1
85	литературе и в искусстве	1	1
86	но в то же	20	1
87	на самом же деле	10	1
88	в этом отношении является	1	1
89	и в этом отношении	1	1
90	то есть только в	1	1
91	в том и в	1	1
92	одной и той же	4	1
93	но даже и в	2	1
94	в том или ином	2	1
95	которой можно было бы	2	1
