N	2gram	Berdyaev_M	IolandNe
1	и с	6	3
2	что в	12	2
3	записок из	5	2
4	достоевского а	2	2
5	самого себя	6	2
6	он не	34	2
7	должен быть	4	2
8	творчества достоевского	1	2
9	ничего не	4	2
10	о достоевском	8	2
11	и не	26	2
12	в этом	34	2
13	говорить о	1	1
14	и наказания	2	1
15	все эти	3	1
16	для того	4	1
17	всего творчества	1	1
18	а в	4	1
19	и о	1	1
20	к нам	1	1
21	за границей	1	1
22	как отец	1	1
23	мертвого дома	1	1
24	это было	1	1
25	самого достоевского	2	1
26	у всех	4	1
27	и та	2	1
28	для него	28	1
29	не остается	2	1
30	стали бы	3	1
31	вплоть до	1	1
32	при такой	1	1
33	тех же	1	1
34	тем что	7	1
35	не случайно	1	1
36	только что	1	1
37	бы его	2	1
38	это сам	1	1
39	ибо и	1	1
40	от нее	5	1
41	и чрезвычайно	1	1
42	когда его	1	1
43	не так	6	1
44	теперь я	1	1
45	и др	1	1
46	о жизни	1	1
47	преступления и	4	1
48	жизни и	6	1
49	с другой	1	1
50	но когда	3	1
51	более чем	3	1
52	было не	1	1
53	он с	1	1
54	человеке и	8	1
55	нее и	1	1
56	я не	4	1
57	себя в	6	1
58	и оскорбленных	1	1
59	братья карамазовы	2	1
60	к отцу	1	1
61	достоевского за	1	1
62	произведения и	1	1
63	то и	1	1
64	и еще	3	1
65	если бы	5	1
66	федор павлович	1	1
67	отношению к	4	1
68	смердякова и	1	1
69	и сам	1	1
70	того что	13	1
71	них не	1	1
72	а с	1	1
73	для других	1	1
74	стало быть	1	1
75	только для	1	1
76	из подполья	11	1
77	по поводу	1	1
78	и тот	2	1
79	а также	1	1
80	остается как	1	1
81	так и	5	1
82	свою жену	1	1
83	художественном творчестве	1	1
84	в основе	4	1
85	в значительной	2	1
86	достоевского она	2	1
87	к достоевскому	8	1
88	в федоре	1	1
89	от этого	4	1
90	униженных и	1	1
91	того чтобы	4	1
92	и без	2	1
93	а для	2	1
94	бы в	3	1
95	и ничего	1	1
96	не дает	1	1
97	достоевского с	3	1
98	есть только	2	1
99	и в	61	1
100	его личности	4	1
101	видит в	1	1
102	это был	2	1
103	никогда не	30	1
104	я нисколько	1	1
105	все это	6	1
106	по отношению	4	1
107	со всеми	1	1
108	был человек	2	1
109	нисколько не	1	1
110	как о	1	1
111	в них	5	1
