N	2gram	Ircho_Kome	Poddanst
1	не только	13	17
2	и в	37	14
3	и не	28	12
4	в области	3	11
5	в этом	18	10
6	в отношении	4	10
7	в том	24	9
8	то же	14	9
9	в качестве	4	9
10	но в	7	9
11	хотя бы	5	8
12	в пределах	3	8
13	только в	3	7
14	же время	12	7
15	в то	14	7
16	в ней	7	6
17	было бы	7	6
18	но и	18	6
19	в смысле	2	6
20	может быть	14	5
21	отношении к	1	5
22	с другой	5	5
23	не в	7	5
24	и о	3	5
25	в которых	7	5
26	и к	4	4
27	что в	11	4
28	в котором	6	4
29	по себе	1	4
30	и если	3	4
31	и потому	2	4
32	мы должны	1	4
33	в с	2	4
34	на пути	2	4
35	не может	9	4
36	а в	12	4
37	то что	5	4
38	как бы	7	4
39	если бы	18	4
40	а также	3	4
41	в своем	9	4
42	же в	3	4
43	том что	22	4
44	наряду с	4	3
45	в себе	4	3
46	что мы	4	3
47	ей в	1	3
48	с одной	5	3
49	мы не	6	3
50	это не	3	3
51	одной стороны	4	3
52	для того	9	3
53	между тем	6	3
54	с точки	6	3
55	хотя и	6	3
56	т е	18	3
57	е и	2	3
58	с тем	6	3
59	потому что	19	3
60	прежде всего	7	3
61	вслед за	1	3
62	сводится к	1	3
63	тем самым	1	3
64	о н	1	3
65	но не	9	3
66	могут быть	3	3
67	я и	2	3
68	и т	5	3
69	и как	3	3
70	с ними	1	3
71	столь же	5	3
72	в нем	8	3
73	и без	2	3
74	тот же	11	3
75	точки зрения	8	3
76	с этим	5	2
77	во всех	4	2
78	к началу	3	2
79	именно как	1	2
80	одних и	1	2
81	и это	4	2
82	и других	1	2
83	в полной	1	2
84	и мы	5	2
85	было в	2	2
86	т а	1	2
87	если в	4	2
88	более чем	6	2
89	и вот	3	2
90	том числе	2	2
91	не будем	1	2
92	еще более	4	2
93	по сравнению	3	2
94	эта идея	1	2
95	в ее	3	2
96	и тем	4	2
97	того что	1	2
98	никак не	2	2
99	как раз	9	2
100	в частности	4	2
101	в его	12	2
102	и право	1	2
103	не о	3	2
104	а не	5	2
105	для нас	7	2
106	все это	7	2
107	в которую	1	2
108	говорить о	6	2
109	в тот	1	2
110	для них	1	2
111	где в	1	2
112	и есть	3	2
113	стороны и	4	2
114	в русском	1	2
115	в них	6	2
116	не было	6	2
117	г и	2	2
118	ii в	3	2
119	и с	5	2
120	в начале	5	2
121	как на	1	2
122	полной мере	1	2
123	мысль о	1	2
124	главным образом	2	2
125	она ни	1	2
126	в жизни	1	2
127	отношения к	2	2
128	друг другу	3	2
129	iii в	7	2
130	в последние	2	2
131	взгляда на	1	2
132	помнить что	1	2
133	в силу	2	2
134	в мире	2	2
135	например в	3	2
136	не менее	9	2
137	не столько	3	2
138	думать что	1	2
139	отнюдь не	5	2
140	со стороны	16	2
141	да и	3	2
142	суждений о	1	2
143	в эту	1	2
144	из них	11	2
145	о и	1	2
146	дети и	1	2
147	тем более	9	2
148	образом на	1	2
149	что из	2	2
150	в е	1	2
151	не к	1	2
152	бы ни	1	2
153	в статье	1	2
154	к сожалению	2	1
155	чем к	2	1
156	этих двух	2	1
157	этом стремлении	1	1
158	представить себе	2	1
159	целому ряду	1	1
160	нет ничего	4	1
161	ли они	1	1
162	как к	3	1
163	от нее	5	1
164	во всяком	3	1
165	и тех	1	1
166	могли бы	1	1
167	ни к	1	1
168	был и	1	1
169	собственном смысле	1	1
170	и теперь	2	1
171	находятся в	1	1
