N	2gram	Medvedev_V	Narrotol
1	и не	1	50
2	в частности	1	31
3	и в	2	30
4	в том	2	29
5	в этом	1	28
6	том что	2	28
7	только в	1	25
8	и его	1	14
9	то же	1	13
10	сводится к	1	12
11	и т.д	1	10
12	столь же	1	9
13	потому что	1	9
14	далеко не	1	9
15	в самом	1	8
16	самом деле	1	8
17	в конце	2	7
18	именно в	1	5
19	в другом	1	5
20	я не	1	5
21	по поводу	1	5
22	да и	1	5
23	и то	1	5
24	тем более	1	5
25	этом и	1	5
26	хотя бы	1	4
27	к этому	1	4
28	собственно и	1	4
29	так в	1	4
30	и составляет	1	3
31	на одном	1	3
32	все время	1	3
33	к чему	1	3
34	но это	1	3
35	дело в	1	3
36	и только	1	3
37	другое дело	1	2
38	чего не	1	2
39	время в	1	2
40	ясно что	1	2
41	одно и	1	2
42	даже не	1	2
43	для них	1	2
44	все то	1	2
45	в которых	1	2
46	по своим	1	2
47	более чем	1	2
48	говорится в	1	2
49	все это	1	2
50	в их	1	2
51	говоря о	1	2
52	что слово	1	1
53	здесь достаточно	1	1
54	стоял и	1	1
55	значительной степени	1	1
56	значит и	1	1
57	сколь и	1	1
58	гораздо более	1	1
59	как же	1	1
60	а только	1	1
61	с головой	1	1
62	речи и	1	1
63	их как	1	1
64	по крайней	1	1
65	то я	1	1
66	ни к	1	1
67	в значительной	1	1
68	от других	1	1
69	расположения и	1	1
70	главным образом	1	1
71	так как	1	1
72	а.н веселовский	2	1
73	себе лишь	1	1
74	же с	1	1
75	не хотел	1	1
76	в книге	3	1
77	крайней мере	1	1
