N	2gram	Medvedev_F	Sotsiolo
1	истории литературы	18	10
2	все это	11	7
3	в том	17	5
4	в этом	39	5
5	социологический метод	5	4
6	развития литературы	2	4
7	метод в	8	4
8	не только	14	3
9	как же	1	3
10	не в	16	3
11	и в	54	3
12	и только	5	3
13	социологического метода	7	3
14	но ведь	4	3
15	методологии истории	1	3
16	имманентного изучения	1	3
17	в его	30	3
18	о литературе	9	3
19	для нас	1	3
20	общих принципов	1	2
21	литературы и	6	2
22	что в	10	2
23	ведь это	1	2
24	заключается что	1	2
25	то что	14	2
26	таким образом	28	2
27	том что	3	2
28	или даже	3	2
29	как бы	10	2
30	в результате	8	2
31	было бы	10	2
32	в литературоведении	4	2
33	историка литературы	4	2
34	изучение литературы	1	2
35	в смысле	2	2
36	очевидно что	2	2
37	в частности	4	2
38	сакулина нет	1	2
39	по природе	1	2
40	диалектический материализм	1	2
41	нужно было	2	2
42	но и	18	2
43	конце концов	2	2
44	может быть	30	2
45	идей и	1	2
46	по существу	8	2
47	главным образом	5	2
48	и что	2	2
49	это и	7	2
50	исторической жизни	2	2
51	за пределы	2	2
52	по отношению	4	2
53	и заключается	2	2
54	в конце	2	2
55	как только	1	2
56	отношению к	4	2
57	исторического развития	1	2
58	должна быть	11	2
59	далеко не	2	2
60	тем более	1	2
61	только в	6	2
62	к которому	2	2
63	только как	3	2
64	законы развития	1	2
65	то же	16	2
66	метод и	3	2
67	еще не	6	2
68	базируются на	1	1
69	литературы только	1	1
70	а в	11	1
71	что он	8	1
72	наш автор	2	1
73	и человеком	1	1
74	художественных произведений	5	1
75	образом в	1	1
76	столь же	2	1
77	композиция жанр	1	1
78	психологию эстетику	1	1
79	литературы как	4	1
80	даже в	2	1
81	бы о	1	1
82	на что	1	1
83	стиль в	1	1
84	науки о	4	1
85	литература как	2	1
86	в целом	7	1
87	в силу	1	1
88	вряд ли	2	1
89	и самые	2	1
90	на этот	1	1
91	живого становления	1	1
92	это значит	1	1
93	формы звук	1	1
94	более не	1	1
95	все эти	12	1
96	не один	1	1
97	не было	7	1
98	представить себе	1	1
99	это предварительно	1	1
100	остается в	1	1
101	другие методы	1	1
102	связи с	12	1
103	его исследования	1	1
104	положения в	2	1
105	точке зрения	1	1
106	существу это	1	1
107	только то	1	1
108	целом все	1	1
109	нет а	1	1
110	из путей	1	1
111	не мешает	1	1
112	в своей	16	1
113	где же	1	1
114	изучаемого объекта	3	1
115	что без	1	1
116	во всяком	6	1
117	в мире	4	1
118	и потому	9	1
119	переходим к	1	1
120	дает нам	1	1
121	все же	8	1
122	научной мысли	2	1
123	научного исследования	1	1
124	что это	1	1
125	или не	1	1
126	от друга	2	1
127	на психологию	2	1
128	и лингвистику	1	1
129	можно будет	2	1
130	по крайней	1	1
131	иначе и	1	1
132	с другой	8	1
133	ни на	5	1
134	а тем	1	1
135	и стало	1	1
136	с каким-либо	1	1
137	принципы для	1	1
138	ныне так	1	1
139	вытекающих из	1	1
140	единства и	2	1
141	художественный стиль	1	1
142	с ним	3	1
143	так называемым	2	1
144	какие в	1	1
145	противном случае	2	1
146	между тем	4	1
147	о художественных	1	1
148	как совокупность	1	1
149	именно и	1	1
150	формальный метод	19	1
151	и более	4	1
152	но как	2	1
153	в этой	10	1
154	время в	4	1
155	называемым формальным	2	1
156	из себя	1	1
157	и его	27	1
158	опираясь на	1	1
159	методом по	1	1
160	не должна	7	1
161	перейти к	3	1
162	это по	1	1
163	ли не	1	1
164	звук слово	1	1
165	нашей работы	3	1
166	в данном	2	1
167	социологическому методу	1	1
168	на все	3	1
169	исторической поэтики	3	1
170	теоретическая поэтика	3	1
171	частности практикуются	1	1
172	историко-литературной работы	2	1
173	в области	6	1
174	и по	3	1
175	их на	2	1
176	подвести итоги	1	1
177	история литературы	10	1
178	первый план	1	1
179	выработала теоретическая	1	1
180	с помощью	13	1
181	этом не	2	1
182	один из	4	1
183	так и	24	1
184	в противном	2	1
185	только тогда	1	1
186	в то	14	1
187	полагает что	1	1
188	образ ритм	1	1
189	может не	1	1
190	формальным методом	2	1
191	наука о	1	1
192	развиваться в	2	1
193	системы как	1	1
194	слова но	1	1
195	ни одно	1	1
196	в котором	2	1
197	те же	1	1
198	приемов а	1	1
199	поэта и	1	1
200	именно на	4	1
201	причинной обусловленности	1	1
202	ценная часть	1	1
203	не выходит	2	1
204	между собой	1	1
205	должно было	4	1
206	же это	2	1
207	произведение как	4	1
208	методов какие	1	1
209	практикуются ныне	1	1
210	отнюдь не	13	1
211	и не	34	1
212	литературы на	3	1
213	тогда и	1	1
214	выходит за	1	1
215	но она	1	1
216	всяком случае	6	1
217	эти два	1	1
218	никаких положительных	1	1
219	изучения литературы	1	1
220	должна стать	1	1
221	по самому	1	1
222	том как	1	1
223	настоящее время	11	1
224	исторического изучения	2	1
225	метода как	1	1
226	и о	3	1
227	следующий вывод	1	1
228	элементы поэтической	1	1
229	и история	3	1
230	к изучению	2	1
231	вступает в	2	1
232	но не	5	1
233	систематическое единство	1	1
234	литературный факт	1	1
235	они не	7	1
236	слово образ	2	1
237	лучшем случае	3	1
238	в него	2	1
239	диалектического материализма	1	1
240	его утверждение	1	1
241	поэтической формы	1	1
242	она должна	3	1
243	этой области	1	1
244	для этого	6	1
245	от общих	3	1
246	прежде всего	34	1
247	научная поэтика	1	1
248	тем что	6	1
249	ритм композиция	1	1
250	тем же	3	1
251	литературе о	1	1
252	же законы	1	1
253	в систему	5	1
254	стиля как	1	1
255	в каждом	3	1
256	часть нашей	1	1
257	литературного развития	2	1
258	в строгом	2	1
259	связь между	1	1
260	и понятие	1	1
261	эстетику и	1	1
262	друг от	2	1
263	помощью тех	1	1
264	в чем	2	1
265	не из	5	1
266	предварительно изучается	1	1
267	жанр поэтическая	1	1
268	а с	1	1
269	происходит не	1	1
270	а между	1	1
271	новые и	1	1
272	же не	1	1
273	но только	1	1
274	не дает	3	1
275	тех методов	1	1
276	материализма для	1	1
277	в лучшем	3	1
278	в сущности	3	1
279	тематика художественный	1	1
280	психологии и	1	1
281	это наиболее	1	1
282	его в	5	1
283	не от	3	1
284	пришлось бы	1	1
285	зависит от	2	1
286	представляется нам	1	1
287	крайней мере	1	1
288	в процессе	17	1
289	теоретической мысли	3	1
290	ни были	2	1
291	поэтическая тематика	1	1
292	этого и	1	1
293	вовсе не	18	1
294	даже не	2	1
295	литературы правда	1	1
296	не меняет	1	1
297	если литература	1	1
298	с одной	5	1
299	и наконец	7	1
300	каждом своем	1	1
301	конечно не	5	1
302	о том	1	1
303	мы не	6	1
304	тому что	3	1
305	но именно	2	1
306	мысли в	2	1
307	том и	1	1
308	эти вопросы	2	1
