N	3gram	Vinokur_Ku	VLabPisa
1	и т д	21	16
2	в этом отношении	8	14
3	в письме к	1	11
4	и т п	39	9
5	не может быть	5	8
6	с другой стороны	12	8
7	по отношению к	8	7
8	более или менее	3	6
9	в том что	23	5
10	в конечном счете	2	5
11	хотя бы и	4	5
12	в зависимости от	7	5
13	в то же	4	5
14	то же время	4	5
15	вместе с тем	3	4
16	можно сказать что	2	4
17	можно утверждать что	1	4
18	в пределах своей	1	4
19	в силу этого	1	4
20	не могут быть	1	4
21	в связи с	4	4
22	к тому что	2	4
23	а всего лишь	1	3
24	бы и не	1	3
25	большей или меньшей	2	3
26	о том как	3	3
27	для того чтобы	21	3
28	о том что	6	3
29	в этой области	3	3
30	и в то	1	3
31	хотя бы в	4	3
32	таким образом не	1	3
33	та или иная	1	3
34	с более или	1	2
35	не только для	1	2
36	и том же	1	2
37	ни один из	1	2
38	во всяком случае	8	2
39	от того что	1	2
40	в том чтобы	9	2
41	по крайней мере	11	2
42	и в другом	2	2
43	этой точки зрения	4	2
44	нет никаких оснований	1	2
45	не в том	5	2
46	вот что рассказывает	1	2
47	таким образом в	2	2
48	в большей или	2	2
49	чуть ли не	3	2
50	в противном случае	2	2
51	мы знаем что	2	2
52	все это только	1	2
53	до сих пор	5	2
54	иметь в виду	1	2
55	в конце концов	3	2
56	или меньшей степени	2	2
57	что все эти	2	2
58	не только в	4	2
59	во всех этих	1	2
60	к этому сводится	1	2
61	в конечном итоге	1	2
62	т е в	3	2
63	только в том	5	2
64	только то что	1	2
65	с одной стороны	2	2
66	одном и том	1	2
67	также и в	1	2
68	можно было бы	11	2
69	после того как	2	2
70	так же как	3	1
71	на этой почве	2	1
72	что на известной	1	1
73	как увидим ниже	1	1
74	в свою очередь	4	1
75	в одном и	1	1
76	чтобы покончить с	1	1
77	того или иного	5	1
78	все то что	1	1
79	если так то	1	1
80	т е не	1	1
81	право говорить о	1	1
82	той или иной	1	1
83	но было бы	1	1
84	целого ряда других	1	1
85	в применении к	1	1
86	том смысле что	1	1
87	т п все	2	1
88	в каждой из	1	1
89	в какой мере	1	1
90	в силу того	2	1
91	на то что	3	1
92	а вместе с	1	1
93	и может быть	1	1
94	с того момента	1	1
95	в том смысле	2	1
96	в этом смысле	8	1
97	по сравнению с	1	1
98	но и у	1	1
99	не в этом	1	1
100	в результате этого	1	1
101	в том случае	3	1
102	ни в какой	1	1
103	имеем в виду	1	1
104	мы говорим о	3	1
105	в этом случае	4	1
106	отсюда следует что	2	1
107	том или ином	1	1
108	говоря уже о	1	1
109	главным образом на	1	1
110	дело не в	3	1
111	по существу же	1	1
112	с этой точки	3	1
113	в виду не	2	1
114	в самом деле	14	1
115	в своем дневнике	1	1
116	в братьях карамазовых	1	1
117	не значит что	1	1
118	т п для	1	1
119	одним из моментов	1	1
120	далеко не всегда	1	1
121	чтобы ответить на	1	1
122	тех или иных	1	1
123	что в них	2	1
124	от августа года	1	1
125	но даже и	2	1
126	и то же	1	1
127	на этот вопрос	3	1
128	не говоря уже	2	1
129	так или иначе	3	1
130	хотя и не	1	1
131	сами по себе	2	1
132	занимает по отношению	1	1
133	ничего общего с	2	1
134	что мы имеем	2	1
135	на известной ступени	1	1
136	ответ на этот	1	1
137	одно и то	1	1
138	то или иное	2	1
139	том что мы	1	1
140	том что и	1	1
141	когда говорят о	1	1
142	по аналогии с	1	1
143	и вместе с	1	1
144	примером может служить	2	1
145	оказываются таким образом	1	1
146	в соответствии с	5	1
147	в данном случае	1	1
148	все же и	3	1
149	в том или	1	1
150	это значит только	1	1
151	главным образом в	1	1
152	того или другого	1	1
153	именно в силу	2	1
154	именно в том	2	1
155	е не в	1	1
156	а в том	2	1
157	основанием для того	1	1
158	бы сами по	1	1
159	к тому же	1	1
160	том как возник	1	1
161	и есть в	2	1
162	уже о том	1	1
163	бы и в	1	1
164	в целом и	2	1
165	очевидно что в	1	1
166	эта не только	1	1
167	том случае если	3	1
168	подумать только что	1	1
169	это вовсе не	1	1
170	том что оно	2	1
171	по его мнению	1	1
172	примеров можно было	1	1
173	но все же	3	1
174	не случайно и	1	1
175	как бы сами	1	1
176	лицом к лицу	1	1
177	все это не	3	1
178	не только у	1	1
179	только тогда когда	2	1
180	один из элементов	1	1
181	в силу самой	1	1
182	тот или иной	1	1
183	но и для	1	1
184	те или иные	2	1
185	если бы он	1	1
186	но с другой	1	1
187	из моментов в	1	1
188	между собою в	1	1
189	может быть и	1	1
