N	4gram	Tiupa_Disk	Vladivir
1	дело в том что	3	11
2	в то же время	7	9
3	в том что в	3	5
4	и в то же	2	5
5	не говоря уже о	2	4
6	что же касается самого	1	3
7	только в том случае	1	3
8	в том что он	1	3
9	заключается в том что	1	3
10	все дело в том	1	2
11	или по крайней мере	1	2
12	с одной стороны и	3	2
13	одно и то же	2	2
14	свидетельствует о том что	1	2
15	в том случае если	1	2
16	и не могло быть	1	1
17	состоит в том что	2	1
18	не приходится удивляться что	1	1
19	в том что с	1	1
20	в том что и	1	1
21	а в том что	2	1
22	нет и не может	1	1
23	ни к чему не	1	1
24	тем не менее об	1	1
25	в такой же мере	1	1
26	том что он не	1	1
27	в данном случае мы	1	1
28	включает в себя и	1	1
29	в том что вся	1	1
30	мы имеем дело с	1	1
31	по себе не может	1	1
32	ни в чем не	1	1
33	то же время и	2	1
34	не имеют никакого отношения	1	1
35	и не может быть	1	1
36	не в том что	1	1
