N	2gram	Tiupa_Disk	Freidism
1	таким образом	4	34
2	и не	25	34
3	точки зрения	6	31
4	не может	17	30
5	в этом	29	28
6	может быть	29	28
7	и в	27	28
8	прежде всего	17	26
9	в его	9	25
10	и его	4	22
11	с помощью	1	20
12	мы можем	1	20
13	как бы	9	19
14	как мы	2	18
15	то что	10	17
16	вовсе не	1	16
17	с точки	3	15
18	точка зрения	3	15
19	все эти	2	15
20	в своей	10	14
21	так и	14	14
22	самом деле	2	14
23	и все	5	13
24	как и	27	13
25	по отношению	13	13
26	но в	15	13
27	во всех	6	13
28	в самом	4	12
29	то же	12	12
30	ни в	7	12
31	что он	6	12
32	том что	27	12
33	во внешнем	1	12
34	для него	9	12
35	все это	2	12
36	и потому	3	12
37	и наконец	2	12
38	мы видели	1	12
39	только в	9	11
40	сказать что	4	11
41	отношению к	13	11
42	его в	1	11
43	один из	3	10
44	не только	36	10
45	и с	2	10
46	но и	22	10
47	что же	4	10
48	никогда не	3	10
49	в том	29	10
50	он не	4	10
51	за пределы	2	10
52	не в	8	10
53	и на	8	9
54	те же	1	9
55	уже не	7	9
56	во всяком	3	9
57	мы не	2	9
58	человеческого поведения	1	9
59	с его	9	9
60	к этому	4	9
61	к нему	1	9
62	в чем	2	9
63	а не	35	9
64	мы должны	1	9
65	и др	3	9
66	могут быть	5	9
67	при этом	22	8
68	все же	8	8
69	еще не	20	8
70	с этим	3	8
71	было бы	1	8
72	а в	5	8
73	по мнению	1	8
74	с другими	1	8
75	на этом	3	8
76	в ней	2	8
77	всяком случае	2	8
78	что в	8	7
79	и к	4	7
80	не могут	2	7
81	в жизни	2	7
82	роль в	10	7
83	так сказать	3	7
84	хотя бы	3	7
85	в каком	1	7
86	до конца	2	7
87	из них	6	7
88	на протяжении	2	7
89	сознания с	2	7
90	того что	4	7
91	не является	5	7
92	но не	17	7
93	я и	3	7
94	об этом	3	7
95	с самого	2	7
96	в нем	16	7
97	быть и	2	7
98	в этой	5	7
99	отношение к	6	7
100	в себе	22	7
101	жизни и	2	7
102	и прежде	2	7
103	в то	8	7
104	и ее	5	7
105	более того	2	7
106	зрения на	3	6
107	учение о	1	6
108	одно из	4	6
109	не менее	6	6
110	к тому	6	6
111	можно сказать	7	6
112	в основе	11	6
113	в свою	3	6
114	же время	9	6
115	из этих	3	6
116	мы имеем	4	6
117	ни о	2	6
118	как раз	1	6
119	что такое	1	6
120	во время	1	6
121	на самом	1	6
122	здесь в	4	6
123	в таком	1	6
124	большинстве случаев	2	6
125	она не	1	6
126	и что	2	6
127	в пределах	4	6
128	и о	4	6
129	и только	1	6
130	для этого	1	6
131	всех этих	1	6
132	что это	1	5
133	со всеми	1	5
134	в своих	6	5
135	ее в	1	5
136	в процессе	6	5
137	с ними	1	5
138	вместе с	3	5
139	со стороны	17	5
140	в следующей	1	5
141	на первый	1	5
142	т.е в	1	5
143	сознание и	1	5
144	говорить о	3	5
145	и до	2	5
146	и те	1	5
