N	2gram	Propp_Isto	IolandNe
1	и с	5	3
2	что в	19	2
3	он не	10	2
4	должен быть	3	2
5	ничего не	6	2
6	и не	19	2
7	в этом	13	2
8	говорить о	1	1
9	все эти	6	1
10	для того	1	1
11	и очень	1	1
12	а в	15	1
13	и о	1	1
14	к нам	1	1
15	это было	2	1
16	у всех	1	1
17	и со	2	1
18	и та	1	1
19	нет есть	1	1
20	что для	1	1
21	для него	2	1
22	не остается	1	1
23	вплоть до	2	1
24	с героем	2	1
25	тех же	1	1
26	под редакцией	1	1
27	тем что	7	1
28	бы его	2	1
29	от нее	1	1
30	а если	2	1
31	и чрезвычайно	1	1
32	ушел от	1	1
33	когда его	1	1
34	нам в	1	1
35	каждый исследователь	1	1
36	не так	2	1
37	и др	11	1
38	вероятно на	1	1
39	с другой	8	1
40	но когда	1	1
41	в целом	3	1
42	он с	1	1
43	в эту	3	1
44	другой стороны	7	1
45	я не	5	1
46	себя в	2	1
47	автор не	1	1
48	могло бы	1	1
49	то и	2	1
50	знать и	1	1
51	в материале	1	1
52	и еще	1	1
53	что при	3	1
54	как только	1	1
55	если бы	8	1
56	отношению к	6	1
57	в руки	4	1
58	следующим образом	1	1
59	по существу	7	1
60	того что	6	1
61	них не	2	1
62	а с	4	1
63	только для	3	1
64	так то	2	1
65	и тот	3	1
66	первого брака	1	1
67	а также	2	1
68	так и	13	1
69	свою жену	1	1
70	в основе	4	1
71	в значительной	1	1
72	о ней	1	1
73	от этого	2	1
74	а отсюда	1	1
75	бы всю	1	1
76	того чтобы	3	1
77	а для	2	1
78	бы в	2	1
79	и ничего	1	1
80	не дает	2	1
81	а по	3	1
82	есть только	3	1
83	и в	40	1
84	видит в	2	1
85	никогда не	25	1
86	все это	6	1
87	по отношению	6	1
88	и дети	1	1
89	как смерть	1	1
90	на котором	5	1
91	нисколько не	3	1
92	как о	2	1
93	в них	2	1
