N	2gram	Tiupa_Disk	Retstnzi
1	не может	17	4
2	и в	27	3
3	если в	2	2
4	один из	3	2
5	общения и	4	2
6	может и	4	1
7	в особенности	5	1
8	несмотря на	1	1
9	риторические жанры	1	1
10	может быть	29	1
11	не только	36	1
12	точки зрения	6	1
13	с точки	3	1
14	и поэтика	1	1
15	событий и	1	1
16	для него	9	1
17	с теми	1	1
18	первая часть	1	1
19	ситуации и	2	1
20	в ней	2	1
21	в каждом	2	1
22	связи с	4	1
23	своих теоретических	1	1
24	понимания этого	1	1
25	бы на	1	1
26	с другими	1	1
27	его от	1	1
28	если бы	1	1
29	художественного произведения	1	1
30	исходя из	3	1
31	литературного произведения	3	1
32	на примере	3	1
33	с самых	1	1
34	в его	9	1
35	и тому	1	1
36	влияния на	2	1
37	не менее	6	1
38	деятельности в	1	1
39	в языке	2	1
40	но и	22	1
41	к тому	6	1
42	во второй	1	1
43	можно назвать	2	1
44	книги о	1	1
45	как искусство	1	1
46	в то	8	1
47	из этих	3	1
48	он в	1	1
49	ни один	1	1
50	же время	9	1
51	то же	12	1
52	по своим	4	1
53	а не	35	1
54	персонажей и	2	1
55	без учета	1	1
56	нет и	1	1
57	в лингвистике	3	1
58	и должно	2	1
59	в системе	1	1
60	и не	25	1
61	о литературе	2	1
62	и все	5	1
63	и на	8	1
64	русской литературы	1	1
65	художественного целого	3	1
