N	3gram	Propp_Morf	slovoVRo
1	не может быть	9	19
2	то же время	1	18
3	в то же	1	18
4	той или иной	1	15
5	с точки зрения	6	15
6	в большинстве случаев	3	11
7	с одной стороны	2	11
8	и т д	60	10
9	более или менее	2	9
10	в этом случае	10	9
11	во всяком случае	2	8
12	но все же	4	6
13	с другой стороны	5	6
14	в том что	4	5
15	по отношению к	7	5
16	как мы уже	1	5
17	и там где	1	5
18	а вовсе не	2	5
19	в этом отношении	2	5
20	может быть и	2	5
21	для того чтобы	3	4
22	друг с другом	1	4
23	до сих пор	1	4
24	те или иные	1	4
25	а также и	5	4
26	в свою очередь	1	4
27	можно сказать что	1	4
28	в точном смысле	1	4
29	не могут быть	4	4
30	до известной степени	1	3
31	в собственном смысле	3	3
32	и то же	1	3
33	тех или иных	1	3
34	в данном случае	2	3
35	в связи с	9	3
36	к тому что	4	3
37	в основе ее	1	3
38	но и здесь	1	3
39	как и в	3	3
40	одно и то	1	3
41	в другом случае	1	3
42	это не значит	2	2
43	формы передачи и	1	2
44	с этой точки	1	2
45	тем не менее	6	2
46	далеко не всегда	1	2
47	сюда прежде всего	1	2
48	в первом случае	3	2
49	т д можно	1	2
50	но как мы	1	2
51	но в этом	1	2
52	сих пор не	1	2
53	хотя и не	2	2
54	иметь в виду	1	2
55	точном смысле слова	1	2
56	о том что	3	2
57	этой точки зрения	1	2
58	тем и другим	2	2
59	в то время	3	2
60	или во всяком	1	2
61	мы не можем	1	2
62	один из важнейших	1	2
63	же время и	1	2
64	можно было бы	2	2
65	во всех этих	1	2
66	бы они ни	1	2
67	с самого начала	1	2
68	они ни были	1	2
69	в других случаях	1	2
70	уже не только	1	2
71	то время как	3	2
72	отличие от других	1	1
73	между героем и	1	1
74	остановимся на нескольких	1	1
75	чем перейти к	1	1
76	и даже не	1	1
77	тем как в	1	1
78	в применении к	1	1
79	мы видим что	11	1
80	всем ее объеме	1	1
81	ни одной из	2	1
82	и их слова	1	1
83	здесь перед нами	1	1
84	как бы они	1	1
85	в первый раз	1	1
86	до наших дней	2	1
87	в какой степени	1	1
88	дело не в	2	1
89	обстоит дело с	1	1
90	он не может	1	1
91	может войти в	1	1
92	но чаще всего	1	1
93	перед нами в	1	1
94	для наших целей	2	1
95	друг на друга	2	1
96	прежде чем перейти	1	1
97	в том случае	3	1
98	может быть окрашена	1	1
99	в иных случаях	2	1
100	то перед нами	5	1
101	двух точек зрения	1	1
102	за тридевять земель	1	1
103	свою очередь также	1	1
104	друг друга могут	1	1
105	если бы мы	1	1
106	но они не	1	1
107	и наконец даже	1	1
108	не стремится к	1	1
109	так как во	1	1
110	и не определяют	1	1
111	и у него	1	1
112	то ни было	2	1
113	одна из форм	1	1
114	там где оно	2	1
115	и др здесь	1	1
116	и как он	1	1
117	не входит в	2	1
118	могут быть заменены	1	1
119	во всей своей	1	1
120	и при изучении	1	1
121	хотя бы только	1	1
122	в последнем случае	3	1
123	во всем ее	1	1
124	бы то ни	3	1
125	то прежде всего	2	1
126	все эти явления	1	1
127	для этой цели	1	1
128	но это не	1	1
129	путь на котором	1	1
130	связи с изучением	1	1
131	в этих случаях	14	1
132	не может войти	1	1
133	поэтому прежде чем	1	1
134	и могут быть	1	1
135	к тому или	1	1
136	но кроме того	1	1
137	на то что	3	1
138	и может быть	1	1
139	лежат в основе	1	1
140	в чем же	1	1
141	и заставляет его	1	1
142	мы увидим что	2	1
143	основе ее лежат	1	1
144	все более и	1	1
145	как один из	1	1
146	связи с этим	5	1
147	действующих лиц и	1	1
148	более и более	1	1
149	со всеми другими	1	1
150	уже никак нельзя	1	1
151	он может быть	2	1
152	а в сущности	1	1
153	в противном случае	1	1
154	ли говорить о	1	1
155	далеко не все	3	1
156	и др эти	1	1
157	подобно тому как	5	1
158	это и не	2	1
159	не ощущается как	1	1
160	мы имеем в	2	1
161	всех этих случаях	1	1
162	далеко не исчерпывают	1	1
163	том что он	1	1
164	лишь на то	1	1
165	она может быть	1	1
166	дело идет об	1	1
167	том случае если	2	1
168	его к своей	1	1
169	в таких случаях	2	1
170	прежде всего относится	1	1
171	самая постановка вопроса	1	1
172	самого начала в	1	1
173	это было бы	1	1
174	чем это было	1	1
175	друг к другу	2	1
