N	2gram	Losev_Prob	VelikijI
1	во имя	1	32
2	и не	63	20
3	и в	64	16
4	так как	16	9
5	то что	72	9
6	в истории	6	8
7	еще не	18	8
8	и потому	3	7
9	что они	5	7
10	а не	21	7
11	не есть	49	6
12	что есть	1	5
13	хотя и	8	5
14	того что	18	5
15	все это	11	5
16	как бы	18	5
17	на себя	2	5
18	но и	23	5
19	все что	2	4
20	в котором	5	4
21	в этом	30	4
22	что мы	23	4
23	о смысле	1	4
24	потому что	24	4
25	в его	12	4
26	в ней	1	4
27	так и	17	4
28	говорить о	14	4
29	мы хотим	3	4
30	и есть	7	4
31	и все	9	4
32	что не	8	4
33	что все	9	4
34	как и	7	4
35	что он	11	4
36	и я	1	4
37	в нем	14	4
38	во всех	9	3
39	что в	21	3
40	нет ничего	12	3
41	бы и	5	3
42	и мы	1	3
43	за ним	1	3
44	то это	3	3
45	в конце	13	3
46	мы же	1	3
47	должно быть	3	3
48	нас и	1	3
49	если не	6	3
50	хотя бы	15	3
51	в том	19	3
52	тому что	6	3
53	от которого	1	3
54	не в	6	3
55	его во	2	3
56	и что	21	3
57	что и	2	3
58	ни в	13	3
59	превращается в	1	3
60	в этих	7	3
61	в абсолютном	1	3
62	в них	8	3
63	оно не	6	3
64	не было	7	3
65	лишь в	4	3
66	что во	1	3
67	и будет	2	3
68	в жизни	3	3
69	что я	1	3
70	по этому	6	3
71	как не	1	3
72	их в	6	3
73	в своей	8	3
74	должна быть	2	3
75	с его	3	3
76	к бытию	1	3
77	от этого	2	3
78	не имеет	8	3
79	но это	11	3
80	и для	10	3
81	жизни и	1	3
82	в чем	3	3
83	все эти	15	3
84	тот же	4	3
85	но в	19	3
86	к тому	5	3
87	никогда не	8	3
88	все тот	1	2
89	зачем же	3	2
90	что было	2	2
91	во всяком	18	2
92	от него	1	2
93	нас за	1	2
94	его и	1	2
95	уже на	3	2
96	ее и	1	2
97	один из	7	2
98	мы и	8	2
99	самого себя	2	2
100	которые не	5	2
101	и люди	1	2
102	на том	5	2
103	не так	1	2
104	того чтобы	10	2
105	это не	7	2
106	это все	1	2
107	между тем	3	2
108	не только	37	2
109	для него	2	2
110	вот почему	1	2
111	ивана карамазова	1	2
112	и тогда	2	2
113	с ним	4	2
114	является в	3	2
115	которой они	2	2
116	не будет	11	2
117	ее в	2	2
118	для нас	11	2
119	и то	15	2
120	не с	1	2
121	на нас	1	2
122	прежде всего	17	2
123	а есть	4	2
124	для них	5	2
125	можно было	8	2
126	людей и	1	2
127	а между	1	2
128	и это	13	2
129	от этих	1	2
130	мы не	6	2
131	конечно не	3	2
132	и теперь	1	2
133	только в	19	2
134	все равно	7	2
135	а с	1	2
136	под этим	4	2
137	мы взяли	1	2
138	а в	7	2
139	будет уже	1	2
140	в прошлом	1	2
141	в число	1	2
142	и сам	3	2
143	нет и	5	2
144	это мы	2	2
145	раз навсегда	1	2
146	но не	13	2
147	и будут	1	2
148	тем что	10	2
149	тот кто	2	2
150	духа и	1	2
151	и во	4	2
152	могут быть	2	2
153	ничего и	2	2
154	мы это	3	2
155	значения и	11	2
156	не имел	2	2
157	с тем	6	2
158	давно уже	1	2
159	и т	13	2
160	к нам	1	2
161	одна из	4	2
162	его к	1	2
163	не могут	6	2
164	т д	12	2
165	да и	11	2
166	есть уже	1	2
167	том что	26	2
168	мир и	1	2
169	но мы	3	2
170	и окончательное	1	2
171	что их	4	2
172	уже не	9	2
173	мира в	2	2
174	не к	1	2
175	людей не	1	2
176	взятого в	1	1
177	землей в	1	1
178	основанной на	1	1
179	с которыми	4	1
180	в самом	10	1
181	который он	2	1
182	бы то	2	1
183	перестает быть	3	1
184	художественный образ	9	1
185	могли бы	2	1
186	то есть	61	1
187	было не	1	1
188	а потому	2	1
189	и пусть	3	1
190	человека в	1	1
191	но как	11	1
192	в окончательном	2	1
193	мы видим	2	1
194	и самое	1	1
195	если оно	2	1
196	идет к	1	1
197	что оно	4	1
198	на котором	1	1
199	для нашего	3	1
200	окончательного и	1	1
201	речь идет	2	1
202	вообще в	1	1
203	и столь	1	1
204	мы скажем	3	1
205	тоже не	12	1
206	он говорит	2	1
207	будто бы	4	1
208	полетел в	1	1
209	и на	11	1
210	ничем не	2	1
211	она и	1	1
212	вопрос о	4	1
213	без такого	2	1
214	на этом	1	1
215	же и	4	1
216	может быть	29	1
217	хоть и	1	1
218	они не	1	1
219	что нет	3	1
220	между собою	9	1
221	важный для	1	1
222	к человеку	1	1
223	не имеют	6	1
224	и было	1	1
225	раз и	13	1
226	и свою	2	1
227	свое место	2	1
228	здесь есть	1	1
229	если в	2	1
230	уже последние	1	1
231	лет назад	3	1
232	одно целое	2	1
233	слова для	1	1
234	указать на	1	1
235	того как	3	1
236	которая в	1	1
237	и уж	6	1
238	мы увидим	3	1
239	и вообще	13	1
240	своей целью	1	1
241	до времени	1	1
242	и который	3	1
243	найти того	1	1
244	его с	1	1
245	она не	5	1
246	но она	3	1
247	уже в	6	1
248	которое может	1	1
249	есть прежде	3	1
250	в состоянии	2	1
251	для себя	9	1
252	у них	1	1
253	с этой	1	1
254	то же	10	1
255	и если	9	1
256	для всякого	2	1
257	есть знак	13	1
258	а существует	2	1
259	во что	2	1
260	только мы	2	1
261	то ни	3	1
262	для того	10	1
263	и менее	4	1
264	сознания или	1	1
265	это только	4	1
266	образ и	1	1
267	не быть	2	1
268	не для	3	1
269	что всякий	7	1
270	но от	1	1
271	ничего кроме	1	1
272	для таких	1	1
273	утверждают что	1	1
274	что это	4	1
275	это значит	4	1
276	сознания так	1	1
277	от всякой	2	1
278	в глазах	1	1
279	о чем	11	1
280	с такой	1	1
281	в ее	3	1
282	и тем	16	1
283	и уже	4	1
284	сознании и	4	1
285	говорит о	4	1
286	как это	7	1
287	идти по	1	1
288	любви ко	1	1
289	этот мир	1	1
290	тут не	2	1
291	оно ни	1	1
292	есть еще	3	1
293	и тут	1	1
294	мы в	4	1
295	мы все	1	1
296	что человек	1	1
297	свой предмет	1	1
298	и всегда	3	1
299	более глубокое	1	1
300	пусть не	5	1
301	есть и	4	1
302	если нет	2	1
303	часто бывают	1	1
304	и внешнее	1	1
305	у нас	31	1
306	говорят что	2	1
307	нового времени	1	1
308	кто же	1	1
309	себя своего	2	1
310	о своем	4	1
311	в этой	14	1
312	он за	1	1
313	это слово	1	1
314	в результате	6	1
315	в трех	1	1
316	говорит что	1	1
317	другое и	1	1
318	в виду	10	1
319	другой стороны	7	1
320	слова с	1	1
321	нет никакого	1	1
322	я не	1	1
323	его по	1	1
324	и чем	2	1
325	но что	3	1
326	как можно	1	1
327	человека к	1	1
328	основана на	2	1
329	уже и	6	1
330	существует и	3	1
331	вот в	2	1
332	не существует	12	1
333	так же	12	1
334	в виде	20	1
335	что бы	2	1
336	только это	1	1
337	не был	4	1
338	мы им	1	1
339	но с	2	1
340	в своих	3	1
341	в противоположность	1	1
342	их и	1	1
343	мы станем	1	1
344	отказаться от	2	1
345	в разные	3	1
346	с другой	8	1
347	конечно в	2	1
348	свою роль	1	1
349	в которой	2	1
350	но все	5	1
351	идти в	2	1
352	но какой	1	1
353	вот что	1	1
354	и навсегда	1	1
355	и с	12	1
356	наших дней	1	1
357	много общего	1	1
358	и можно	3	1
359	к ним	1	1
360	могут сказать	3	1
361	могут и	1	1
362	может ли	1	1
363	тоже ведь	1	1
364	отношение к	1	1
365	он всегда	3	1
366	глубине его	1	1
367	на нее	2	1
368	на путь	1	1
369	известном смысле	1	1
370	идея в	1	1
371	и думать	1	1
372	то и	7	1
373	или даже	3	1
374	в понимании	2	1
375	но вот	2	1
376	теперь еще	1	1
377	лишь как	1	1
378	и другое	3	1
379	как мы	10	1
380	еще недостаточно	2	1
381	и до	3	1
382	всякого содержания	1	1
383	в процессе	1	1
384	и своего	1	1
385	нам право	1	1
386	да неужто	1	1
387	бы все	1	1
388	у человека	1	1
389	смысле и	2	1
390	в своем	7	1
391	ни стало	2	1
392	это очень	1	1
393	для полноты	1	1
394	его на	1	1
395	еще и	9	1
396	будем говорить	1	1
397	в познании	1	1
398	и от	3	1
399	мы будем	3	1
400	этих словах	1	1
401	ничего не	20	1
402	равно не	1	1
403	то уж	2	1
404	всегда в	1	1
405	и именно	1	1
406	в сознании	5	1
407	и очень	3	1
408	по крайней	8	1
409	для человеческого	1	1
410	в третьем	1	1
411	нам уже	2	1
412	о которой	1	1
413	и так	2	1
414	вместе с	4	1
415	все же	7	1
416	в одно	5	1
417	если они	1	1
418	и которые	6	1
419	переход к	1	1
420	как в	5	1
421	нас а	1	1
422	в которых	4	1
423	находится в	2	1
424	значение в	4	1
425	роль в	2	1
426	им в	2	1
427	это символ	1	1
428	можно ли	9	1
429	мы так	1	1
430	себя и	1	1
431	еще к	1	1
432	а его	2	1
433	и по	3	1
434	их на	1	1
435	и эта	1	1
436	к этому	1	1
437	всего только	2	1
438	в их	7	1
439	с которым	1	1
440	много говорить	1	1
441	и внешней	1	1
442	который был	1	1
443	это в	3	1
444	ли он	2	1
445	не будут	1	1
446	мира и	1	1
447	может и	3	1
448	для чего	2	1
449	конце концов	11	1
450	зависимости от	2	1
451	поскольку он	2	1
452	себя не	1	1
453	есть то	5	1
454	ни для	1	1
455	в известном	1	1
456	себе и	2	1
457	не просто	30	1
458	он был	2	1
459	не случайно	1	1
460	хотели бы	3	1
461	в целом	1	1
462	и слишком	1	1
463	крайней мере	8	1
464	было что	1	1
465	и ее	9	1
466	вовсе не	60	1
467	глубокие и	1	1
468	что на	4	1
469	есть не	10	1
470	ли что	2	1
471	в искусстве	3	1
472	д и	4	1
473	бы это	1	1
474	и нет	2	1
475	бы в	3	1
476	иван карамазов	1	1
477	к нему	5	1
478	а потом	2	1
