N	4gram	Vinokur_Ku	EvropaiE
1	в то же время	4	14
2	и в то же	1	8
3	с этой точки зрения	3	5
4	бы то ни было	1	4
5	само по себе не	1	2
6	заключается в том что	2	2
7	как мы видели в	1	1
8	чтобы ответить на этот	1	1
9	не только в том	1	1
10	дело в том что	1	1
11	в том случае если	3	1
12	рассматривать как одно из	1	1
13	ответить на этот вопрос	1	1
14	и с точки зрения	1	1
15	что в тех случаях	1	1
16	в большей или меньшей	2	1
17	в тех случаях когда	2	1
18	не говоря уже об	1	1
19	поскольку речь идет о	1	1
20	только в том случае	2	1
21	именно с этой точки	1	1
22	во всех этих случаях	1	1
23	ни на минуту забывать	1	1
24	несмотря на то что	1	1
25	не говоря уже о	1	1
26	большей или меньшей степени	2	1
27	одного и того же	2	1
28	что само по себе	1	1
29	состоит вовсе не в	1	1
30	и во многих других	1	1
31	в том смысле что	1	1
