N	4gram	Medvedev_F	Problema
1	не что иное как	1	14
2	есть не что иное	1	11
3	взятые сами по себе	1	9
4	на самом же деле	1	8
5	не чем иным как	1	7
6	не говоря уже о	1	7
7	и в этом случае	1	6
8	бы то ни было	1	6
9	в том смысле что	2	5
10	может быть даже и	1	5
11	тем не менее в	1	5
12	во что бы то	3	4
13	же в таком случае	1	4
14	что бы то ни	3	4
15	и с точки зрения	1	4
16	только в связи с	1	4
17	в том числе и	1	4
18	в связи с этим	4	4
19	бы то ни стало	3	4
20	в том или ином	1	4
21	является не чем иным	1	3
22	и в то же	4	3
23	в этом смысле и	1	3
24	то во всяком случае	1	3
25	с этой точки зрения	1	3
26	с одной стороны и	4	3
27	не сам по себе	1	3
28	но в то же	3	3
29	в связи с теми	1	2
30	но тем не менее	1	2
31	не выходит за пределы	1	2
32	все более и более	3	2
33	отраженной в ней действительности	1	2
34	в области гуманитарных наук	1	2
35	если же мы возьмем	1	2
36	только в том случае	1	2
37	мы имеем в виду	1	2
38	и то и другое	1	2
39	заключается в том чтобы	1	2
40	сам по себе а	2	2
41	можно было говорить о	1	2
42	бы она ни была	3	2
43	перед нами отнюдь не	1	2
44	и до сих пор	2	1
45	время иметь в виду	1	1
46	в настоящее время может	1	1
47	и как бы ни	1	1
48	может быть и не	2	1
49	том и заключается что	1	1
50	с точки зрения самого	1	1
51	чтобы можно было говорить	1	1
52	то или иное значение	1	1
53	в то же время	13	1
54	что на самом деле	1	1
55	если бы оно было	2	1
56	в том и заключается	1	1
57	выдвинуть на первый план	1	1
58	в общем можно сказать	1	1
59	и в этом понятии	1	1
60	чтобы выделить его из	1	1
61	у нас не было	2	1
62	художественном произведении как о	1	1
63	то же и в	1	1
64	что в данном случае	1	1
65	в настоящее время можно	1	1
66	и в конце концов	1	1
67	в том случае если	1	1
68	о художественном произведении как	1	1
69	но и в этом	2	1
70	для этого она должна	1	1
71	не для того чтобы	1	1
72	сами по себе эти	2	1
73	и не может быть	4	1
74	не может быть и	2	1
75	с точки зрения их	2	1
76	произведении как о предмете	1	1
77	том смысле что он	2	1
78	которая не была бы	1	1
79	вместе с тем и	2	1
80	может быть и речи	1	1
81	с тем что в	1	1
82	но и всякое вообще	1	1
83	художественного произведения и его	2	1
84	пишет по этому поводу	1	1
85	и в этом отношении	1	1
86	что же это за	1	1
87	тем что в нем	1	1
