N	2gram	Savitsky_E	Sotsiolo
1	в том	11	5
2	в этом	12	5
3	не только	18	3
4	как же	2	3
5	не в	5	3
6	и в	37	3
7	и только	3	3
8	более чем	2	3
9	в его	2	3
10	для нас	4	3
11	литературы и	1	2
12	что в	21	2
13	то что	6	2
14	таким образом	2	2
15	том что	6	2
16	как бы	6	2
17	в результате	3	2
18	было бы	8	2
19	как будто	2	2
20	в смысле	9	2
21	это зависит	1	2
22	очевидно что	3	2
23	в частности	5	2
24	и мы	3	2
25	по природе	1	2
26	но и	14	2
27	может быть	6	2
28	она может	1	2
29	главным образом	2	2
30	и что	2	2
31	за пределы	1	2
32	по отношению	1	2
33	должна быть	2	2
34	далеко не	2	2
35	тем более	4	2
36	только в	9	2
37	к которому	1	2
38	то же	15	2
39	как то	1	1
40	а в	2	1
41	вне пределов	1	1
42	столь же	5	1
43	даже в	4	1
44	бы о	2	1
45	входящие в	1	1
46	в силу	2	1
47	на этот	2	1
48	это значит	2	1
49	что эти	2	1
50	все эти	1	1
51	не было	1	1
52	представить себе	1	1
53	когда мы	1	1
54	связи с	1	1
55	любой области	1	1
56	в своей	8	1
57	во всяком	3	1
58	в мире	2	1
59	и потому	5	1
60	дает нам	1	1
61	все же	1	1
62	что это	2	1
63	от друга	2	1
64	с другой	7	1
65	ни на	3	1
66	мы должны	2	1
67	а тем	2	1
68	с ним	1	1
69	противном случае	1	1
70	между тем	8	1
71	как совокупность	4	1
72	именно и	1	1
73	и более	2	1
74	но как	2	1
75	в этой	2	1
76	время в	3	1
77	из себя	1	1
78	в свои	2	1
79	и его	1	1
80	ли не	1	1
81	в данном	3	1
82	которая должна	1	1
83	в области	11	1
84	и по	5	1
85	их на	1	1
86	его собственная	2	1
87	один из	1	1
88	так и	10	1
89	в противном	1	1
90	только тогда	1	1
91	в то	16	1
92	бы они	1	1
93	понимать что	1	1
94	может не	1	1
95	в котором	2	1
96	те же	1	1
97	будет тем	1	1
98	не выходит	1	1
99	между собой	2	1
100	отнюдь не	9	1
101	и не	14	1
102	выходит за	1	1
103	всяком случае	3	1
104	эти два	1	1
105	иначе говоря	2	1
106	же по	1	1
107	и о	1	1
108	следующий вывод	1	1
109	но не	5	1
110	лучшем случае	1	1
111	не способен	1	1
112	для этого	1	1
113	прежде всего	9	1
114	тем что	3	1
115	же законы	1	1
116	связь между	1	1
117	на тех	1	1
118	друг от	2	1
119	не из	3	1
120	на основании	2	1
121	что автор	1	1
122	может она	1	1
123	и будет	1	1
124	не дает	3	1
125	тех кто	1	1
126	в лучшем	1	1
127	мы думаем	1	1
128	психологии и	1	1
129	пришлось бы	1	1
130	зависит от	1	1
131	в процессе	4	1
132	вовсе не	6	1
133	даже не	1	1
134	его построения	1	1
135	с одной	8	1
136	и наконец	2	1
137	конечно не	1	1
138	о том	3	1
139	мы не	4	1
140	тому что	1	1
141	но именно	2	1
142	и затем	1	1
143	констатирования факта	1	1
144	в этих	2	1
145	по себе	4	1
146	в любой	1	1
147	хотя бы	15	1
148	же время	14	1
149	что на	2	1
150	чуть ли	1	1
151	одной стороны	8	1
152	в связи	1	1
153	бы в	2	1
154	в виде	5	1
155	именно в	4	1
156	никогда не	3	1
157	не может	9	1
158	между ними	2	1
159	и как	2	1
160	способен ни	1	1
161	что все	2	1
162	место в	3	1
163	как и	7	1
164	в них	3	1
