N	2gram	Medvedev_B	Poddanst
1	не только	1	17
2	и в	1	14
3	и не	2	12
4	в области	1	11
5	в пределах	1	8
6	в ней	2	6
7	было бы	1	6
8	с другой	1	5
9	и о	1	5
10	что в	1	4
11	и потому	1	4
12	прежде всего	1	3
13	в значительной	1	2
14	никак не	1	2
15	не о	1	2
16	а не	1	2
17	все это	2	2
18	говорить о	1	2
19	творчества и	1	2
20	не было	1	2
21	отнюдь не	1	2
22	тем более	1	2
23	во всяком	1	1
24	ней только	1	1
25	в данном	1	1
26	и более	1	1
27	и на	1	1
28	вопрос о	1	1
29	также что	1	1
30	должна быть	1	1
31	другой стороны	1	1
32	далеко не	1	1
33	не вполне	1	1
34	что все	1	1
35	не свести	1	1
36	было и	1	1
37	все же	1	1
38	в эпоху	1	1
39	более что	1	1
40	говорить об	1	1
41	всяком случае	1	1
42	не все	1	1
43	и ее	1	1
44	еще не	1	1
