N	3gram	Medvedev_V	Russkaja
1	то же время	5	10
2	в то же	5	10
3	в том что	5	7
4	во всяком случае	2	6
5	для того чтобы	3	6
6	а между тем	1	5
7	до сих пор	2	5
8	в том случае	1	4
9	не может быть	8	4
10	на то что	1	4
11	более или менее	6	4
12	той или иной	1	3
13	в конце концов	2	3
14	вместе с тем	4	3
15	можно было бы	2	3
16	в данном случае	1	3
17	в этом случае	1	3
18	не может не	2	3
19	том случае если	1	3
20	и не может	2	3
21	что он не	1	2
22	ни одна из	1	2
23	того или иного	1	2
24	в значительной мере	3	2
25	но она не	1	2
26	и в другом	2	2
27	о том что	3	2
28	только в том	2	2
29	не могут не	2	2
30	сама по себе	1	2
31	к тому что	4	2
32	и вместе с	1	2
33	в противном случае	2	1
34	в самом деле	1	1
35	в силу этого	4	1
36	сил и способностей	1	1
37	творчества таким образом	1	1
38	говорить не о	2	1
39	отнюдь не может	1	1
40	могут не быть	1	1
41	но по существу	1	1
42	не только для	2	1
43	но в то	1	1
44	из этих черт	1	1
45	не могло бы	1	1
46	том числе и	2	1
47	не подлежит сомнению	1	1
48	так же как	1	1
49	если бы все	1	1
50	тех или иных	1	1
51	только один из	1	1
52	что оно является	1	1
53	по отношению к	7	1
54	есть то что	1	1
55	одной из этих	1	1
56	от того что	2	1
57	во всех этих	2	1
58	даже и в	1	1
59	в том чтобы	2	1
60	и ту же	1	1
61	по крайней мере	2	1
62	именно в силу	1	1
63	а в том	1	1
64	из которых каждая	1	1
65	возможность хотя бы	1	1
66	же время она	1	1
67	что ни одна	1	1
68	было бы чрезвычайно	1	1
69	заключает в себе	1	1
70	одну и ту	1	1
71	в связи с	4	1
72	то же самое	1	1
73	может быть достигнуто	1	1
74	в том же	1	1
75	как видно из	1	1
76	ни к какому	1	1
77	в том числе	2	1
78	в результате этого	1	1
79	но все же	1	1
80	только то что	2	1
81	в другом месте	2	1
82	в этом отношении	14	1
83	в начале этой	1	1
84	вопрос о том	1	1
85	в свою очередь	1	1
86	прежде всего необходимо	1	1
87	в применении к	1	1
88	только в этом	1	1
89	в этом и	2	1
90	это и есть	3	1
91	приходится признать что	1	1
92	и следовало ожидать	1	1
93	но даже и	1	1
94	на этот вопрос	1	1
95	тот или иной	1	1
96	и ни одна	1	1
97	но и для	1	1
98	неизбежно приводит к	1	1
99	к тому же	1	1
100	совершенно очевидно что	1	1
101	того что не	1	1
