N	2gram	Savitsky_P	Analitik
1	не только	17	71
2	и в	14	66
3	в качестве	9	61
4	но и	6	57
5	в том	9	52
6	может быть	5	52
7	в этом	10	51
8	в частности	2	51
9	как и	1	50
10	и не	12	48
11	а не	2	42
12	том что	4	40
13	в мире	2	31
14	представляет собой	1	30
15	отнюдь не	2	29
16	как бы	4	29
17	не может	4	29
18	а в	4	28
19	в его	2	27
20	не в	5	26
21	но не	3	26
22	в себе	3	24
23	что в	4	22
24	в этой	1	22
25	в самом	1	19
26	то же	9	19
27	с его	1	19
28	но в	9	19
29	в данном	1	18
30	в то	7	18
31	тем самым	3	17
32	с другой	5	17
33	только в	7	17
34	со стороны	2	17
35	или иной	1	17
36	что и	1	16
37	могут быть	3	16
38	то что	4	16
39	в пределах	8	16
40	и на	1	15
41	не есть	1	15
42	между тем	3	15
43	прежде всего	3	15
44	в рамках	1	15
45	не менее	2	14
46	себя в	1	14
47	я и	3	14
48	в себя	1	14
49	же время	7	14
50	в отличие	1	14
51	столь же	3	14
52	отличие от	1	14
53	далеко не	1	14
54	по себе	4	13
55	точки зрения	3	13
56	внутреннего зрения	1	13
57	как раз	2	13
58	а также	4	13
59	в начале	2	13
60	и к	4	12
61	никогда не	1	12
62	сводится к	3	12
63	еще не	1	12
64	есть не	2	12
65	наш взгляд	1	11
66	на наш	1	11
67	в сочетании	2	11
68	это не	3	11
69	и как	3	11
70	не с	1	11
71	именно в	2	10
72	все же	1	10
73	с одной	3	10
74	было бы	6	10
75	отношения к	2	10
76	особенно в	1	10
77	на себя	1	10
78	говорить о	2	9
79	не столько	2	9
80	в результате	1	9
81	другой стороны	1	9
82	на фоне	1	9
83	одной стороны	3	9
84	в своем	4	9
85	во всех	2	9
86	в русской	4	9
87	вместе с	1	9
88	того что	2	9
89	как известно	1	8
90	если бы	4	8
91	с точки	3	8
92	хотя и	3	8
93	в ходе	1	8
94	во всяком	1	7
95	одна из	2	7
96	по природе	1	7
97	по преимуществу	1	7
98	в ее	2	7
99	и тем	2	7
100	всяком случае	1	7
101	все это	2	7
102	во времени	1	7
103	место в	1	7
104	те же	1	6
105	казалось бы	1	6
106	восходит к	1	6
107	хотя бы	8	6
108	из них	2	6
109	что не	1	6
110	в силу	2	6
111	в нем	3	6
112	он был	1	6
113	если в	2	6
114	не более	1	6
115	и более	1	6
116	из этих	1	6
117	более чем	2	6
118	и то	1	6
119	уже в	1	6
120	есть в	2	6
121	ли не	1	6
122	должен быть	1	6
123	его в	1	6
124	тем более	2	6
125	полной мере	2	6
126	в полной	2	6
127	же в	4	6
128	не как	1	5
129	а затем	1	5
130	в этих	1	5
131	в них	2	5
132	мысль о	2	5
133	ведет к	1	5
134	в котором	4	5
135	для того	3	5
136	в эту	2	5
137	к жизни	1	5
138	не о	2	5
139	но как	1	5
140	а с	1	5
141	и по	1	5
142	и потому	4	5
143	с ее	1	5
144	и здесь	1	5
145	связывается с	1	5
146	да и	2	5
147	что мы	3	5
148	каждый из	1	5
149	тот же	3	5
150	мы не	3	5
151	в общем	2	5
152	одно из	1	5
153	еще в	1	5
154	и особенно	1	5
155	в борьбе	1	4
156	в собственном	1	4
157	что по	1	4
158	с этим	2	4
159	только на	1	4
160	не все	1	4
161	сколько бы	2	4
162	не было	2	4
163	в которой	1	4
164	в каждом	1	4
165	могли бы	1	4
166	и что	1	4
167	этом смысле	1	4
168	известном смысле	1	4
169	и есть	2	4
170	были бы	1	4
171	представляют собой	1	4
172	в отношении	10	4
173	оказывается в	1	4
174	с ними	3	4
175	который не	1	4
176	в известном	1	4
177	и т	3	4
178	потому что	3	4
179	того чтобы	1	4
180	и если	4	4
181	но о	2	4
182	вслед за	3	4
183	на две	1	4
184	к предмету	1	4
185	обратиться к	1	4
186	о о	1	4
187	как к	1	4
188	к а	1	4
189	бы и	1	4
190	в значительной	2	4
191	на основе	1	4
192	и ее	1	4
193	и о	5	4
194	в области	11	4
195	живого и	1	3
196	к этой	1	3
197	какой бы	1	3
198	быть может	6	3
199	вопрос об	1	3
200	и с	2	3
201	в жизни	2	3
202	с тем	3	3
203	и внутренне	1	3
204	в момент	1	3
205	тем в	1	3
206	вопрос о	1	3
207	как на	2	3
208	что все	1	3
209	гораздо более	1	3
210	о личности	1	3
211	в восприятии	1	3
212	должно быть	2	3
213	в ряду	2	3
214	но к	2	3
215	м и	2	3
216	человеческого бытия	1	3
217	полноты и	1	3
218	тот или	1	3
219	теми же	1	3
220	бы ни	2	3
221	н и	8	3
222	например в	2	3
223	тогда когда	1	3
224	никак не	2	3
225	сами по	3	3
226	заключается в	3	3
227	о котором	1	3
228	на каждом	1	3
229	ни к	1	3
230	тех пор	1	3
231	и наоборот	1	3
232	она может	1	3
233	к миру	1	3
234	они не	1	3
235	том числе	2	3
236	где он	1	3
237	и е	4	3
238	и без	3	3
239	в какой	1	3
240	и я	1	3
241	полноте и	1	3
242	этих двух	1	3
243	только к	1	3
244	она не	1	3
245	также и	1	3
246	в ней	6	3
247	мы должны	4	3
248	человека с	1	3
249	все еще	1	3
250	на то	1	3
251	может и	2	3
252	для этого	1	3
253	не к	2	3
254	является в	2	2
255	чем глубже	1	2
256	еще более	2	2
257	в применении	1	2
258	два различных	1	2
259	которой в	1	2
260	более или	1	2
261	умещается в	1	2
262	мы и	1	2
263	к другим	1	2
264	если он	1	2
265	отношением к	1	2
266	в одно	1	2
267	внимание к	1	2
268	не вполне	1	2
269	в иной	1	2
270	культуры в	2	2
271	на этой	1	2
272	применении к	1	2
273	и иных	1	2
274	отрыве от	1	2
275	во многих	1	2
276	должна была	1	2
277	борьбе с	1	2
278	на пути	4	2
279	связь между	1	2
280	так же	1	2
281	в прошлом	1	2
282	к ним	1	2
283	отношения в	1	2
284	во всей	2	2
285	что именно	1	2
286	друг с	1	2
287	она есть	3	2
288	не просто	1	2
289	грань между	1	2
290	или иным	1	2
291	русской культуре	1	2
292	мы видим	1	2
293	сравнении с	3	2
294	т е	3	2
295	что при	1	2
296	мы можем	1	2
297	сознания к	1	2
298	к чему	2	2
299	именно здесь	1	2
300	о н	3	2
301	е к	1	2
302	следует понимать	1	2
303	по одному	1	2
304	между прочим	2	2
305	и м	1	2
306	выступает в	1	2
307	не означает	1	2
308	и з	2	2
309	одно и	1	2
310	не могла	1	2
311	к первому	1	2
312	культуры и	1	2
313	что во	1	2
314	л и	4	2
315	о т	2	2
316	приобщается к	1	2
317	в статье	2	2
318	и при	1	2
319	хх века	2	2
320	что это	1	2
321	о в	5	2
322	а л	4	2
323	творчества и	2	2
324	оно ни	1	2
325	оно есть	1	2
326	не имеет	1	2
327	в сравнении	3	2
328	может не	1	2
329	слова о	1	2
330	думать что	2	2
331	нет ничего	1	2
332	и частной	1	2
333	ц и	2	2
334	тяготеет к	1	2
335	в отдельности	1	2
336	время в	2	2
337	в которую	2	2
338	в мир	1	2
339	было и	1	2
340	может ли	2	2
341	тем же	1	2
342	одних и	2	2
343	и вот	2	2
344	обе эти	1	2
345	не будем	2	2
346	а ц	2	2
347	что с	1	2
348	для нас	2	2
349	одновременно и	1	2
350	в ином	1	2
351	в церковь	1	2
352	осуществляется в	2	2
353	иными словами	1	2
354	ф о	1	2
355	более что	1	2
356	случаях когда	1	2
357	бы мы	1	2
358	с другом	1	2
359	или менее	1	2
360	бы это	1	2
361	связаны с	1	2
362	каким оно	1	2
363	и тех	1	2
364	там где	1	2
365	и эти	1	2
366	до тех	1	2
367	ей в	3	2
368	церкви и	2	2
369	частности в	1	2
370	что из	2	2
371	в большинстве	1	2
372	прежде чем	1	2
373	в отрыве	1	2
374	и только	1	2
375	о и	2	2
376	что было	1	1
377	они являются	1	1
378	поскольку не	1	1
379	и другие	1	1
380	был и	1	1
381	и целиком	1	1
382	в душе	1	1
383	только что	1	1
384	прямо на	1	1
385	в сферу	1	1
386	и конца	1	1
387	мысли и	1	1
388	жить и	1	1
389	что то	1	1
390	по-видимому не	2	1
391	например с	1	1
392	пришел в	1	1
393	мы именуем	1	1
394	в различных	1	1
395	с собой	1	1
396	в рамки	1	1
397	этой последней	1	1
398	видение и	1	1
399	чтобы в	1	1
400	воля и	1	1
401	отчим домом	1	1
402	и питает	1	1
403	исходить из	1	1
404	давно уже	1	1
405	от первой	1	1
406	из рамок	4	1
407	спор не	1	1
408	и страсти	1	1
409	смысл этого	1	1
410	или все	1	1
411	говорится о	1	1
412	р и	6	1
413	и политического	4	1
414	и жизнь	1	1
415	понять в	1	1
416	смерти но	1	1
417	пор пока	1	1
418	только как	1	1
419	почти исключительно	1	1
420	должна быть	1	1
421	в соотношении	1	1
422	не произведения	1	1
423	об отношении	1	1
424	них и	1	1
425	не исключает	1	1
426	не об	1	1
427	своем значении	2	1
428	два направления	1	1
429	помимо воли	1	1
430	и еще	1	1
431	духовный опыт	1	1
432	отдельности и	1	1
433	с е	1	1
434	во времена	1	1
435	входят в	1	1
436	судьбы но	1	1
437	не два	1	1
438	и творческих	1	1
439	распадается на	1	1
440	и сколь	1	1
441	пути но	1	1
442	которая ни	1	1
443	она ни	2	1
444	ответа на	1	1
445	в перспективе	2	1
446	и некоторой	1	1
447	в н	1	1
448	и организованы	1	1
449	что каждая	1	1
450	есть у	1	1
451	что уже	1	1
452	мы знаем	1	1
453	начала и	2	1
454	подчеркнуть что	1	1
455	в тот	2	1
456	ранее и	1	1
457	обратившись к	1	1
458	известных в	1	1
459	от тех	1	1
460	как по	1	1
461	что его	1	1
462	или хотя	1	1
463	или иная	1	1
464	вся в	1	1
465	в последние	2	1
466	свет его	1	1
467	и достоевского	2	1
468	же как	1	1
469	большинстве случаев	1	1
470	осуществлялись как	1	1
471	во мраке	1	1
472	где уже	1	1
473	к осуществлению	1	1
474	точек зрения	2	1
475	в а	2	1
476	и мир	1	1
477	е т	1	1
478	настоящий момент	3	1
479	поэтики в	1	1
480	при отсутствии	1	1
481	ему на	1	1
482	далеко если	1	1
483	именно потому	1	1
484	все основные	1	1
485	тем и	1	1
486	как автор	1	1
487	где в	2	1
488	в современной	1	1
489	в историческом	1	1
490	литературы и	1	1
491	которого в	1	1
492	того кто	1	1
493	из нее	1	1
494	о русском	1	1
495	с которым	1	1
496	с с	2	1
497	голодной смерти	1	1
498	сливаются в	1	1
499	сущности не	1	1
500	было с	1	1
501	которая и	1	1
502	от нее	1	1
503	собственном смысле	1	1
504	как преодоление	1	1
505	как одна	1	1
506	представить себе	1	1
507	них в	1	1
508	в основном	1	1
509	исторического бытия	1	1
510	живет в	1	1
511	теперь в	2	1
512	в действии	1	1
513	для них	2	1
514	и обрести	1	1
515	они как	1	1
516	этого процесса	1	1
