N	3gram	Vygotskiy_	StatiiOP
1	в том что	33	47
2	о том что	7	29
3	в этом отношении	7	24
4	для того чтобы	20	19
5	до сих пор	3	19
6	с точки зрения	12	14
7	с другой стороны	8	13
8	во всяком случае	2	13
9	то обстоятельство что	5	11
10	не может быть	4	11
11	в самом деле	6	9
12	вместе с тем	4	9
13	на то что	5	9
14	в то же	1	9
15	можно было бы	8	9
16	тем не менее	1	8
17	к тому что	5	8
18	на самом деле	3	8
19	не только в	1	8
20	в конце концов	2	7
21	в этой области	3	7
22	в данном случае	3	7
23	но все же	2	7
24	заключается в том	12	7
25	в то время	4	7
26	том что он	3	7
27	у нас нет	1	7
28	так же как	9	6
29	по отношению к	19	6
30	в этом смысле	5	6
31	так и в	1	6
32	том что в	2	6
33	не только не	7	6
34	речь идет о	1	6
35	в том смысле	1	6
36	вопрос о том	4	6
37	что он не	3	5
38	то время как	4	5
39	в том же	1	5
40	с тем что	3	5
41	но и в	1	5
42	тем что в	1	5
43	в том чтобы	3	5
44	как раз в	1	5
45	в свое время	2	5
46	то что в	1	5
47	с самого начала	8	5
48	и в области	2	5
49	после того как	1	5
50	до того как	2	4
51	мере в какой	3	4
52	в применении к	1	4
53	то что он	3	4
54	что в своем	1	4
55	сами по себе	1	4
56	с одной стороны	10	4
57	как например в	1	4
58	ничего общего с	3	4
59	тем или иным	2	4
60	что в этой	1	4
61	в связи с	6	4
62	в другом месте	4	4
63	того или иного	1	4
64	говорит об этом	1	4
65	на вопрос о	4	4
66	он говорил что	1	4
67	что и в	1	4
68	на эту тему	1	4
69	он должен был	1	3
70	это не значит	1	3
71	о том как	3	3
72	том смысле что	1	3
73	в той мере	3	3
74	в той же	3	3
75	можно сказать что	7	3
76	говоря уже о	1	3
77	в том числе	2	3
78	совершенно так же	1	3
79	не значит что	1	3
80	той мере в	3	3
81	более или менее	1	3
82	да и в	1	3
83	сказать что в	1	3
84	потому что он	7	3
85	таким образом в	2	3
86	а с другой	3	3
87	к тому же	1	3
88	что это не	1	3
89	на этот раз	1	3
90	бы то ни	1	3
91	что оба эти	1	3
92	если принять во	2	3
93	так как в	1	3
94	и только в	1	3
95	свидетельствуют о том	1	3
96	только в том	2	3
97	в известном смысле	7	3
98	состоит в том	7	3
99	не говоря уже	1	3
100	в лучшем случае	3	3
101	в прямом смысле	1	3
102	в этом случае	5	3
103	в первую очередь	4	3
104	принять во внимание	3	3
105	было бы совершенно	1	3
106	что в области	1	3
107	прежде всего в	1	3
108	тесно связана с	1	2
109	что в отношении	1	2
110	а не на	2	2
111	ни в каком	1	2
112	и в другом	3	2
113	но вместе с	3	2
114	что в его	1	2
115	этой области не	1	2
116	себе отчета в	1	2
117	что мы знаем	1	2
118	в какой степени	2	2
119	но и с	1	2
120	что он был	1	2
121	все более и	3	2
122	в обоих случаях	2	2
123	во всех трех	1	2
124	сомневаться в том	1	2
125	в зависимости от	2	2
126	о том в	1	2
127	том числе и	2	2
128	и вместе с	1	2
129	независимо от того	2	2
130	а во второй	1	2
131	а потому что	2	2
132	в отличие от	3	2
133	что в этом	1	2
134	то ни было	1	2
135	не может не	3	2
136	то же самое	7	2
137	то что я	1	2
138	только тогда когда	2	2
139	не только по	1	2
140	сам по себе	1	2
141	ответить на вопрос	2	2
142	внимание на то	1	2
143	в свою очередь	4	2
144	чуть ли не	1	2
145	но он не	5	2
146	той или иной	1	2
147	вообще не существует	1	2
148	но и это	1	2
149	не столько в	1	2
150	это не так	1	2
151	и в конце	1	2
152	не до конца	2	2
153	в которой он	1	2
154	во всей полноте	1	2
155	в целом ряде	1	2
156	более и более	3	2
157	в настоящее время	2	2
158	на этот вопрос	5	2
159	отчета в том	2	2
160	я не могу	1	2
161	что мы имеем	1	2
162	что если бы	1	2
163	как мы видели	4	2
164	в равной мере	4	2
165	мы имеем в	1	2
166	так что в	2	2
167	и то что	6	2
168	чтобы можно было	1	2
169	с того что	2	2
170	имеем дело с	1	2
171	и другой стороны	1	1
172	он никогда не	1	1
173	благодаря тому что	1	1
174	в вопросе о	3	1
175	этого у него	1	1
176	до самого последнего	1	1
177	он говорит что	1	1
178	этих точек зрения	1	1
179	заключается именно в	1	1
180	но в сущности	1	1
181	точки зрения задач	1	1
182	отвечает на этот	1	1
183	в этом направлении	1	1
184	так что когда	1	1
185	и те же	1	1
186	и на все	1	1
187	не только потому	1	1
188	он не должен	1	1
189	с первого взгляда	1	1
190	по поводу этих	1	1
191	что значит слово	1	1
192	такое же значение	1	1
193	является как раз	1	1
194	между одним и	1	1
195	будет видно из	1	1
196	на том что	1	1
197	по сравнению с	9	1
198	того в чем	1	1
199	потому что оно	1	1
200	вопрос что такое	1	1
201	в самом начале	2	1
202	то что с	1	1
203	самого последнего времени	1	1
204	как и во	1	1
205	что он делает	1	1
206	в собственном смысле	2	1
207	одни и те	1	1
208	мы говорим о	2	1
209	и никогда не	1	1
210	точка зрения была	1	1
211	в том и	1	1
212	с этой точки	7	1
213	его отношение к	3	1
214	с фактической стороны	2	1
215	здесь и там	1	1
216	и это не	1	1
217	не разрешают но	1	1
218	не знает и	1	1
219	потому что она	1	1
220	потому что в	4	1
221	друг от друга	5	1
222	мы видели уже	2	1
223	и которые в	1	1
224	и то же	1	1
225	совершенно очевидно что	1	1
226	было бы подумать	1	1
227	является то что	3	1
228	в котором она	1	1
229	ниже к этому	1	1
230	может не быть	1	1
231	в силе и	1	1
232	можно считать установленным	1	1
233	с которым мы	1	1
234	в такой же	3	1
235	из которых один	1	1
236	смысле этого слова	2	1
237	то что эти	1	1
238	что он в	1	1
239	но на самом	1	1
240	той и другой	1	1
241	в основе этой	2	1
242	вместо того чтобы	5	1
243	сказал бы что	1	1
244	ответа на вопрос	1	1
245	само по себе	2	1
246	речи в этом	1	1
247	как бы по	1	1
248	и таким образом	1	1
249	надо сказать что	1	1
250	на все что	1	1
251	не знает ни	1	1
252	не могло быть	1	1
253	и по отношению	1	1
254	нас нет никаких	1	1
255	тогда он должен	1	1
256	в развитии этой	1	1
257	но и по	1	1
258	я это делаю	2	1
259	в высшей степени	3	1
260	это означало бы	1	1
261	является одним из	2	1
262	но как раз	2	1
263	что они являются	1	1
264	между собой как	2	1
265	имел в виду	1	1
266	только то что	2	1
267	это значит что	4	1
268	нет никаких оснований	2	1
269	не сказал бы	1	1
270	согласно которому в	1	1
271	не то что	4	1
272	не потому чтобы	1	1
273	собственном смысле этого	1	1
274	и не может	3	1
275	мы имеем дело	2	1
276	того что он	3	1
277	это находит свое	1	1
278	само собой разумеется	1	1
279	на вопрос что	1	1
280	этого вопроса в	1	1
281	это в другом	1	1
282	на которые распадается	1	1
283	не знает что	3	1
284	он попал в	1	1
285	находит свое выражение	1	1
286	то что она	1	1
287	такова точка зрения	1	1
288	и потому что	1	1
289	друг к другу	3	1
290	это расхождение между	1	1
291	тем что мы	2	1
292	зрения согласно которой	1	1
293	и во всяком	1	1
294	что то что	1	1
295	дело только в	1	1
296	она исходит из	1	1
297	обратил внимание на	1	1
298	еще и в	1	1
299	не отдает себе	2	1
300	которая в его	1	1
301	и может быть	1	1
302	они ни были	1	1
303	как раз этого	1	1
304	которые вместе с	1	1
305	от того что	6	1
306	время как в	1	1
307	там где они	1	1
308	моменты связанные с	1	1
309	сказать что они	1	1
310	и тому же	2	1
311	к вопросу о	1	1
312	собой разумеется что	1	1
313	в качестве средства	2	1
314	не совсем так	1	1
315	может быть даже	1	1
316	этом случае и	1	1
317	в его развитии	2	1
318	и в отношении	1	1
319	этой точки зрения	7	1
320	основных положений его	1	1
321	самом деле не	1	1
322	это можно было	1	1
323	к выводу что	3	1
324	и на том	1	1
325	в результате этого	1	1
326	того как он	2	1
327	и той же	3	1
328	во внимание что	1	1
329	именно то что	3	1
330	вопрос о значении	1	1
331	связи с этим	1	1
332	отделены друг от	1	1
333	в этом и	2	1
334	той же мере	2	1
335	и что следовательно	2	1
336	что совершается в	1	1
337	что в момент	2	1
338	но в высшей	1	1
339	ни на что	1	1
340	известном смысле является	1	1
341	точка зрения на	1	1
342	новое для него	1	1
343	не имеет никакого	1	1
344	если бы она	1	1
345	в сущности говоря	5	1
346	и не является	1	1
347	мы до сих	1	1
348	которая существует между	1	1
349	и в частности	3	1
350	характеризуется тем что	1	1
351	в какой они	1	1
352	именно в этом	3	1
353	которой не может	1	1
354	прямом смысле этого	1	1
355	одно и то	1	1
356	понимать его в	1	1
357	это не может	2	1
358	и во всей	1	1
359	ответ на этот	2	1
360	одной и той	3	1
361	тот и другой	1	1
362	в той области	1	1
363	он не знает	1	1
364	ту мысль что	2	1
365	можно даже сказать	1	1
366	в области других	1	1
367	одному и тому	2	1
368	непосредственно вытекает из	2	1
369	он не сумел	1	1
370	хотя бы в	2	1
371	и что в	2	1
372	же как и	2	1
373	не могут быть	3	1
374	представление о том	1	1
375	в связь с	1	1
376	в этом варианте	1	1
377	те или иные	1	1
378	и все же	1	1
379	во второй половине	1	1
380	был перенесен в	1	1
381	этот вопрос можно	1	1
382	на то как	1	1
383	никогда не утверждал	1	1
384	по мере его	1	1
385	но с этим	1	1
386	мы сталкиваемся с	1	1
387	в разной мере	1	1
388	не отделены друг	1	1
389	в том виде	1	1
390	вопрос об особенностях	1	1
391	и не только	1	1
392	в школе и	3	1
393	как уже сказано	3	1
394	если бы оно	3	1
395	не существует все	1	1
396	те или другие	1	1
397	в другом случае	2	1
398	как производное от	1	1
399	к жизни и	1	1
400	что они сами	1	1
401	на первом месте	1	1
