N	3gram	Tiupa_Hudo	Sovremen
1	с точки зрения	5	5
2	не может быть	5	4
3	не может не	1	3
4	с самого начала	1	3
5	друг с другом	1	2
6	в свою очередь	1	2
7	то же самое	3	2
8	во всяком случае	1	2
9	тем не менее	6	2
10	в отличие от	1	2
11	в настоящее время	1	2
12	мы знаем что	1	1
13	в том что	15	1
14	если бы эти	1	1
15	на самом деле	1	1
16	до сих пор	3	1
17	одной стороны и	1	1
18	все более и	1	1
19	в свое время	1	1
20	сами по себе	1	1
21	одна и та	1	1
22	в предыдущей главе	3	1
23	и та же	1	1
24	в связи с	3	1
25	и все же	1	1
26	в самом деле	5	1
27	дело в том	1	1
28	на другой день	1	1
29	в такой же	2	1
30	в том случае	2	1
31	а в конце	1	1
32	той или иной	1	1
33	можно говорить об	1	1
34	в данном случае	3	1
35	это не более	1	1
36	ни одна не	1	1
37	что все они	1	1
38	все это делает	1	1
39	но все же	2	1
40	мы уже знаем	2	1
41	ни то ни	1	1
42	в конечном счете	4	1
43	уже знаем что	1	1
44	с одной стороны	4	1
45	мы не знаем	1	1
46	в известном смысле	1	1
47	более и более	1	1
48	такой же мере	2	1
49	так же как	2	1
50	и к другому	1	1
51	то же время	11	1
52	не в том	2	1
53	она не может	1	1
54	из этих двух	1	1
55	по отношению к	15	1
56	то ни другое	1	1
57	в том как	1	1
58	в то же	11	1
59	но ведь это	1	1
60	бы то ни	1	1
61	заключает в себе	1	1
62	он уже не	1	1
63	было бы так	1	1
64	и в этом	3	1
65	в этом случае	1	1
66	тот или иной	1	1
67	же самое что	2	1
68	можно было бы	5	1
69	в этом смысле	1	1
70	и в то	2	1
71	но тем не	2	1
72	из них это	1	1
73	может быть только	1	1
