N	4gram	Losev_Prob	formyVre
1	в то же время	1	18
2	в том числе и	1	5
3	в то время как	4	4
4	в связи с этим	1	4
5	в той или иной	2	3
6	ни в чем не	2	3
7	каковы бы ни были	1	3
8	но в то же	2	3
9	и до сих пор	1	2
10	все более и более	1	2
11	дело в том что	4	2
12	похожи друг на друга	1	2
13	в его борьбе с	1	1
14	но в конце концов	1	1
15	с этой точки зрения	2	1
16	с самого начала не	1	1
17	в том что в	1	1
18	и все прочие члены	1	1
19	можно сказать что здесь	1	1
20	в жизни и в	1	1
21	том числе и в	1	1
22	что на самом деле	1	1
23	и вместе с тем	2	1
24	приходит к выводу что	1	1
25	только в том что	1	1
26	не только в том	2	1
27	или что то же	1	1
28	одном и том же	1	1
29	с точки зрения которого	1	1
30	в себе самом и	1	1
31	под тем же названием	1	1
32	в том что он	2	1
33	в одном и том	1	1
34	действительности и прежде всего	1	1
35	и с точки зрения	1	1
36	во времени и пространстве	1	1
37	что мы находим в	1	1
38	смысле слова то есть	2	1
39	в буквальном смысле слова	1	1
