N	2gram	Berdyaev_N	Sotsiolo
1	все это	5	7
2	в том	8	5
3	в этом	7	5
4	не только	5	3
5	не в	6	3
6	и в	16	3
7	и только	1	3
8	но ведь	1	3
9	в его	1	3
10	что в	9	2
11	заключается что	2	2
12	то что	4	2
13	том что	2	2
14	было бы	1	2
15	как будто	2	2
16	в смысле	2	2
17	и мы	4	2
18	по природе	1	2
19	но и	3	2
20	может быть	7	2
21	идей и	1	2
22	по существу	2	2
23	и что	2	2
24	это и	2	2
25	за пределы	3	2
26	и заключается	2	2
27	в конце	1	2
28	должна быть	3	2
29	только в	1	2
30	к которому	1	2
31	еще не	3	2
32	а в	2	1
33	что он	1	1
34	быть не	1	1
35	в силу	1	1
36	это значит	1	1
37	более не	2	1
38	все эти	2	1
39	не было	4	1
40	когда мы	2	1
41	в своей	3	1
42	во всяком	1	1
43	в мире	3	1
44	и потому	4	1
45	или не	1	1
46	с другой	3	1
47	мы должны	1	1
48	далеко еще	1	1
49	с ним	1	1
50	и более	1	1
51	в этой	1	1
52	в свои	2	1
53	и его	1	1
54	не должна	1	1
55	перейти к	3	1
56	которая должна	1	1
57	только для	1	1
58	в области	1	1
59	так и	2	1
60	в то	2	1
61	ни одно	1	1
62	в котором	1	1
63	внутреннего единства	1	1
64	должна с	1	1
65	него и	1	1
66	мы переходим	1	1
67	должно было	2	1
68	нельзя мыслить	1	1
69	и не	11	1
70	выходит за	1	1
71	но она	2	1
72	всяком случае	1	1
73	свои права	2	1
74	должна стать	2	1
75	или нет	1	1
76	вступает в	1	1
77	но не	2	1
78	они не	1	1
79	не способен	1	1
80	она должна	1	1
81	для этого	2	1
82	прежде всего	4	1
83	тем что	1	1
84	что она	2	1
85	но сам	1	1
86	существу своему	1	1
87	в чем	1	1
88	в сущности	1	1
89	в наше	3	1
90	зависит от	2	1
91	с одной	2	1
92	конечно не	3	1
93	о том	4	1
94	мы не	2	1
95	мысли в	2	1
96	том и	2	1
97	наше время	4	1
98	в этих	1	1
99	у него	2	1
100	по себе	1	1
101	бы он	1	1
102	хотя бы	2	1
103	это не	4	1
104	одной стороны	2	1
105	и должно	2	1
106	никогда не	6	1
107	и есть	10	1
108	не может	16	1
109	что все	2	1
110	место в	2	1
111	как и	7	1
112	в них	4	1
