N	2gram	Tiupa_Anal	Formalny
1	и в	30	95
2	и не	33	78
3	может быть	33	66
4	в этом	31	61
5	не может	26	57
6	вовсе не	4	53
7	таким образом	5	52
8	и его	9	51
9	так и	16	50
10	точки зрения	10	47
11	в нем	3	42
12	в его	15	42
13	прежде всего	8	41
14	с точки	6	40
15	как и	23	39
16	и т	3	37
17	художественного произведения	6	36
18	в самом	12	35
19	не в	17	35
20	а не	25	34
21	в процессе	2	34
22	но и	29	33
23	то же	12	32
24	самом деле	3	32
25	истории литературы	4	31
26	не только	30	30
27	в пределах	11	28
28	в том	36	26
29	отнюдь не	22	26
30	если бы	6	26
31	то что	11	25
32	при этом	20	24
33	в своей	7	24
34	лишь в	12	24
35	на самом	2	24
36	было бы	4	23
37	связи с	2	23
38	в ней	1	23
39	в то	10	22
40	и ее	1	22
41	и с	2	21
42	что в	7	21
43	как бы	15	21
44	между ними	1	20
45	с тем	1	20
46	не менее	5	20
47	входит в	1	20
48	как мы	3	20
49	и от	1	20
50	же время	7	20
51	место в	3	20
52	в их	8	20
53	по себе	6	19
54	художественное произведение	5	19
55	хотя бы	4	19
56	не могут	3	19
57	все это	2	19
58	все же	4	18
59	в связи	2	18
60	т п	3	18
61	должна быть	1	18
62	только в	8	18
63	и все	5	18
64	с его	3	18
65	все эти	3	18
66	и их	2	18
67	как раз	5	17
68	произведения в	14	17
69	как в	3	17
70	более того	4	17
71	во всяком	1	16
72	с другой	7	16
73	так же	1	16
74	всяком случае	1	16
75	в искусстве	2	16
76	совершенно не	2	16
77	потому что	3	16
78	именно в	6	15
79	все время	1	15
80	должно быть	2	15
81	с другими	4	15
82	его в	2	15
83	бы в	3	15
84	во всех	5	15
85	и на	10	15
86	так как	3	15
87	но в	11	15
88	в поэзии	2	15
89	в литературе	4	15
90	в жизни	1	14
91	только на	3	14
92	в своем	2	14
93	в ее	2	14
94	в этой	12	14
95	что он	3	14
96	вместе с	6	14
97	еще не	5	14
98	языка и	2	14
99	литературное произведение	12	14
100	и потому	2	14
101	жизни и	1	14
102	в целом	9	14
103	в результате	3	13
104	тем что	2	13
105	языка как	1	13
106	что и	5	13
107	ни в	5	13
108	как его	1	13
109	могут быть	12	13
110	независимо от	2	13
111	для них	1	13
112	сводится к	6	13
113	со стороны	5	13
114	что же	3	13
115	того что	5	13
116	а в	11	13
117	уже не	6	12
118	к тому	12	12
119	в действительности	2	12
120	по отношению	10	12
121	как это	5	12
122	и здесь	1	12
123	оно не	1	12
124	того чтобы	3	12
125	и для	3	12
126	отношению к	9	12
127	никогда не	4	11
128	так сказать	1	11
129	то ни	3	11
130	между тем	7	11
131	литературного произведения	50	11
132	зависимости от	1	11
133	они не	1	11
134	произведения как	8	11
135	для него	5	11
136	этом отношении	5	11
137	в основе	6	11
138	в общем	1	11
139	но не	13	11
140	произведение как	1	11
141	не как	2	10
142	язык как	1	10
143	другой стороны	2	10
144	в своих	1	10
145	в первом	3	10
146	в художественном	4	10
147	раз и	2	10
148	о литературе	3	10
149	в зависимости	1	10
150	бы то	3	10
151	не было	1	10
152	не есть	8	10
153	здесь и	1	10
154	действительности и	1	10
155	он не	4	10
156	с ее	2	10
157	как о	2	10
158	не является	3	10
159	тем же	1	10
160	друг друга	1	10
161	и др	1	10
162	мы не	1	10
163	материала и	1	10
164	по существу	1	10
165	и как	6	10
166	на фоне	5	10
167	не о	3	10
168	еще более	1	9
169	и даже	10	9
170	языка в	1	9
171	говорить о	3	9
172	ни было	4	9
173	но ведь	1	9
174	литературы и	1	9
175	бы ни	2	9
176	или иного	3	9
177	отношения к	4	9
178	в свою	1	9
179	и до	3	9
180	здесь не	2	9
181	но это	1	9
182	ничего не	10	9
183	у нас	1	9
184	быть и	1	9
185	и может	1	9
186	и к	5	8
187	без исключения	2	8
188	в них	1	8
189	и те	2	8
190	в данном	6	8
191	одной стороны	6	8
192	мы ни	1	8
193	была бы	4	8
194	следует что	2	8
195	с одной	7	8
196	между собой	2	8
197	в сторону	6	8
198	сих пор	1	8
199	и речи	1	8
200	и является	4	8
201	из этого	2	8
202	всех этих	2	8
203	до сих	1	8
204	и должно	1	8
205	что это	1	8
206	роль в	3	8
207	на основе	3	8
208	не должна	1	8
209	это не	7	8
210	должен быть	6	8
211	не следует	6	8
212	для того	4	8
213	в области	4	8
214	для этого	2	8
215	в той	8	7
216	же и	1	7
217	его от	3	7
218	более или	2	7
219	в художественную	1	7
220	но все	1	7
221	является для	1	7
222	применении к	1	7
223	мы увидим	1	7
224	в применении	1	7
225	свою очередь	1	7
226	сказать что	2	7
227	что именно	2	7
228	к этому	2	7
229	в сущности	10	7
230	из них	2	7
231	художественном произведении	1	7
232	смысл и	3	7
233	в себе	17	7
234	столь же	7	7
235	бы быть	3	7
236	искусства в	4	7
237	в особенности	1	7
238	во втором	1	7
239	литературы как	2	7
240	творчества и	2	7
241	сами по	3	7
242	смысла и	3	7
243	произведение в	2	7
244	жизни в	1	7
245	том что	21	7
246	не входит	1	7
247	известной степени	1	7
248	а вовсе	1	7
249	он и	3	7
250	и более	5	7
251	в какой	3	7
252	только и	1	7
253	войти в	1	7
254	или менее	2	7
255	того или	3	7
256	как их	1	7
257	в понимании	1	7
258	как к	2	7
259	и только	1	7
260	и наконец	2	7
261	к действительности	1	6
262	литературы а	1	6
263	те же	3	6
264	произведения а	2	6
265	в этих	3	6
266	как она	1	6
267	если он	1	6
268	например в	1	6
269	исходили из	1	6
270	их в	1	6
271	при таком	2	6
272	отличается от	3	6
273	о том	11	6
274	художественного восприятия	9	6
275	он был	3	6
276	познания и	1	6
277	жизнь и	1	6
278	только не	6	6
279	по преимуществу	4	6
280	в которой	3	6
281	в конце	4	6
282	учение о	1	6
283	речевого общения	1	6
284	социальной группы	1	6
285	на этом	4	6
286	и тем	4	6
287	за пределы	6	6
288	в статье	1	6
289	от нее	1	6
290	один из	4	6
291	его с	1	6
292	на ее	1	6
293	с ним	6	6
294	его смысла	1	6
295	сам по	1	6
296	ее и	1	6
297	к его	3	6
298	литературная критика	1	6
299	его и	3	6
300	из этих	2	6
301	в произведении	7	6
302	литературных произведений	1	6
303	нет и	2	6
304	той же	4	6
305	этого слова	10	6
306	данном случае	3	6
307	уже в	1	6
308	к истории	1	6
309	и восприятия	2	6
310	в формах	1	6
311	ее в	2	6
312	смысле этого	1	6
313	нисколько не	1	6
314	особенно в	9	6
315	произведения искусства	3	6
316	его не	1	6
317	в частности	32	6
318	тем самым	9	6
319	отношение к	2	6
320	такой же	3	6
321	тому что	2	6
322	случае в	2	5
323	с этой	2	5
324	даже в	5	5
325	какой бы	2	5
326	в виду	2	5
327	в рамки	1	5
328	равно как	1	5
329	значительной степени	1	5
330	в мире	14	5
331	так например	2	5
332	можно сказать	6	5
333	в котором	5	5
334	вопрос о	2	5
335	связь между	1	5
336	из виду	3	5
337	как на	1	5
338	в нашем	3	5
339	как от	2	5
340	все без	1	5
341	в литературоведении	2	5
342	она есть	2	5
