N	2gram	Tiupa_Teor	KFilosof
1	может быть	22	45
2	в его	12	42
3	в нем	7	32
4	не может	8	29
5	и не	17	28
6	и в	24	28
7	в бытии	1	26
8	по отношению	10	26
9	в котором	1	24
10	не есть	1	22
11	для меня	2	22
12	отношению к	10	22
13	в себе	14	21
14	только в	9	18
15	и его	11	18
16	в своем	7	17
17	в ее	6	17
18	а не	14	17
19	в этом	12	15
20	для него	5	13
21	не в	9	13
22	точки зрения	11	13
23	к нему	2	12
24	ни в	5	12
25	но не	13	12
26	и это	2	12
27	в своей	8	11
28	все эти	3	11
29	во всех	3	11
30	все это	2	10
31	это не	4	10
32	с точки	3	10
33	и есть	1	10
34	бытия и	1	10
35	от себя	3	10
36	и для	3	10
37	в целом	4	10
38	в их	4	9
39	но и	14	9
40	как бы	8	9
41	момент его	1	9
42	в единстве	1	8
43	не было	1	8
44	если бы	3	8
45	в мире	26	8
46	со стороны	6	8
47	было бы	1	8
48	лишь в	10	8
49	в себя	5	8
50	жизни и	1	8
51	себя в	7	8
52	и здесь	2	7
53	со мной	1	7
54	что и	2	7
55	должен быть	2	7
56	вовсе не	3	7
57	уже не	6	7
58	совершенно не	1	7
59	то что	6	7
60	на основе	2	7
61	для себя	3	7
62	момент в	1	7
63	и только	1	7
64	отнюдь не	3	7
65	мир как	1	6
66	должно быть	1	6
67	но эта	1	6
68	поступок в	1	6
69	я не	2	6
70	не имеет	1	6
71	и я	1	6
72	в том	20	6
73	и их	1	6
74	и действительно	1	6
75	отношение к	7	6
76	место в	7	6
77	он не	5	6
78	мира в	3	6
79	проникает в	1	5
80	от его	1	5
81	в событии	1	5
82	то же	12	5
83	мы имеем	7	5
84	не только	24	5
85	эстетического созерцания	3	5
86	с ним	1	5
87	но как	2	5
88	его в	4	5
89	не знает	4	5
90	в основе	6	5
91	но в	12	5
92	именно в	3	5
93	бы быть	1	5
94	как и	6	5
95	все же	1	5
96	жизни в	2	5
97	себя и	2	5
98	еще не	6	5
99	время и	1	5
100	в одном	3	5
101	ни одно	1	5
102	от своей	1	5
103	а в	15	5
104	я и	2	5
105	культуры и	1	5
106	его как	1	5
107	жизни как	5	5
108	в контексте	3	5
109	эмоционально-волевым тоном	1	5
110	никогда не	4	5
111	что в	10	4
112	при этом	20	4
113	ни было	2	4
114	что это	1	4
115	не как	1	4
116	для нас	1	4
117	прежде всего	3	4
118	в своих	1	4
119	места в	1	4
120	нет в	1	4
121	с ними	2	4
122	мира и	4	4
123	том что	11	4
124	в чем	2	4
125	в каком	2	4
126	это мир	1	4
127	ценностного центра	3	4
128	и жизни	1	4
129	входит в	4	4
130	во всей	3	4
131	могла бы	2	4
132	не по	1	4
133	между тем	5	4
134	здесь мы	2	4
135	времени и	2	4
136	тем самым	6	4
137	и т.д	4	4
138	к ним	1	4
139	себя а	1	4
140	жизни но	2	3
141	ближе к	1	3
142	от него	1	3
143	и может	1	3
144	и на	2	3
145	на язык	1	3
146	этого мира	1	3
147	и пр	1	3
148	ним и	1	3
149	всем его	1	3
150	действительной жизни	1	3
151	того что	5	3
152	сознания и	1	3
153	в виду	5	3
154	и делает	1	3
155	самом деле	2	3
156	тем что	1	3
157	в акте	3	3
158	меня в	1	3
159	стороны в	1	3
160	не дает	1	3
161	рядом с	1	3
162	не менее	6	3
163	по своему	4	3
164	бы не	1	3
165	здесь не	2	3
166	его жизни	1	3
167	поскольку он	1	3
168	себе и	1	3
169	в момент	3	3
170	своей значимости	1	3
171	и другого	1	3
172	той или	3	3
173	в каждом	1	3
174	себя не	1	3
175	это и	2	3
176	того или	6	3
177	данный момент	2	3
178	что не	1	3
179	с моей	1	3
180	когда я	1	3
181	в свою	4	3
182	лежат в	1	3
183	не должно	1	3
184	во мне	2	3
185	в другом	4	3
186	для того	5	3
187	быть и	2	3
188	вступает в	2	3
189	к чему	2	3
190	этом смысле	3	3
191	человека и	2	3
192	с человеком	2	3
193	из его	1	3
194	не быть	1	3
195	могут быть	5	3
196	до конца	1	3
197	нигде не	1	3
198	о том	2	3
199	тем как	1	3
200	в данный	2	3
201	в то	9	3
202	для которого	1	3
203	события в	2	3
204	или иного	6	3
205	независимо от	1	3
206	и совершенно	1	3
207	тот же	1	3
208	и тем	5	3
209	котором он	1	3
210	или иным	4	2
211	бы то	2	2
212	как к	5	2
213	которой я	1	2
214	ответственность за	1	2
215	один из	2	2
216	вступить в	1	2
217	имеют место	1	2
218	и конечно	1	2
219	мышления и	3	2
220	может не	1	2
221	чего не	1	2
222	чтобы быть	1	2
223	в единое	3	2
224	и того	4	2
225	других для	1	2
226	его с	1	2
227	эстетическая деятельность	6	2
228	ценностный центр	2	2
229	случае мы	1	2
230	оценки и	1	2
231	дело с	1	2
232	переживание переживания	2	2
233	тому что	2	2
234	бытия не	1	2
235	в некоторое	1	2
236	это уже	1	2
237	тем не	3	2
238	так и	14	2
239	смысловой значимости	1	2
240	жить и	2	2
241	из которых	2	2
242	в принципе	7	2
243	и то	3	2
244	в качестве	33	2
245	смыслу и	1	2
246	сводится к	12	2
247	и само	1	2
248	акта в	1	2
249	смысла в	1	2
250	по себе	2	2
251	со всеми	1	2
252	оно не	2	2
253	если не	1	2
254	говорим о	1	2
255	отказаться от	1	2
256	однако что	1	2
257	из нее	1	2
258	всех его	1	2
259	в сознании	1	2
260	мы говорим	1	2
261	дело в	2	2
262	вокруг него	2	2
263	в мир	1	2
264	в составе	1	2
265	дело здесь	1	2
266	не следует	4	2
267	в жизни	3	2
268	не остается	1	2
269	и эстетический	1	2
270	и должен	1	2
271	с тем	1	2
272	и как	3	2
273	весь мир	1	2
274	эмоционально-волевое отношение	1	2
275	что он	4	2
276	и вокруг	1	2
277	в соответствии	3	2
278	но я	1	2
279	переживания как	1	2
280	как в	5	2
281	на первом	1	2
282	сознания как	1	2
283	от этого	1	2
284	смысла и	1	2
285	это было	2	2
286	вследствие этого	2	2
287	в это	1	2
288	жизни является	1	2
289	а для	2	2
290	не способна	1	2
291	деятельности и	1	2
292	жизнь и	1	2
293	все они	1	2
294	и мир	1	2
295	этого слова	4	2
296	и потому	3	2
297	ни к	3	2
298	было и	1	2
299	моего сознания	1	2
300	может иметь	1	2
301	ведь это	1	2
302	а с	3	2
303	в данном	9	2
304	вытекает из	2	2
305	он ни	1	2
306	вопрос о	1	2
307	раз и	1	2
308	мира как	1	2
309	она не	1	2
310	она могла	1	2
311	потому что	3	2
312	единства в	1	2
313	того чтобы	5	2
314	то ни	2	2
315	совсем не	1	2
316	этом мире	2	2
317	но всегда	1	2
318	дело не	2	2
319	кажется что	1	2
320	не будет	3	2
321	в него	1	2
322	а по	1	2
323	говорить о	4	2
324	свою жизнь	2	2
325	для этого	1	2
326	отношении к	4	2
327	всей своей	2	2
328	же время	8	2
329	всей его	2	2
330	или иное	1	2
331	себя за	1	2
332	автора его	1	2
333	основе своей	2	2
334	имеем в	3	2
335	в этой	3	2
336	он и	2	2
337	т.е не	1	2
338	эстетического субъекта	2	2
339	соответствии с	2	2
340	ее как	1	2
341	при условии	2	2
342	смысле не	1	2
343	эстетическому субъекту	1	2
344	слова в	4	2
345	или иной	7	2
346	включает в	2	2
347	с его	6	2
348	автора как	2	2
349	в области	7	2
350	чему не	1	2
351	ни был	2	2
352	с ее	4	2
353	к содержанию	3	2
354	чтобы не	2	2
355	то или	1	2
356	сознания в	2	2
357	и ее	4	2
358	едва ли	1	2
359	одного и	4	2
360	другого и	1	2
361	этих моментов	1	2
362	себе а	1	2
363	жизненные ценности	1	1
364	как основной	1	1
365	положений и	1	1
366	подход к	1	1
367	более не	2	1
368	в самом	7	1
369	практически не	1	1
370	мир все	2	1
371	и к	3	1
372	мире и	2	1
373	на почве	5	1
374	именно к	1	1
375	к действительности	3	1
376	только не	3	1
377	обе стороны	1	1
378	во втором	3	1
379	все что	1	1
380	как это	10	1
381	образом и	2	1
382	мы видим	1	1
383	в душе	9	1
384	собой и	1	1
385	можно говорить	1	1
386	основе его	1	1
387	и мира	2	1
388	и автора	3	1
389	сказать в	1	1
390	так как	1	1
391	меня эта	1	1
392	одном случае	1	1
393	здесь именно	1	1
394	же и	1	1
395	то есть	22	1
396	такова же	1	1
397	и свою	1	1
398	но из	1	1
399	местом в	1	1
400	как содержание	1	1
401	ответственного за	1	1
402	первом случае	1	1
403	моя жизнь	2	1
404	зависит от	1	1
405	однако по	1	1
406	все люди	1	1
407	живет в	1	1
408	на ее	1	1
409	значение для	1	1
410	ценностей или	1	1
411	мог бы	3	1
412	сознание в	1	1
413	отношения к	4	1
414	а тот	1	1
415	есть для	1	1
416	своей причастности	1	1
417	несмотря на	2	1
