N	3gram	Losev_Prob	Tvorches
1	в то же	4	25
2	и т д	12	17
3	в том что	7	11
4	преступление и наказание	1	10
5	по нашему мнению	1	10
6	в братьях карамазовых	1	9
7	о том что	16	8
8	и в то	1	7
9	не может быть	5	6
10	в записках из	1	6
11	но в то	1	6
12	и т п	1	5
13	в самом деле	4	5
14	в том же	1	5
15	записках из подполья	1	5
16	до сих пор	6	4
17	по крайней мере	8	4
18	с точки зрения	3	4
19	дело в том	3	4
20	с самого начала	2	4
21	это прежде всего	1	4
22	что все это	1	3
23	в таком случае	14	3
24	сами по себе	5	3
25	точно так же	7	3
26	том что в	2	3
27	в известной мере	2	3
28	это значит что	3	3
29	если не считать	1	3
30	во всяком случае	11	3
31	как и в	1	3
32	ю м лотмана	2	3
33	с другой стороны	7	3
34	хотя и не	2	3
35	и не может	1	3
36	является одним из	1	3
37	может быть определен	1	2
38	а может быть	3	2
39	это не значит	1	2
40	в данном случае	10	2
41	и в другом	1	2
42	в романе преступление	1	2
43	для того чтобы	9	2
44	в том числе	2	2
45	тем не менее	25	2
46	не значит что	1	2
47	в этой сцене	1	2
48	то есть не	1	2
49	так и в	2	2
50	не потому что	2	2
51	в конце концов	11	2
52	в этой области	5	2
53	том числе и	2	2
54	и в самом	2	2
55	а потому что	1	2
56	к тому же	1	2
57	не могут быть	1	2
58	в целом и	1	2
59	так как он	2	2
60	в известном смысле	1	2
61	да и не	1	2
62	не то что	2	2
63	но это не	1	2
64	в связи с	7	2
65	вместе с тем	2	2
66	заключается в том	2	2
67	только то что	6	2
68	можно сказать что	6	2
69	романе преступление и	1	2
70	и многое другое	1	2
71	на самом деле	6	2
72	именно в этом	2	2
73	содержит в себе	7	2
74	так же как	2	2
75	не только в	3	2
76	но отнюдь не	4	2
77	в первую очередь	1	2
78	и что в	2	2
79	статьи ю м	2	1
80	что у нас	1	1
81	в дальнейшем мы	1	1
82	одного из них	1	1
83	и как бы	2	1
84	как будто бы	4	1
85	том что это	2	1
86	же самое время	4	1
87	о том как	2	1
88	нам хотелось бы	3	1
89	то во всяком	4	1
90	и многие другие	2	1
91	ту же самую	1	1
92	то что не	2	1
93	ничего не говорит	1	1
94	один из них	1	1
95	значит что он	1	1
96	в пиковой даме	1	1
97	он перестает быть	1	1
98	при этом что	1	1
99	то или иное	2	1
100	д и т	3	1
101	об этом не	1	1
102	хотя бы и	3	1
103	в настоящий момент	1	1
104	никогда не является	1	1
105	он не может	1	1
106	так и от	1	1
107	и не имеют	1	1
108	во всей этой	1	1
109	но в таком	7	1
110	но для того	1	1
111	говорить о том	1	1
112	с аверинцев в	1	1
113	что в них	1	1
114	в частности в	2	1
115	друг на друга	1	1
116	в первом из	1	1
117	с с аверинцев	1	1
118	что совсем не	1	1
119	ничего общего с	9	1
120	а между тем	1	1
121	и потому что	1	1
122	но как же	1	1
123	мы никогда не	3	1
