N	2gram	Medvedev_S	Sovremen
1	не может	1	17
2	может быть	2	12
3	таким образом	2	11
4	мы не	1	9
5	в каждом	1	8
6	в этом	5	7
7	и в	3	7
8	в результате	2	6
9	как и	1	6
10	ничего не	1	6
11	и не	1	6
12	прежде всего	1	5
13	все эти	1	5
14	и наконец	1	5
15	а в	1	4
16	это не	1	4
17	не только	3	4
18	мы должны	1	4
19	с помощью	1	4
20	как бы	2	4
21	в целом	1	4
22	же это	1	4
23	в том	5	4
24	и потому	1	3
25	и мы	2	3
26	когда мы	1	3
27	то же	2	3
28	не в	3	3
29	для нас	3	3
30	все это	7	3
31	основной вопрос	1	3
32	в конце	2	3
33	ведь это	2	3
34	было бы	2	3
35	в этой	1	3
36	что она	1	3
37	все же	1	3
38	в области	1	3
39	может не	1	3
40	между собой	1	3
41	отнюдь не	1	3
42	еще не	2	3
43	что в	2	2
44	дает нам	1	2
45	и что	2	2
46	с одной	1	2
47	в его	3	2
48	во всяком	1	2
49	не дает	1	2
50	что это	1	2
51	у него	1	2
52	в виде	1	2
53	же самое	1	2
54	настоящее время	1	2
55	она может	2	2
56	тем же	1	2
57	и будет	1	2
58	и есть	1	2
59	что все	1	2
60	научного исследования	1	2
61	на этот	1	2
62	и по	1	2
63	в настоящее	1	2
64	всяком случае	1	2
65	этого и	1	1
66	к которому	2	1
67	это и	2	1
68	но как	1	1
69	в данном	1	1
70	и более	1	1
71	в процессе	1	1
72	связи с	1	1
73	положительная ценность	1	1
74	это как	1	1
75	же этот	1	1
76	ровно ничего	1	1
77	возможность именно	1	1
78	одной стороны	1	1
79	для наших	1	1
80	том как	1	1
81	на ней	1	1
82	научной мысли	1	1
83	это значит	1	1
84	с другой	1	1
85	с ним	1	1
86	развития и	1	1
87	может развиваться	1	1
88	те же	1	1
89	в область	1	1
90	все построение	1	1
91	и должно	1	1
92	но только	1	1
93	метод в	4	1
94	по отношению	2	1
95	конечно не	1	1
96	только в	2	1
97	же время	1	1
98	его в	1	1
99	в конечном	1	1
100	не было	1	1
101	один из	1	1
102	подвести итоги	1	1
103	крайней мере	1	1
104	по существу	2	1
105	и им	1	1
106	и благодаря	1	1
107	именно в	1	1
108	конечном счете	1	1
109	благодаря этому	1	1
110	отношению к	2	1
111	но ведь	3	1
112	в связи	1	1
113	работы в	1	1
114	между ними	1	1
115	случае только	1	1
116	том что	2	1
117	в мире	1	1
118	но не	1	1
119	они не	1	1
120	по себе	1	1
121	их на	1	1
122	в то	1	1
123	и только	3	1
124	этой области	1	1
125	по самому	1	1
126	или нет	1	1
127	диалектического материализма	1	1
128	наука но	1	1
129	не из	1	1
130	и его	1	1
131	вовсе не	1	1
132	нашей науки	2	1
133	о том	1	1
134	в заключение	1	1
135	мысли в	1	1
136	по крайней	1	1
137	условий то	1	1
138	никогда не	1	1
