N	2gram	Berdyaev_O	RusskieA
1	и в	19	79
2	в том	5	64
3	том что	2	59
4	что в	4	57
5	т е	4	54
6	не только	11	41
7	так как	2	34
8	в этом	12	33
9	как бы	3	31
10	но и	13	31
11	в других	2	30
12	как и	6	28
13	и на	2	28
14	может быть	11	28
15	в этот	2	26
16	одна из	1	24
17	о том	3	23
18	это не	3	20
19	а в	5	20
20	из них	1	19
21	все это	6	18
22	с тем	2	17
23	то что	5	17
24	потому что	9	17
25	мы не	1	16
26	будто бы	1	15
27	один из	1	15
28	в них	1	14
29	и с	2	14
30	как это	1	14
31	и что	1	14
32	и не	13	14
33	у нас	1	14
34	уже не	1	13
35	к этому	2	13
36	так что	2	13
37	как в	1	13
38	еще не	3	13
39	не может	4	13
40	тем что	2	12
41	не имеет	2	11
42	но это	1	11
43	все же	2	10
44	представляет собой	1	10
45	его в	2	10
46	что и	2	10
47	так и	2	10
48	и других	1	10
49	о чем	1	9
50	видно что	1	9
51	что они	2	9
52	и все	10	9
53	того как	1	9
54	но в	2	9
55	в русском	1	9
56	но не	1	9
57	одно из	2	8
58	в этих	3	8
59	после этого	1	8
60	что это	1	8
61	в россии	5	8
62	того чтобы	4	8
63	как например	1	8
64	того что	3	8
65	ее в	2	8
66	не все	2	8
67	для того	3	8
68	в это	1	7
69	в своем	2	7
70	к нему	3	7
71	не в	11	7
72	а с	1	7
73	было бы	3	7
74	говорится что	1	7
75	а не	11	7
76	начиная с	1	7
77	до конца	7	7
78	ничего не	2	7
79	иногда и	1	7
80	и как	1	7
81	как будто	1	7
82	в эти	1	7
83	в одном	1	6
84	что она	1	6
85	после того	1	6
86	чем в	2	6
87	на земле	4	6
88	в этой	5	6
89	в нем	10	6
90	должен был	2	6
91	с ними	1	6
92	и более	1	6
93	и пр	1	6
94	в первый	1	6
95	все эти	4	6
96	а иногда	1	6
97	она не	1	6
98	и о	2	6
99	и к	2	5
100	в разных	1	5
101	например в	1	5
102	вопрос о	10	5
103	не было	9	5
104	можно было	1	5
105	прежде всего	9	5
106	его с	1	5
107	с ним	3	5
108	что он	3	5
109	видел в	1	5
110	и для	2	5
111	в его	7	5
