N	3gram	Propp_Isto	Myslijsy
1	в том что	6	47
2	по отношению к	6	26
3	не может быть	8	19
4	тем не менее	7	18
5	только тогда когда	1	17
6	и т д	35	15
7	сам по себе	1	14
8	само по себе	2	14
9	мере того как	4	14
10	по мере того	4	14
11	не в том	1	13
12	более или менее	5	12
13	смысле этого слова	1	12
14	с другой стороны	7	12
15	и в этом	1	12
16	до сих пор	11	12
17	для того чтобы	1	11
18	сами по себе	1	11
19	и т п	1	11
20	подобно тому как	3	11
21	в то время	3	10
22	но тем не	1	10
23	с одной стороны	7	10
24	на то что	5	9
25	но и в	4	9
26	о том что	5	9
27	до тех пор	1	9
28	мы не можем	3	9
29	не могут быть	1	9
30	что и в	1	9
31	вместе с тем	7	8
32	на самом деле	2	8
33	в этом случае	3	8
34	с тем что	3	8
35	в том как	1	7
36	в этом смысле	1	7
37	и то же	1	7
38	не только не	1	7
39	не только в	5	7
40	может быть названо	1	7
41	друг от друга	1	6
42	может быть только	1	6
43	то же самое	3	6
44	и может быть	1	6
45	в одно время	1	6
46	с самого начала	4	6
47	после того как	2	6
48	может быть назван	2	5
49	по себе а	2	5
50	в том случае	1	5
51	то же что	1	5
52	по себе не	1	5
53	к тому что	1	5
54	не только по	1	5
55	то что в	2	5
56	таким образом в	1	5
57	если бы не	1	5
58	мы видели что	3	4
59	и тот же	2	4
60	но и по	1	4
61	вслед за тем	1	4
62	по его мнению	2	4
63	быть не может	1	4
64	лишь тогда когда	1	4
65	в том чтобы	1	4
66	один и тот	2	4
67	на этот вопрос	2	4
68	в противном случае	1	4
69	не что иное	3	4
70	дело в том	3	4
71	так что в	1	4
72	не более как	1	4
73	что иное как	3	4
74	в этом отношении	1	4
75	вопрос о том	2	4
76	то время как	3	4
77	это было бы	1	4
78	точно так же	8	3
79	что он не	4	3
80	одной стороны и	1	3
81	нельзя сказать чтобы	1	3
82	до известной степени	1	3
83	в большинстве случаев	4	3
84	говоря уже о	1	3
85	это не значит	1	3
86	так или иначе	1	3
87	том что он	1	3
88	в первом случае	1	3
89	если бы в	1	3
90	если бы мы	2	3
91	во многих случаях	1	3
92	в связи с	5	3
93	бы то ни	2	3
94	но это не	1	3
95	но так как	2	3
96	в одном из	1	3
97	таким образом мы	3	3
98	равно как и	1	3
99	только после того	1	3
100	это не так	1	3
101	внимание на то	1	3
102	ответ на это	1	3
103	так как оно	2	3
104	со всех сторон	4	3
105	не вдаваясь в	2	3
106	потому что он	2	3
107	не говоря уже	1	3
108	можно было бы	5	3
109	могли бы быть	2	3
110	на первый взгляд	2	3
111	на первых порах	2	3
112	а так как	1	3
113	мы увидим что	8	3
114	это потому что	1	3
115	с течением времени	1	3
116	а может быть	2	2
117	но вместе с	1	2
118	в себе в	1	2
