N	2gram	Propp_Russ	Vvedenie
1	и т	13	45
2	т е	41	40
3	т д	12	39
4	в том	33	38
5	в этом	18	35
6	и в	59	35
7	может быть	14	30
8	том что	33	30
9	не только	28	26
10	для того	6	23
11	того чтобы	6	22
12	таким образом	10	21
13	также и	1	20
14	не может	6	19
15	то что	10	19
16	потому что	15	18
17	только в	4	16
18	о том	14	16
19	так как	25	15
20	представляет собой	5	14
21	в общем	1	14
22	что в	35	13
23	и не	6	13
24	в нем	3	13
25	в его	3	12
26	того что	6	12
27	xix в	16	12
28	в их	5	12
29	точки зрения	3	12
30	как на	2	12
31	то же	6	11
32	в данном	7	11
33	как мы	11	11
34	прежде всего	2	10
35	не в	2	10
36	вопрос о	4	10
37	между тем	9	10
38	в той	1	10
39	но в	5	10
40	представляют собой	13	9
41	тем не	3	9
42	все же	7	9
43	из этих	6	9
44	но не	7	9
45	и как	2	9
46	не менее	3	9
47	в истории	1	9
48	это не	14	8
49	в качестве	5	8
50	именно в	3	8
51	о котором	1	8
52	а только	1	8
53	можно было	3	8
54	с другой	1	8
55	представить себе	1	7
56	и то	2	7
57	в применении	1	7
58	к выводу	3	7
59	как и	19	7
60	самом деле	1	7
61	но и	20	7
62	выводу что	3	7
63	в разных	3	7
64	было бы	3	7
65	только как	2	7
66	этот вопрос	4	7
67	как бы	18	7
68	один из	10	6
69	об этом	11	6
70	этом случае	9	6
71	все это	12	6
72	не могут	1	6
73	его в	9	6
74	на этот	3	6
75	тем что	7	6
76	с тем	14	6
77	в какой	3	6
78	а именно	2	6
79	вместе с	16	6
80	в которых	8	6
81	и это	2	6
82	так например	7	6
83	уже не	9	6
84	применении к	1	6
85	и даже	1	6
86	в руки	2	6
87	и что	8	6
88	как он	2	6
89	как например	6	6
90	сказать что	1	6
91	могут быть	3	6
92	том чтобы	3	6
93	но если	2	6
94	и его	2	6
95	в то	3	6
96	а в	16	6
97	иное как	3	6
98	связь между	2	5
99	на почве	1	5
100	уже в	2	5
101	внимание на	1	5
102	с этой	2	5
103	хотя и	3	5
104	что и	8	5
105	в виду	3	5
106	в них	10	5
107	в г	6	5
108	в первом	1	5
109	одним из	2	5
110	дело в	1	5
111	что не	1	5
112	что он	2	5
113	что иное	3	5
114	одно из	6	5
115	от этого	2	5
116	по своему	2	5
117	данном случае	8	5
118	во всяком	1	5
119	в течение	7	5
120	как уже	6	5
121	так что	4	5
122	и тем	1	5
123	а не	3	5
124	говорить о	2	5
125	есть и	2	5
126	дело не	2	5
127	в различных	3	5
128	на основании	1	5
129	не что	3	5
130	или вообще	3	5
131	т п	1	5
132	а как	1	5
133	независимо от	3	5
134	не просто	3	5
135	в целом	2	5
136	как это	11	5
137	всяком случае	1	5
138	в особенности	3	4
139	ответ на	2	4
140	в более	2	4
141	только что	1	4
142	здесь нет	1	4
143	с одной	1	4
144	тогда когда	4	4
145	с точки	3	4
146	этом отношении	1	4
147	о чем	7	4
148	из наиболее	2	4
149	как раз	1	4
150	по мере	1	4
151	в виде	10	4
152	в себе	1	4
153	должен был	3	4
154	но все	3	4
155	в одном	4	4
156	в котором	2	4
157	и ее	3	4
158	в своей	1	4
159	в чем	1	4
160	должен быть	2	4
161	к тому	4	4
162	еще не	7	4
163	однако не	1	4
164	не имеет	9	4
165	в каждом	2	4
166	еще и	1	4
167	как о	1	4
168	одной стороны	1	4
169	это только	1	4
170	е в	17	4
171	по отношению	1	4
172	мы имеем	7	4
173	не вполне	1	4
