N	3gram	Tiupa_Anal	Sotsiolo
1	по отношению к	9	2
2	дело не в	2	2
3	в том что	13	2
4	и заключается что	1	2
5	не в том	3	2
6	в то же	9	1
7	науки о литературе	2	1
8	а между тем	1	1
9	ни на что	1	1
10	в конечном счете	5	1
11	сказать и о	1	1
12	выходит за пределы	1	1
13	с одной стороны	6	1
14	в связи с	2	1
15	истории литературы как	1	1
16	то же самое	3	1
17	том и заключается	1	1
18	по крайней мере	4	1
19	о том как	1	1
20	то же время	7	1
21	в противном случае	1	1
22	целом все это	1	1
23	сама по себе	1	1
24	а с другой	1	1
25	во всяком случае	1	1
26	а в том	1	1
27	в целом все	1	1
28	и в этом	4	1
29	в том и	2	1
