N	2gram	Vygotskiy_	OGranits
1	и в	55	13
2	и его	14	12
3	прежде всего	5	9
4	может быть	35	8
5	и не	24	8
6	не может	30	8
7	и пр	1	7
8	в его	8	7
9	и их	4	7
10	эстетический объект	1	7
11	точки зрения	32	7
12	таким образом	38	6
13	не только	25	6
14	мы должны	4	6
15	только в	18	6
16	то что	47	6
17	как бы	11	6
18	в музыке	2	5
19	языка и	1	5
20	метода в	1	5
21	в поэзии	5	5
22	хотя бы	4	5
23	с точки	12	5
24	и т.д	1	5
25	художественного произведения	22	5
26	в процессе	7	5
27	но ведь	1	5
28	все же	9	5
29	и эта	1	5
30	эстетического объекта	2	5
31	и наконец	2	5
32	в каждом	5	4
33	мы можем	6	4
34	не является	5	4
35	до тех	3	4
36	произведения как	3	4
37	интонация в	1	4
38	только и	1	4
39	мы не	15	4
40	то же	17	4
41	еще и	1	4
42	было бы	14	4
43	все это	11	4
44	в сознании	6	4
45	слов и	1	4
46	материала в	2	4
47	в своей	6	4
48	в двух	1	4
49	тех пор	2	4
50	но мы	3	4
51	но в	5	4
52	вопроса о	1	4
53	поэтического произведения	3	3
54	с этим	7	3
55	эстетических категорий	2	3
56	что в	39	3
57	к одному	5	3
58	понятно что	3	3
59	и то	4	3
60	со всей	1	3
61	связана с	1	3
62	пор пока	2	3
63	материала и	2	3
64	в искусстве	24	3
65	и уже	2	3
66	так и	6	3
67	не как	3	3
68	одно и	1	3
69	есть прежде	1	3
70	в одном	4	3
71	не столько	1	3
72	за пределы	2	3
73	слово в	1	3
74	в пределах	1	3
75	в их	4	3
76	при анализе	3	3
77	в ее	7	3
78	здесь мы	1	3
79	самом деле	19	3
80	не в	19	3
81	в которой	6	3
82	что же	4	3
83	и все	8	3
84	но для	1	3
85	в себе	6	3
86	так как	28	3
87	все вопросы	1	3
88	поэтической речи	2	3
89	похожим на	1	3
90	я хочу	2	3
91	но и	12	3
92	и для	9	3
93	как и	25	3
94	точку зрения	3	3
95	никогда не	13	3
96	в области	12	2
97	к сожалению	1	2
98	своего рода	1	2
99	истории литературы	1	2
100	в самом	18	2
101	во всем	5	2
102	нет ничего	1	2
103	и к	5	2
104	что они	7	2
105	того или	2	2
106	материалом для	1	2
107	форм и	3	2
108	мы видим	8	2
109	иное как	2	2
110	в данном	1	2
111	произведения является	1	2
112	и этот	3	2
113	формальный метод	1	2
114	и наиболее	1	2
115	а как	2	2
116	в своих	12	2
117	в этом	21	2
118	этой проблемы	2	2
119	что иное	2	2
120	в общем	2	2
121	данном случае	1	2
122	на язык	1	2
123	он только	1	2
124	которое мы	2	2
125	в языке	3	2
126	с одной	6	2
127	в произведении	7	2
128	которое может	2	2
129	для себя	2	2
130	наконец в	2	2
131	и при	3	2
132	одной стороны	7	2
133	и должно	1	2
134	который мы	1	2
135	роль в	4	2
136	в другом	1	2
137	мы считаем	2	2
138	при этом	28	2
139	несмотря на	8	2
140	между тем	6	2
141	в полном	3	2
142	для него	1	2
143	вся область	1	2
144	и тем	5	2
145	в руках	2	2
146	с помощью	1	2
147	и может	3	2
148	смысле слова	4	2
149	те же	9	2
150	в том	55	2
151	с этой	8	2
152	произведения но	2	2
153	что эта	4	2
154	мы получим	2	2
155	и является	1	2
156	в тех	2	2
157	в отношении	3	2
158	к анализу	1	2
159	чем же	2	2
160	конечно в	1	2
161	вслед за	10	2
162	литературного произведения	1	2
163	против такого	1	2
164	сумеем подойти	1	2
165	другой стороны	7	2
166	представлений и	1	2
167	не что	2	2
168	но так	2	2
169	не на	2	2
170	так же	29	2
171	думать что	3	2
172	в них	4	2
173	самого начала	1	2
174	а в	10	2
175	связанных с	1	2
176	если бы	10	2
177	школы и	1	2
178	от всех	3	2
179	в ряд	1	2
180	от своего	1	2
181	не сумеем	5	2
182	а также	1	2
183	в книге	2	2
184	соответствии с	1	2
185	на две	1	2
186	еще в	1	2
187	в ней	3	2
188	с самого	1	2
189	литературное произведение	1	2
190	тем что	7	2
191	она является	3	2
192	и др	1	2
193	могут быть	15	2
194	вовсе не	7	2
195	в действительности	4	2
196	между собою	1	2
197	двух разных	1	2
198	его на	1	2
199	учение о	1	2
200	в связи	3	2
201	имеет место	2	2
202	в зависимости	6	2
203	во всей	1	2
204	с ними	2	2
205	материал в	1	2
206	при восприятии	3	2
207	говорить об	1	2
208	может стать	3	2
209	все эти	7	2
210	поэтического языка	1	2
211	с другой	7	2
212	как в	17	2
213	не менее	9	2
214	только ее	3	2
215	нуждается в	3	2
216	и социально	1	2
217	явлений и	3	2
218	не имеет	3	2
219	там где	5	2
220	том что	30	2
221	в нем	5	2
222	уже в	3	2
223	и следовательно	4	2
224	или иного	1	2
225	зависимости от	7	2
226	является уже	1	2
227	а не	18	2
228	в чем	5	2
229	в целом	8	2
230	художественное произведение	16	2
231	и ее	4	2
232	тот же	8	2
233	подойти к	2	2
234	к тому	8	2
235	есть не	6	2
236	слова и	1	2
237	бы в	3	2
238	разумеется что	1	2
239	и подобно	1	1
240	самого точного	1	1
241	в особенности	3	1
242	но у	1	1
243	его к	2	1
244	только одно	1	1
245	сведены к	1	1
246	не дано	1	1
247	поскольку она	2	1
248	не боясь	1	1
249	как к	2	1
250	этого и	1	1
251	в каждой	1	1
252	к которому	1	1
253	и наоборот	2	1
254	переходим к	1	1
255	такой степени	2	1
256	поэтическое произведение	2	1
257	который является	1	1
258	объекта но	1	1
259	то он	1	1
260	выражение в	1	1
261	стать не	1	1
262	ее и	2	1
263	о влиянии	2	1
264	даны только	1	1
265	зрения и	2	1
266	для всех	5	1
267	это сродство	1	1
268	быть сведены	1	1
269	произведение и	2	1
270	и других	4	1
271	является для	1	1
272	один из	6	1
273	как ни	1	1
274	можно установить	1	1
275	со времен	1	1
276	и здесь	3	1
277	указанных нами	1	1
278	и столь	1	1
279	о границах	1	1
280	образом мы	1	1
281	уже из	1	1
282	не обязателен	1	1
283	приближается к	1	1
284	то это	3	1
285	выходит за	2	1
286	она и	1	1
287	искусства есть	4	1
288	отличие от	6	1
289	одном случае	1	1
290	вопрос о	3	1
291	жизни когда	1	1
292	что мы	9	1
293	на этом	3	1
294	они не	1	1
295	которую мы	1	1
296	языке и	1	1
297	на нем	2	1
298	автору и	1	1
299	человеческое тело	1	1
300	другое дело	1	1
301	не имеют	1	1
302	мысль что	5	1
303	только что	3	1
304	поэт не	1	1
305	само собой	1	1
306	в последнее	4	1
307	таком подходе	1	1
308	или иная	1	1
309	ее на	2	1
310	область исследования	1	1
311	которые не	3	1
312	указать на	1	1
313	должно быть	2	1
314	того как	5	1
315	человеческого тела	2	1
316	в самых	3	1
317	только социальная	1	1
318	которой он	2	1
319	и социальной	1	1
320	если наконец	1	1
321	сводятся к	2	1
322	не могу	1	1
323	и вот	5	1
324	говоря и	1	1
325	на том	2	1
326	теории литературы	1	1
327	такого рода	1	1
328	это все	3	1
329	но при	1	1
330	более или	3	1
331	потому что	27	1
332	в значительной	1	1
333	должны быть	6	1
334	не сумеет	1	1
335	одному к	1	1
336	явления но	1	1
337	языка от	1	1
338	но даже	4	1
339	того чтобы	13	1
340	и если	4	1
341	же как	8	1
342	или иных	2	1
343	автора и	1	1
344	между отдельными	1	1
345	смысл только	1	1
346	этот метод	2	1
347	бы мы	3	1
348	ту или	2	1
349	и более	3	1
350	ждет еще	1	1
351	мы имеем	7	1
352	и у	6	1
353	также и	2	1
354	ту же	6	1
355	это и	3	1
356	как свое	1	1
357	для того	12	1
358	момента в	1	1
359	совсем не	3	1
360	тому как	10	1
361	художественного впечатления	2	1
362	тому что	7	1
363	узком смысле	1	1
364	все то	4	1
365	и дает	1	1
366	от произведения	1	1
367	быть не	1	1
368	его за	1	1
369	представляет собою	1	1
370	условиях ее	1	1
371	и должна	1	1
372	к новым	1	1
373	он и	1	1
374	уже к	1	1
375	его и	4	1
376	не всегда	2	1
377	в своем	3	1
378	в разных	1	1
379	и достоевский	1	1
380	или же	2	1
381	и тогда	3	1
382	на самый	2	1
383	каждом слове	1	1
384	речи и	1	1
385	значительной мере	1	1
386	этом отношении	7	1
387	однако этот	1	1
388	тем как	2	1
389	две формы	1	1
390	время в	2	1
391	что при	8	1
392	точно и	4	1
393	изменение его	1	1
394	мысли и	2	1
395	исследования в	1	1
396	тем не	6	1
397	сознании и	2	1
398	полагаем что	1	1
399	здесь он	1	1
400	в другой	3	1
401	как это	8	1
402	вследствие этого	2	1
403	те или	1	1
404	и лучше	1	1
405	что такое	2	1
406	к тем	1	1
407	мы в	3	1
408	составить предмет	1	1
409	мы все	3	1
410	то мы	1	1
411	только на	7	1
412	или иные	1	1
413	из того	2	1
414	об этом	3	1
415	содержания и	3	1
416	не имеем	1	1
417	только потому	2	1
418	нужно сказать	1	1
419	переходит в	1	1
420	остановиться на	2	1
421	не приходится	1	1
422	никто не	1	1
423	еще своего	1	1
424	в формализме	1	1
425	того общего	1	1
426	в науке	2	1
427	в нескольких	1	1
428	к психологизму	1	1
429	процессе творчества	2	1
430	и что	28	1
431	и определяет	1	1
432	для марксистской	1	1
433	на самом	6	1
434	или иную	1	1
435	для человека	1	1
436	в различных	1	1
437	и тот	4	1
438	можно было	4	1
439	в этой	5	1
440	которое является	1	1
441	людей и	2	1
442	в широком	1	1
443	это слово	1	1
444	во все	2	1
445	в виду	6	1
446	в нашей	4	1
447	чем его	1	1
448	к другому	1	1
449	быть может	2	1
450	и до	2	1
451	сводится к	3	1
452	понятие об	1	1
453	нет никакого	1	1
454	к чистому	1	1
455	данной группы	1	1
456	с их	1	1
457	и есть	5	1
458	для своей	1	1
459	конечно не	2	1
460	к общей	1	1
461	подобно тому	7	1
462	другим членам	1	1
463	но это	3	1
464	только то	3	1
465	и развивается	1	1
466	не вполне	1	1
467	может заключаться	1	1
468	по себе	21	1
469	понимается как	1	1
470	в совершенно	5	1
471	этот вопрос	2	1
472	они хотят	1	1
473	анализа тех	1	1
474	все равно	1	1
475	существовать если	1	1
476	звуков в	4	1
477	как некая	1	1
478	же время	2	1
479	лежит в	2	1
480	же самые	2	1
481	двух наук	1	1
482	его в	3	1
483	на основе	2	1
484	объясняется только	1	1
485	со всеми	5	1
486	ложное представление	1	1
487	человека и	3	1
488	с понятием	2	1
489	то или	3	1
490	отметить что	2	1
491	или как	2	1
492	а на	4	1
493	они-то и	1	1
494	этим анализом	1	1
495	быть это	1	1
496	работы и	1	1
497	нуждаются в	4	1
498	совершенно справедливо	5	1
499	стиль и	1	1
500	или иное	2	1
501	однако если	1	1
502	и часто	2	1
503	мыслью и	1	1
504	форм мы	1	1
505	что те	3	1
506	не было	5	1
507	когда мы	4	1
508	и изучение	1	1
509	связи с	2	1
510	этого процесса	1	1
511	ко всем	1	1
512	содержания в	1	1
513	в борьбе	1	1
514	же не	1	1
515	мы полагаем	1	1
516	этой точки	7	1
517	проблемы не	1	1
518	состоит в	5	1
519	его точки	1	1
520	еще платон	1	1
521	аналогия между	1	1
522	зависимость от	2	1
523	или в	2	1
524	этой системы	1	1
525	выразительное значение	1	1
526	от одного	1	1
527	к эстетике	1	1
528	сильнее и	2	1
529	в основе	13	1
530	и детская	1	1
531	собственном смысле	3	1
532	почему же	1	1
533	на то	17	1
534	теоретической и	1	1
535	то не	1	1
536	этого произведения	2	1
537	и там	2	1
538	же самое	8	1
