N	4gram	Bakhtin_Fr	Problema
1	не что иное как	1	14
2	есть не что иное	1	11
3	в той или иной	1	10
4	дело в том что	4	10
5	на самом же деле	4	8
6	не имеют ничего общего	1	5
7	ни в чем не	1	5
8	а с другой стороны	1	4
9	одно и то же	1	4
10	и с точки зрения	2	4
11	ни в коем случае	1	4
12	в том числе и	3	4
13	в связи с этим	3	4
14	так же как и	2	4
15	и в то же	3	3
16	одного и того же	1	3
17	с одной стороны и	1	3
18	тем не менее он	1	3
19	дело здесь не в	2	3
20	но в то же	6	3
21	говорить о том что	1	3
22	в коем случае нельзя	1	2
23	как мы уже сказали	3	2
24	в том что в	1	2
25	одной и той же	1	2
26	один и тот же	1	2
27	нечего и говорить о	1	2
28	то есть другими словами	1	2
29	имеют ничего общего с	1	2
30	самом же деле здесь	1	2
31	был в этом отношении	1	1
32	в нем не только	1	1
33	что он никак не	1	1
34	что многие из этих	1	1
35	не имеет никакого отношения	1	1
36	и до наших дней	1	1
37	для того чтобы не	1	1
38	в то же время	14	1
39	здесь как и во	2	1
40	то есть в том	1	1
41	как раз то что	1	1
42	в одном и том	1	1
43	вместе с тем он	1	1
44	которой можно было бы	2	1
45	до сих пор не	1	1
46	о том как он	1	1
47	то что не имеет	1	1
48	ту же самую объективную	1	1
49	о чем мы говорили	1	1
50	здесь перед нами в	1	1
51	ни о чем не	1	1
52	и не может быть	1	1
53	и почти во всех	1	1
54	не может быть и	1	1
55	можно прямо сказать что	1	1
56	одном и том же	1	1
57	в пространстве и времени	1	1
58	почему? а потому что	1	1
59	сказать что и в	1	1
60	вместе с тем и	1	1
61	может быть и речи	1	1
62	о том что даже	1	1
63	только для того чтобы	2	1
64	в одной из своих	1	1
65	нас в том что	1	1
66	особой точки зрения на	1	1
67	в этом виде он	1	1
