N	3gram	Propp_Morf	VLabPisa
1	и т д	60	16
2	в этом отношении	2	14
3	не может быть	9	8
4	с другой стороны	5	8
5	по отношению к	7	7
6	более или менее	2	6
7	в том что	4	5
8	в то же	1	5
9	то же время	1	5
10	можно сказать что	1	4
11	не могут быть	4	4
12	в связи с	9	4
13	к тому что	4	4
14	о том как	2	3
15	для того чтобы	3	3
16	о том что	3	3
17	подобно тому как	5	3
18	в этой области	1	3
19	во всяком случае	2	2
20	в чем же	1	2
21	точном смысле слова	1	2
22	этой точки зрения	1	2
23	как это видно	1	2
24	в этом и	1	2
25	в точном смысле	1	2
26	в противном случае	1	2
27	приводит к тому	1	2
28	до сих пор	1	2
29	иметь в виду	1	2
30	во всех этих	1	2
31	из них не	1	2
32	только в том	1	2
33	с одной стороны	2	2
34	все эти явления	1	2
35	можно было бы	2	2
36	после того как	1	2
37	в качестве примеров	1	1
38	при помощи которых	1	1
39	на вопрос что	1	1
40	сих пор не	1	1
41	может быть достигнуто	1	1
42	имеет ничего общего	1	1
43	все это мы	1	1
44	в свою очередь	1	1
45	следующим образом i	1	1
46	некоторые из них	1	1
47	с этим и	1	1
48	т е не	1	1
49	той или иной	1	1
50	вспомним хотя бы	1	1
51	положительной или отрицательной	1	1
52	в применении к	1	1
53	мы видим что	11	1
54	на то что	3	1
55	и может быть	1	1
56	один из них	1	1
57	в том случае	3	1
58	это одна из	1	1
59	однако все это	1	1
60	его т е	1	1
61	а не по	1	1
62	то время как	3	1
63	в этом случае	10	1
64	во всех других	1	1
65	дело не в	2	1
66	как составная часть	1	1
67	с этой точки	1	1
68	то что в	2	1
69	как один из	1	1
70	другой мы видим	1	1
71	не значит что	3	1
72	далеко не всегда	1	1
73	в то время	3	1
74	могло бы быть	1	1
75	с теми или	1	1
76	тех или иных	1	1
77	и то же	1	1
78	на этот вопрос	1	1
79	и есть то	1	1
80	в таком случае	1	1
81	хотя и не	2	1
82	то прежде всего	2	1
83	прежде всего следует	3	1
84	один из его	1	1
85	ни одна из	1	1
86	как это обычно	1	1
87	тому что они	1	1
88	во время прогулки	1	1
89	одно и то	1	1
90	т д наконец	1	1
91	в этом нет	1	1
92	бросается в глаза	1	1
93	когда говорят о	1	1
94	за это время	1	1
95	в данном случае	2	1
96	в том или	1	1
97	противном случае он	1	1
98	некоторые из этих	1	1
99	что его можно	1	1
100	того или другого	1	1
101	при помощи которой	2	1
102	не имеет ничего	1	1
103	одна из форм	1	1
104	можно ли считать	1	1
105	в целом и	1	1
106	том случае если	2	1
107	но все же	4	1
108	одна из них	1	1
109	т д но	4	1
110	и в качестве	1	1
111	мы не будем	2	1
112	вопрос о том	2	1
113	д но это	1	1
114	оно может быть	2	1
115	этого не могут	1	1
116	к этому же	1	1
117	те или иные	1	1
118	может быть и	2	1
