N	3gram	Tiupa_Hudo	Dialekti
1	с точки зрения	3	46
2	сама по себе	2	26
3	по крайней мере	1	26
4	в том что	8	25
5	не может быть	4	18
6	не что иное	1	18
7	что иное как	1	18
8	тем не менее	3	16
9	то же время	7	15
10	в то же	7	14
11	в таком случае	2	14
12	и то же	3	12
13	с другой стороны	6	12
14	о том что	1	12
15	одно и то	3	12
16	есть не что	1	11
17	в самом деле	2	10
18	иметь в виду	1	9
19	содержит в себе	1	9
20	подобно тому как	3	9
21	то или иное	1	9
22	это и есть	1	9
23	только то что	1	8
24	в то время	1	8
25	та или иная	1	8
26	в этом смысле	3	8
27	можно сказать что	3	7
28	так или иначе	4	7
29	точно так же	1	7
30	в связи с	3	7
31	той или иной	5	7
32	и в частности	1	7
33	в коем случае	2	6
34	для того чтобы	5	6
35	более или менее	6	6
36	ни в коем	2	6
37	в зависимости от	1	6
38	и прежде всего	2	6
39	и в то	2	6
40	коем случае не	2	6
41	в сравнении с	1	6
42	с одной стороны	3	6
43	может быть и	2	6
44	к тому что	2	5
45	в виду что	1	5
46	это было бы	1	5
47	одной стороны и	1	4
48	по себе а	1	4
49	с этой точки	2	4
50	так же как	1	4
51	этой точки зрения	2	4
52	к тому же	1	4
53	личности с ее	1	4
54	то же самое	1	4
55	из того что	1	4
56	а не только	1	4
57	а не сама	1	4
58	я думаю что	1	4
59	может и не	1	4
60	и тем более	1	4
61	связи с этим	1	4
62	не могут быть	1	4
63	но только не	1	4
64	субъект и объект	1	4
65	в той или	2	3
66	тех или иных	2	3
67	и как бы	1	3
68	внутреннее и внешнее	1	3
69	один из видов	1	3
70	не сама по	1	3
71	бы то ни	2	3
72	того или иного	4	3
73	ту или иную	2	3
74	в данный момент	2	3
75	как и в	1	3
76	в себе и	1	3
77	но в то	1	3
78	речь идет о	1	3
79	что он не	1	2
80	которая характерна для	1	2
81	не содержит в	1	2
82	в силу своей	4	2
83	я уже не	1	2
84	дело не в	1	2
85	друг от друга	1	2
86	как более или	1	2
87	того что не	1	2
88	в отношении к	2	2
89	отношении к нему	1	2
90	а не ее	1	2
91	не было и	1	2
92	можно говорить о	1	2
93	точки зрения в	1	2
94	что в основе	2	2
95	перед нами не	1	2
96	в чистом виде	1	2
97	и не быть	1	2
98	в свою очередь	2	2
99	к чему не	1	2
100	всегда так или	1	2
101	еще не есть	1	2
