N	3gram	Ircho_Kome	Vvedenie
1	и т д	1	39
2	для того чтобы	8	22
3	в том что	15	15
4	о том что	7	13
5	не может быть	1	10
6	тем не менее	3	9
7	до сих пор	12	7
8	мере в какой	1	6
9	в той мере	1	6
10	до н э	1	6
11	в самом деле	13	6
12	в то же	11	6
13	в этом случае	2	6
14	той мере в	1	6
15	то же время	11	6
16	и т п	4	5
17	в том чтобы	1	5
18	на этот вопрос	1	5
19	с другой стороны	2	5
20	во всяком случае	3	5
21	вопрос о том	1	5
22	и в том	1	4
23	по отношению к	4	4
24	по крайней мере	1	4
25	с точки зрения	6	4
26	по сравнению с	3	4
27	так или иначе	3	4
28	можно было бы	1	4
29	не только в	1	4
30	в отличие от	3	4
31	т е в	2	4
32	но все же	3	4
33	с одной стороны	4	4
34	в этом отношении	2	4
35	и в этом	1	4
36	одной стороны и	2	3
37	вместе с тем	5	3
38	в чем же	2	3
39	в собственном смысле	1	3
40	и в самом	7	3
41	в свое время	1	3
42	можно сказать что	1	3
43	как мы видели	1	3
44	в зависимости от	1	3
45	то же самое	3	3
46	сама по себе	1	3
47	по этому поводу	1	3
48	в том виде	1	3
49	нельзя не признать	1	3
50	не может служить	1	2
51	в свою очередь	10	2
52	как будто бы	1	2
53	но вместе с	1	2
54	в до н	1	2
55	на задний план	1	2
56	только после того	1	2
57	как об этом	1	2
58	этой точки зрения	1	2
59	с этой точки	1	2
60	только в том	1	2
61	состоит в том	2	2
62	каждой из них	2	2
63	не говоря уже	2	2
64	в центре внимания	1	2
65	в первом случае	1	2
66	в конце концов	3	2
67	потому что он	1	2
68	самой своей природе	1	2
69	по меньшей мере	1	2
70	точно так же	1	2
71	в соответствии с	1	2
72	представляет собой в	1	2
73	и того же	1	2
74	подобно тому как	1	2
75	же самое что	1	2
76	в связи с	3	2
77	во второй половине	1	2
78	гораздо ближе к	1	2
79	к этому времени	2	2
80	одного и того	1	2
81	по самой своей	1	2
82	после того как	3	2
83	с полным основанием	2	1
84	тех пор пока	1	1
85	т е о	1	1
86	ни к одной	1	1
87	собственном смысле слова	1	1
88	должен был быть	1	1
89	том виде как	1	1
90	в том же	2	1
91	никак не может	1	1
92	в отношениях между	1	1
93	к первым относятся	1	1
94	он должен быть	1	1
95	но и в	1	1
96	как мы знаем	1	1
97	себе отчет в	1	1
98	как это было	1	1
99	же ясно что	1	1
100	само собой разумеющимся	1	1
101	и в дальнейшем	1	1
102	того же автора	2	1
103	и без того	1	1
104	наряду с этим	2	1
105	в руках у	1	1
106	с каждым новым	1	1
107	у меня в	2	1
108	его отношение к	1	1
109	таким образом для	1	1
110	и есть тот	1	1
111	в каждом из	2	1
112	для нашего времени	1	1
113	в том числе	2	1
114	из двадцати четырех	1	1
115	о чем они	2	1
116	у него в	1	1
117	не может представить	1	1
118	более или менее	2	1
119	в лучшем случае	1	1
120	сыграть свою роль	1	1
121	в самом его	1	1
122	до тех пор	5	1
123	в первой половине	2	1
124	последнее место в	1	1
125	каждом из них	1	1
126	как мы помним	1	1
127	говоря уже о	2	1
128	может быть только	1	1
129	все же в	1	1
130	не было бы	1	1
131	потому что она	1	1
132	потому что в	2	1
133	именно потому что	2	1
134	в принципе же	1	1
135	тем что она	1	1
136	в настоящее время	1	1
137	во всех его	1	1
138	в достаточной степени	3	1
139	по своему характеру	1	1
140	в обоих случаях	1	1
141	из сторон в	1	1
142	как раз в	1	1
143	сомневаться в том	1	1
144	зависимости от того	1	1
145	отдать себе отчет	1	1
146	так же как	1	1
147	мы имеем право	1	1
148	собой в самом	1	1
149	не иначе как	2	1
150	имеем в виду	2	1
151	мы имеем в	2	1
152	том что в	1	1
153	нашего времени и	1	1
154	для каждой из	1	1
155	но если бы	1	1
156	и никогда не	1	1
157	по себе не	1	1
158	может быть более	1	1
159	не следует забывать	1	1
160	с самого начала	5	1
161	в нем не	1	1
162	том что он	1	1
163	точки зрения между	1	1
164	дошедших до нас	3	1
165	то ни было	3	1
166	и как раз	1	1
167	но в этом	1	1
168	то обстоятельство что	3	1
169	к одной из	1	1
170	к ним в	1	1
171	это в свою	1	1
172	к тому что	1	1
173	лицом к лицу	1	1
174	все это делает	1	1
175	себе путь к	1	1
176	бы то ни	3	1
177	не последнее место	1	1
178	с этой целью	1	1
179	было до сих	1	1
180	как уже говорилось	1	1
181	в каждой из	1	1
182	в разной степени	1	1
183	по тому же	1	1
