N	3gram	Vinokur_St	formyVre
1	и т п	11	32
2	то же время	5	21
3	в то же	5	18
4	с точки зрения	10	15
5	для того чтобы	13	12
6	но и в	2	12
7	не только в	4	11
8	и в то	1	10
9	до сих пор	12	10
10	в том числе	3	8
11	и т д	25	7
12	не может быть	5	7
13	в отличие от	1	7
14	в этом отношении	13	7
15	в том же	3	6
16	друг от друга	1	6
17	и в этом	4	6
18	а также и	2	6
19	во всех этих	1	6
20	с одной стороны	2	6
21	в том что	29	5
22	в то время	2	5
23	том числе и	2	5
24	той или иной	1	5
25	как и в	2	5
26	одно и то	1	5
27	и то же	1	5
28	по отношению к	3	4
29	прежде всего необходимо	1	4
30	одних и тех	1	4
31	и в других	1	4
32	не могло быть	1	4
33	но все же	3	4
34	с другой стороны	8	4
35	и тех же	1	4
36	как раз в	4	4
37	в этом случае	3	4
38	во всяком случае	8	4
39	то время как	1	4
40	может быть и	2	4
41	в той или	1	3
42	но все эти	1	3
43	о том как	1	3
44	с нашей точки	1	3
45	по сравнению с	1	3
46	нашей точки зрения	1	3
47	сами по себе	2	3
48	в зависимости от	2	3
49	не похож на	1	3
50	что в этом	1	3
51	а не в	1	3
52	т п но	1	3
53	сих пор еще	1	3
54	вместе с тем	2	3
55	в другом месте	1	3
56	же как и	1	3
57	но в то	2	3
58	о том что	19	3
59	так же как	5	3
60	как бы ни	2	3
61	с самого начала	3	3
62	так и в	5	3
63	из того же	1	3
64	здесь не место	1	3
65	также и в	1	3
66	ни в чем	1	3
67	для него самого	2	2
68	себя прежде всего	1	2
69	совершенно так же	1	2
70	в своем романе	1	2
71	и речи об	1	2
72	и вместе с	1	2
73	в одних и	1	2
74	быть и речи	1	2
75	в соответствии с	1	2
76	в данном случае	7	2
77	что в таком	1	2
78	а вовсе не	1	2
79	к тому же	2	2
80	очень большое значение	2	2
81	вовсе не является	1	2
82	в каком же	1	2
83	само собой разумеется	1	2
84	то что было	1	2
85	но он не	1	2
86	быть конечно и	1	2
87	к тому времени	2	2
88	она ни была	1	2
89	конечно и речи	1	2
90	в какой-то степени	1	2
91	собой разумеется что	1	2
92	со всеми его	1	2
93	и в самом	3	2
94	было бы не	2	2
95	т п в	4	2
96	тем более что	2	2
97	в виду что	1	2
98	в узком смысле	1	2
99	но в отношении	1	2
100	дело в том	7	2
101	жизни и смерти	1	2
102	ни были эти	1	2
103	к тому что	4	2
104	он не знает	1	2
105	большую роль в	1	2
106	и во всей	1	2
107	что и в	4	2
108	это прежде всего	2	2
109	потому что они	1	2
110	в целом ряде	1	1
111	он никогда не	1	1
112	в его работе	1	1
113	что он не	5	1
114	неизвестно кем и	2	1
115	как и во	1	1
116	их во всяком	1	1
117	их и не	2	1
118	это и было	1	1
119	лишь в некоторых	1	1
120	могло быть конечно	1	1
121	же время не	1	1
122	точка зрения на	1	1
123	плоть от плоти	1	1
124	для борьбы с	1	1
125	во время чумы	2	1
126	в применении к	3	1
127	в той же	2	1
128	точки зрения но	1	1
129	том что в	4	1
130	в ту же	1	1
131	того чтобы не	1	1
132	на том что	1	1
133	в этом смысле	2	1
134	широко распространены в	1	1
135	и в другом	1	1
136	xiv в этом	1	1
137	мы говорим о	1	1
138	как своего рода	2	1
139	только в том	3	1
140	хотя бы и	2	1
141	вовсе не в	2	1
142	в самом деле	7	1
143	в котором он	2	1
144	и лишь в	1	1
145	тем не менее	4	1
146	на той же	1	1
147	только одно исключение	1	1
148	как и большинство	2	1
149	во вторую половину	1	1
150	вторую половину xix	1	1
151	могло бы быть	1	1
152	более или менее	2	1
153	этот вопрос в	2	1
154	за то что	5	1
155	это не значит	3	1
156	его борьба с	1	1
157	такую большую роль	1	1
158	т п значение	1	1
159	отделены друг от	1	1
160	в данном месте	2	1
161	ту же ночь	1	1
162	как в самом	1	1
163	а есть только	1	1
164	прежде всего к	1	1
165	важно подчеркнуть что	1	1
166	вместо того чтобы	1	1
167	случилось так что	1	1
168	и для самого	1	1
169	нечего и говорить	1	1
170	надо сказать что	1	1
171	и тот факт	1	1
172	в своем роде	1	1
173	как она была	1	1
174	и никогда не	1	1
175	эту борьбу с	1	1
176	совершенно особое место	1	1
177	языка и стиля	1	1
178	один у другого	1	1
179	совершенно независимо от	1	1
180	в данном отношении	6	1
181	в них нет	1	1
182	т п на	1	1
183	всей его жизни	1	1
184	во второй части	1	1
185	в том самом	1	1
186	потому что не	1	1
187	не может не	1	1
188	в высшей степени	1	1
189	и как он	1	1
190	к участию в	1	1
191	имел в виду	1	1
192	с тех пор	1	1
193	это вовсе не	1	1
194	и говорить о	1	1
195	на границе между	1	1
196	но все это	2	1
197	прежде всего его	1	1
198	только то что	1	1
199	на одну минуту	1	1
200	никогда не было	1	1
201	не то что	1	1
202	так же и	1	1
203	в значительной степени	2	1
204	и в том	3	1
205	так как в	2	1
206	ни для кого	2	1
207	и не может	1	1
208	дело не только	1	1
209	за пределы того	1	1
210	ни одного случая	1	1
211	сих пор не	1	1
212	гл iii в	1	1
213	и гораздо более	1	1
214	в одном из	4	1
215	и в трагедии	1	1
216	в основе этой	1	1
217	там где эта	1	1
218	но кроме того	1	1
219	т д описание	1	1
220	кость от кости	1	1
221	никого не может	1	1
222	но и это	1	1
223	так как по	1	1
224	но дело в	1	1
225	в это время	3	1
226	не до конца	2	1
227	хотя это и	1	1
228	то что в	3	1
229	тот факт что	5	1
230	к выводу что	1	1
231	в так называемой	1	1
232	некоторых из них	1	1
233	да и в	3	1
234	и в первой	1	1
235	время или в	1	1
236	лишь то что	1	1
237	характере и в	1	1
238	что и у	1	1
239	с которыми он	2	1
240	вовсе еще не	1	1
241	в одной из	3	1
242	мы до сих	1	1
243	на самом деле	7	1
244	в исторический роман	1	1
245	до сегодняшнего дня	1	1
246	почти ничего не	1	1
247	во всех случаях	1	1
248	в самом действии	1	1
249	смысле этого слова	1	1
250	него самого и	1	1
251	на свой лад	1	1
252	в лучшем случае	1	1
253	в конце концов	2	1
254	так и на	1	1
255	объясняется тем что	1	1
256	и притом в	1	1
257	и в котором	1	1
258	быть еще и	1	1
259	бы они ни	1	1
260	так что в	1	1
261	именно в том	1	1
262	они ни были	1	1
263	известно например что	1	1
264	том что он	6	1
265	хотя бы в	1	1
266	они их не	1	1
267	говорит о том	3	1
268	кем и неизвестно	1	1
269	же время оно	1	1
270	в ее неизбежности	1	1
271	в таком виде	2	1
272	и речи о	1	1
273	в отношении к	1	1
274	не оставляет никаких	1	1
275	было бы совершенно	1	1
276	не было этого	1	1
277	что в нем	2	1
278	не отделены друг	1	1
279	т д но	4	1
280	нет ни одного	2	1
281	и в результате	1	1
282	в своем рассказе	1	1
283	в характере и	1	1
284	и в области	5	1
