N	3gram	Potebnia_M	OGranits
1	с точки зрения	2	5
2	не может быть	7	4
3	до тех пор	5	4
4	тех пор пока	2	3
5	одно и то	7	3
6	по отношению к	10	3
7	есть прежде всего	2	3
8	в том что	22	2
9	то же слово	2	2
10	ничего общего с	1	2
11	не что иное	1	2
12	представим себе что	1	2
13	в данном случае	3	2
14	но так как	2	2
15	и то же	7	2
16	есть не что	1	2
17	в самом деле	1	2
18	что иное как	1	2
19	с одной стороны	4	2
20	с другой стороны	4	2
21	возможно только в	2	1
22	и тем что	1	1
23	не было бы	2	1
24	на самом деле	4	1
25	художественного произведения и	1	1
26	больше и лучше	1	1
27	те же самые	1	1
28	и тот же	2	1
29	и как бы	2	1
30	все то что	2	1
31	может быть не	2	1
32	между собою и	2	1
33	сводятся к следующему	1	1
34	может быть объяснено	1	1
35	при этом следует	1	1
36	равно как и	2	1
37	между тем как	4	1
38	подобно тому как	3	1
39	в сознании не	1	1
40	по себе а	4	1
41	это и не	1	1
42	если бы мы	1	1
43	которая связана с	1	1
44	быть может в	1	1
45	что в ней	2	1
46	для него прежде	1	1
47	на то что	3	1
48	для того чтобы	5	1
49	только потому что	5	1
50	понимания явлений и	1	1
51	в которую не	1	1
52	но мы должны	1	1
53	она ни была	1	1
54	до такой степени	3	1
55	в каждом отдельном	1	1
56	но тем не	4	1
57	в чем же	1	1
58	а не как	2	1
59	там где она	1	1
60	с одним из	1	1
61	заключена только в	1	1
62	из нее как	1	1
63	в собственном смысле	2	1
64	один и тот	2	1
65	очевидного положения что	1	1
66	никто не думает	1	1
67	и эта особенность	1	1
68	как и в	3	1
69	то же самое	3	1
70	то что в	2	1
71	и в каждой	2	1
72	к тому что	3	1
73	явления природы и	1	1
74	во всем своем	1	1
75	тем не менее	7	1
76	только то что	1	1
77	но столь же	1	1
78	уже из того	1	1
79	нет и не	1	1
80	связаны между собою	1	1
81	и к тому	1	1
82	язык во всем	1	1
83	так как все	1	1
84	в этом отношении	2	1
85	точки зрения и	1	1
86	то же время	8	1
87	далеко не всегда	1	1
88	более или менее	6	1
89	в то же	8	1
90	само по себе	6	1
91	там где нет	1	1
92	никоим образом не	1	1
93	мы не можем	5	1
94	но что же	1	1
95	состоит в том	1	1
96	в сознании и	3	1
97	и не может	1	1
98	потому что они	1	1
99	нам кажется что	3	1
100	может быть и	1	1
