N	4gram	Bakhtin_Pr	Russkaja
1	в то же время	10	10
2	во что бы то	1	3
3	что бы то ни	1	3
4	бы то ни стало	1	3
5	и в том и	1	2
6	бы то ни было	2	1
7	только с точки зрения	1	1
8	здесь мы подходим к	1	1
9	дело в том что	1	1
10	по себе еще не	2	1
11	друг с другом в	2	1
12	заключается в том что	1	1
13	а в том что	1	1
14	но в то же	5	1
15	в том числе и	1	1
16	говорить о том что	1	1
17	котором мы говорили в	1	1
18	одного и того же	1	1
19	о котором мы говорили	1	1
20	в данном случае и	1	1
21	во всяком случае не	1	1
22	и во всяком случае	1	1
23	и не может быть	1	1
24	но на самом деле	1	1
