N	2gram	Losev_Vesc	VLabPisa
1	таким образом	16	32
2	в этом	17	29
3	не только	48	26
4	и в	44	26
5	и т	37	25
6	может быть	37	23
7	и не	57	20
8	хотя бы	9	20
9	т е	79	18
10	не может	44	17
11	т д	36	16
12	в его	5	15
13	в том	15	15
14	этом отношении	2	14
15	в силу	4	14
16	все это	7	13
17	прежде всего	17	13
18	в качестве	4	12
19	в частности	3	12
20	как это	4	12
21	что в	11	11
22	с другой	8	11
23	из них	7	11
24	то же	12	10
25	не могут	1	10
26	о том	11	10
27	но и	19	10
28	по этому	1	10
29	для него	8	9
30	об этом	5	9
31	к этому	2	9
32	могут быть	1	8
33	другой стороны	3	8
34	только в	23	8
35	все эти	5	8
36	вместе с	4	8
37	том что	13	8
38	было бы	24	8
39	не следует	1	8
40	в своем	9	8
41	в основном	1	7
42	это не	9	7
43	говорит о	3	7
44	не было	4	7
45	очевидно что	2	7
46	тому что	2	7
47	как и	15	7
48	их в	6	7
49	действительности и	5	7
50	во всех	5	7
51	а не	34	7
52	то что	47	7
53	главным образом	3	7
54	же в	1	7
55	в нем	6	7
56	из этих	1	7
57	один из	5	6
58	у него	3	6
59	более или	4	6
60	в порядке	1	6
61	все же	18	6
62	приводит к	2	6
63	идеи и	3	6
64	это и	12	6
65	бы и	9	6
66	не в	14	6
67	так и	4	6
68	в себе	23	6
69	или менее	4	6
70	в зависимости	1	6
71	том же	1	6
72	и его	4	6
73	в то	11	6
74	образы и	1	5
75	утверждать что	2	5
76	даже в	1	5
77	в результате	9	5
78	в их	4	5
79	в них	1	5
80	связи с	1	5
81	одним из	1	5
82	зависимости от	1	5
83	к тому	3	5
84	перед нами	3	5
85	не является	3	5
86	он говорит	2	5
87	на основе	1	5
88	вот почему	3	5
89	в одном	6	5
90	в пределах	1	5
91	же время	4	5
92	как бы	19	5
93	в целом	3	5
94	сказать что	21	5
95	в плане	1	5
96	и есть	40	5
97	никогда не	5	5
98	в самом	13	4
99	ее в	1	4
100	только что	2	4
101	в ее	8	4
102	как раз	16	4
103	можно сказать	8	4
104	что для	5	4
105	в этой	4	4
106	что все	2	4
107	что он	7	4
108	равно как	4	4
109	в виду	2	4
110	по существу	3	4
111	с тем	8	4
112	с ними	4	4
113	в своей	6	4
114	является не	2	4
115	силу этого	1	4
116	должен быть	5	4
117	с его	2	4
118	чем же	5	4
119	для его	2	4
120	в связи	1	4
121	в философии	8	4
122	это только	2	4
123	когда он	2	4
124	в нашей	1	4
125	их и	1	4
126	в сознании	1	4
127	из его	2	4
128	одна из	6	4
129	по поводу	1	4
130	отнюдь не	8	4
131	и ее	19	4
132	познания в	1	4
133	и к	1	3
134	что они	12	3
135	видели что	3	3
136	что оно	10	3
137	и он	1	3
138	что у	5	3
139	мы знаем	1	3
140	мы имеем	8	3
141	а вот	3	3
142	естественно что	1	3
143	того что	16	3
144	никак не	7	3
145	но как	3	3
146	со своим	8	3
147	что и	11	3
148	у нас	9	3
149	сводится к	4	3
150	подобно тому	5	3
151	его в	8	3
152	если бы	8	3
153	или в	3	3
154	сил и	1	3
155	это мы	1	3
156	интуиции в	1	3
157	опыта и	1	3
158	именно в	2	3
159	в конце	3	3
160	или иная	1	3
161	момент в	6	3
162	между ними	6	3
163	и как	12	3
164	в слове	2	3
165	же и	2	3
166	в которых	1	3
167	например что	2	3
168	и отдельных	1	3
169	явлений и	3	3
170	в явлении	4	3
