N	4gram	Tiupa_Lite	slovoVRo
1	в то же время	12	18
2	но в то же	1	7
3	и в то же	1	6
4	с одной стороны и	1	4
5	одно и то же	1	3
6	с этой точки зрения	3	2
7	и не может быть	1	2
8	не исключают друг друга	1	2
9	то же время он	1	2
10	именно в том что	1	1
11	о себе как бы	1	1
12	и прежде всего в	1	1
13	только и не столько	1	1
14	дело в том что	2	1
15	в том что в	1	1
16	и т п это	1	1
17	нет и не может	1	1
18	каковы бы ни были	1	1
19	дело не только в	2	1
20	в том что он	1	1
21	но с другой стороны	3	1
22	все более и более	1	1
23	бы то ни было	1	1
24	не только и не	1	1
25	он не может быть	1	1
26	оттесняет на задний план	1	1
