N	3gram	Tiupa_Disk	VelikijI
1	в том что	18	2
2	добра и зла	1	2
3	это еще не	2	2
4	в нем нет	1	2
5	том что он	1	2
6	все о чем	1	1
7	так и в	4	1
8	другой стороны в	1	1
9	никогда не было	1	1
10	но прежде всего	1	1
11	вместе с тем	1	1
12	в этом мире	2	1
13	к богу и	1	1
14	и в форме	2	1
15	в разные эпохи	1	1
16	не имеет своим	1	1
17	как и в	3	1
18	по крайней мере	3	1
19	не могут быть	1	1
20	хотя бы и	1	1
21	в мире и	1	1
22	но все же	1	1
23	с другой стороны	4	1
24	на этом пути	1	1
25	в известном смысле	1	1
26	и вообще в	1	1
