N	3gram	Medvedev_S	Psycholo
1	в том что	2	78
2	то же самое	1	31
3	с одной стороны	1	28
4	во всяком случае	1	14
5	и в этом	1	13
6	в конце концов	2	12
7	в конечном счете	1	11
8	то что в	1	11
9	не в том	2	10
10	в том и	1	9
11	а с другой	1	7
12	только то что	1	7
13	том и заключается	1	6
14	сама по себе	1	6
15	по самому существу	1	6
16	о том как	1	5
17	не было бы	1	5
18	в лучшем случае	1	5
19	а между тем	1	4
20	в настоящее время	1	4
21	а в том	1	4
22	и заключается что	2	4
23	благодаря тому что	1	4
24	в этой области	1	4
25	это вовсе не	1	4
26	именно в том	1	4
27	это и есть	1	4
28	друг от друга	1	3
29	по отношению к	2	3
30	что все это	1	3
31	в наше время	1	3
32	то же время	1	3
33	в то же	1	3
34	том что это	1	2
35	и никак не	1	2
36	дело не в	2	2
37	что в них	1	2
38	в связи с	1	2
39	по крайней мере	1	2
40	выходит за пределы	1	2
41	в том именно	1	2
42	должно было бы	1	2
43	не может не	1	2
44	на первый план	1	2
45	в результате его	1	2
46	в сущности есть	1	1
47	самому существу своему	1	1
48	вступает в свои	1	1
49	это зависит от	1	1
50	и потому его	1	1
51	что это вовсе	1	1
52	и только когда	1	1
53	но только в	1	1
54	но стоит только	1	1
55	в свои права	1	1
56	том именно и	1	1
57	что она может	1	1
58	заключаться только в	1	1
59	чуть ли не	1	1
60	и что на	1	1
61	придется не один	1	1
62	их друг от	1	1
63	мы переходим к	1	1
64	не место в	1	1
65	этих вопросов в	1	1
66	все эти вопросы	1	1
67	главным образом в	1	1
68	когда мы переходим	1	1
69	и только для	1	1
70	именно и заключается	1	1
71	в частности так	1	1
72	сказать и о	1	1
73	заключается что в	1	1
74	для этого и	1	1
75	дело конечно не	1	1
76	по существу дела	1	1
77	между собой не	1	1
78	и в то	1	1
79	как бы он	1	1
80	и как только	1	1
81	далеко еще не	1	1
82	зависит от окружающих	1	1
83	истории литературы и	1	1
84	и мы не	1	1
85	конечно не в	1	1
86	ни на что	1	1
87	в противном случае	1	1
88	это происходит не	1	1
89	но как и	1	1
90	не должна быть	1	1
