N	3gram	Ircho_Kome	Dialekti
1	и т д	1	75
2	с точки зрения	6	46
3	сама по себе	1	26
4	по крайней мере	1	26
5	в том что	15	25
6	не может быть	1	18
7	тем не менее	3	16
8	то же время	11	15
9	в то же	11	14
10	с другой стороны	2	12
11	о том что	7	12
12	и стало быть	1	11
13	на то что	1	11
14	в самом деле	13	10
15	т е в	2	10
16	по себе не	1	9
17	и в этом	1	9
18	подобно тому как	1	9
19	в то время	3	8
20	то время как	3	8
21	можно сказать что	1	7
22	говоря уже о	2	7
23	так или иначе	3	7
24	точно так же	1	7
25	в связи с	3	7
26	не говоря уже	2	7
27	и в частности	1	7
28	для того чтобы	8	6
29	более или менее	2	6
30	в зависимости от	1	6
31	и в то	2	6
32	не нуждается в	1	6
33	во всяком случае	3	6
34	с одной стороны	4	6
35	имеет ничего общего	1	5
36	и даже не	1	5
37	по сравнению с	3	5
38	потому что она	1	5
39	ничего общего с	1	5
40	в конце концов	3	5
41	потому что он	1	5
42	не имеет ничего	1	5
43	к тому что	1	5
44	на первый план	1	5
45	т е о	1	5
46	до сих пор	12	5
47	в виду что	1	5
48	одной стороны и	2	4
49	можем сказать что	1	4
50	и т п	4	4
51	ни в чем	2	4
52	с этой точки	1	4
53	так же как	1	4
54	этой точки зрения	1	4
55	может быть только	1	4
56	к тому же	9	4
57	то ясно что	1	4
58	то же самое	3	4
59	равно как и	3	4
60	и тем более	2	4
61	мы можем сказать	1	4
62	можно было бы	1	4
63	но только не	1	4
64	в этом отношении	2	4
65	как будто бы	1	3
66	же что и	1	3
67	несмотря на то	1	3
68	он не может	1	3
69	одних и тех	1	3
70	в силу этого	1	3
71	ну а что	1	3
72	я мог бы	1	3
73	точки зрения самого	1	3
74	но все же	3	3
75	так как будто	1	3
76	бы то ни	3	3
77	так как все	1	3
78	и не может	1	3
79	это не мешает	1	3
80	в чем же	2	3
81	и тех же	1	3
82	о том как	5	3
83	хотя и не	2	3
84	не было бы	1	3
85	не только в	1	3
86	речь идет о	3	3
87	с самого начала	5	3
88	и с этой	2	3
89	что он не	3	2
90	все что угодно	1	2
91	что она не	1	2
92	и для этого	1	2
93	в каждом из	2	2
94	том что в	1	2
95	т е чисто	1	2
96	в собственном смысле	1	2
97	ничем не отличаются	1	2
98	всякому ясно что	1	2
99	а с точки	1	2
100	далеко не всегда	1	2
101	друг от друга	1	2
102	в нем не	1	2
103	со всеми ее	1	2
104	друг с другом	3	2
105	крайней мере с	1	2
106	даже если бы	1	2
107	в обоих случаях	1	2
108	не отличаются от	1	2
109	в отношении к	1	2
110	ни о чем	1	2
111	сомневаться в том	1	2
112	в чем не	2	2
113	не было и	1	2
114	но и все	1	2
115	не забудем что	1	2
116	прежде всего это	1	2
117	не менее в	1	2
118	так как он	2	2
119	в разной степени	1	2
120	в свою очередь	10	2
121	вместе с ним	3	2
122	все то же	1	2
123	не с точки	1	2
124	в это время	1	2
125	и в отношении	1	2
126	при всем том	2	2
127	как это было	1	2
128	в себе самом	1	2
129	не в состоянии	1	2
130	но никак не	1	2
131	мы не можем	1	2
132	для этого он	1	2
133	только на то	1	2
134	и все его	1	2
135	в лучшем случае	1	2
136	вопрос о том	1	2
137	и в том	1	2
138	в нем и	1	2
139	о чем другом	1	2
140	что и в	2	2
