N	3gram	Tiupa_Hudo	Otkroven
1	для того чтобы	5	3
2	преступлении и наказании	1	3
3	в преступлении и	1	3
4	не могут быть	1	2
5	в этом мире	2	2
6	не может быть	4	2
7	это было бы	1	2
8	в самом начале	1	1
9	к нему как	1	1
10	так и не	4	1
11	и не быть	1	1
12	он ни был	1	1
13	о том что	1	1
14	в том что	8	1
15	в том случае	1	1
16	жизни а не	1	1
17	добро и зло	1	1
18	в иных случаях	1	1
19	в виду не	3	1
20	как и в	1	1
21	может быть назван	1	1
22	в самом деле	2	1
23	том случае если	1	1
24	ивана карамазова в	1	1
25	он еще не	1	1
26	и в самом	3	1
27	ни к каким	1	1
28	как бы в	1	1
29	а в его	1	1
30	может быть осуществлено	1	1
31	и прежде всего	2	1
32	а не только	1	1
33	и состоит чтобы	1	1
34	заключает в себе	1	1
35	он не только	1	1
36	прежде всего в	1	1
37	отношение человека к	1	1
38	и в том	1	1
39	не было и	1	1
40	так и против	1	1
