N	4gram	Vygotskiy_	Dialekti
1	не что иное как	1	18
2	в то же время	1	14
3	одно и то же	3	12
4	есть не что иное	1	11
5	в то время как	7	8
6	одной и той же	5	5
7	с этой точки зрения	4	4
8	и то и другое	1	4
9	в том смысле что	2	4
10	с одной стороны и	4	4
11	в меру того что	1	4
12	с точки зрения самого	2	3
13	несмотря на то что	1	3
14	на самом же деле	1	3
15	что с точки зрения	1	2
16	не с точки зрения	1	2
17	только на то что	1	2
18	не содержит в себе	2	2
19	так же как и	2	2
20	была бы невозможна никакая	1	1
21	вопрос о том как	1	1
22	до тех пор пока	1	1
23	в качестве одного из	1	1
24	в том что в	2	1
25	заключается только в том	2	1
26	говорить не только о	1	1
27	то что с точки	1	1
28	друг к другу как	1	1
29	может и должен быть	1	1
30	ясным и убедительным если	1	1
31	друг от друга и	1	1
32	и вместе с тем	2	1
33	в такой же мере	3	1
34	в этом отношении с	1	1
35	это привело нас к	1	1
36	все больше и больше	2	1
37	по самой своей природе	4	1
38	а потому что они	1	1
39	заключается в том что	9	1
40	то что говорится о	1	1
41	указывает только на то	1	1
42	он исходит из того	1	1
43	же как и в	1	1
44	с самого начала что	1	1
45	с точки зрения законов	1	1
46	точно так же как	3	1
47	не содержат в себе	3	1
48	не может выйти из	1	1
49	не может быть в	1	1
50	возможно только потому что	1	1
51	все то же самое	1	1
52	одной стороны и с	1	1
53	быть выражено бесконечным количеством	1	1
54	в том что она	2	1
55	в основе ее лежит	1	1
56	и в зависимости от	1	1
57	до сих пор мы	1	1
58	тем не менее все	1	1
59	по образу и подобию	1	1
60	и в этом заключается	1	1
61	и не может быть	2	1
62	как и то что	1	1
63	внимание на то что	2	1
64	с точки зрения своей	1	1
65	обратном в том что	1	1
66	в этом и заключается	1	1
67	в какой мере не	2	1
68	о том что в	1	1
69	даже если бы мы	1	1
70	сама по себе она	1	1
71	то время как в	1	1
72	от частного к общему	2	1
73	можно было бы показать	1	1
74	может быть выражено бесконечным	1	1
75	не чем иным как	2	1
76	в том что он	2	1
77	в обратном в том	1	1
78	то и другое не	1	1
79	и во всяком случае	1	1
80	в том что они	1	1
81	исходит из того что	1	1
82	приводит к тому что	3	1
83	ни в какой мере	2	1
84	в одно и то	1	1
85	привело к тому что	1	1
86	в самом деле если	1	1
