N	4gram	Losev_Prob	Freidism
1	одной и той же	1	3
2	один и тот же	1	3
3	но в то же	1	3
4	и не может быть	1	3
5	не чем иным как	2	2
6	заключается в том что	2	2
7	и тем не менее	8	2
8	на самом же деле	1	2
9	говорить о том что	1	2
10	ни в каком случае	6	2
11	и тот же предмет	1	1
12	но вместо этого он	1	1
13	о том что это	2	1
14	но тем не менее	1	1
15	время иметь в виду	1	1
16	мы говорили выше в	1	1
17	или по крайней мере	4	1
18	все больше и больше	1	1
19	если бы он был	1	1
20	в нем может быть	1	1
21	во что бы то	2	1
22	которой мы говорили выше	1	1
23	как мы уже сказали	1	1
24	бы то ни стало	2	1
25	мы имеем в виду	1	1
26	и только в таком	1	1
27	не выходит за пределы	1	1
28	и в данном случае	1	1
29	одно и то же	1	1
30	и ни в какой	1	1
31	случае не может быть	1	1
32	дело в том что	3	1
33	нужно сказать и о	2	1
34	сказать и о других	1	1
35	так и в отношении	1	1
36	в том что в	1	1
37	ведь для того чтобы	1	1
38	тем не менее он	2	1
39	что бы то ни	2	1
40	в каком случае не	4	1
41	не что иное как	5	1
42	и в то же	1	1
43	о которой мы говорили	1	1
44	и не подозревает об	1	1
45	во всяком случае не	1	1
46	что же это за	1	1
47	в самом деле если	1	1
48	есть не что иное	5	1
49	а может быть и	2	1
