N	2gram	Potebnia_M	Tvorches
1	и в	48	56
2	как бы	10	41
3	в его	6	37
4	в то	16	30
5	то же	35	25
6	не только	32	24
7	же время	8	24
8	но в	8	24
9	как и	22	23
10	то есть	53	23
11	и не	28	23
12	а в	14	23
13	и его	4	23
14	в этом	19	22
15	и т	12	22
16	что в	30	21
17	в том	47	21
18	он не	4	19
19	том что	28	19
20	может быть	46	19
21	потому что	82	19
22	у него	3	18
23	то что	37	18
24	таким образом	24	17
25	и на	5	17
26	что он	8	17
27	т д	5	17
28	все это	4	17
29	при этом	6	16
30	но и	30	16
31	никогда не	2	16
32	как в	17	16
33	прежде всего	6	16
34	не может	18	16
35	и с	4	15
36	xix века	1	15
37	в мире	3	15
38	но это	9	15
39	в этой	3	15
40	с его	1	15
41	и даже	3	14
42	это не	2	14
43	там же	8	13
44	о том	7	13
45	времени в	1	13
46	а не	22	13
47	в котором	7	12
48	же с	7	12
49	тем самым	11	12
50	в целом	5	12
51	в своей	2	11
52	все же	3	11
53	для него	14	11
54	в самом	11	10
55	он сам	2	10
56	не в	24	10
57	только в	29	10
58	когда он	1	10
59	уже в	10	10
60	так и	17	10
61	но не	8	10
62	как будто	1	10
63	в душе	17	9
64	в своих	2	9
65	и от	5	9
66	один из	7	9
67	жизни в	1	9
68	в свою	6	9
69	человека в	2	9
70	в нем	16	9
71	во многом	3	9
72	даже в	3	8
73	именно в	5	8
74	не менее	9	8
75	так же	6	8
76	к этому	3	8
77	хотя и	3	8
78	одним из	3	8
79	вместе с	22	8
80	тогда как	8	8
81	одной из	3	8
82	еще не	9	8
83	в себе	26	8
84	так как	20	8
85	в их	2	8
86	на его	4	8
87	об этом	4	8
88	вовсе не	13	8
89	человека и	8	8
90	в этих	2	7
91	и сам	1	7
92	например в	9	7
93	уже не	11	7
94	он видит	1	7
95	что она	4	7
96	влияние на	3	7
97	и он	1	7
98	в которой	9	7
99	в чем	6	7
100	своего рода	1	7
101	самом деле	5	7
102	во сне	1	7
103	еще более	1	6
104	не столько	2	6
105	и как	8	6
106	на эту	1	6
107	хотя бы	3	6
108	его в	6	6
109	так что	14	6
110	и ее	1	6
111	а потому	8	6
112	и далее	1	6
113	с ним	10	6
114	если бы	20	6
115	и все	5	6
116	все эти	1	6
117	место в	4	6
118	мысли и	8	5
119	что человек	4	5
120	быть может	7	5
121	в них	9	5
122	что этот	2	5
123	с другой	8	5
124	приходит к	1	5
125	по отношению	12	5
126	в своем	6	5
127	в одной	1	5
128	из них	11	5
129	что они	2	5
130	что у	4	5
131	на него	3	5
132	в ее	3	5
133	что и	16	5
134	не было	12	5
135	что не	12	5
136	в таком	6	5
137	я не	1	5
138	и это	6	5
139	а с	4	5
140	что это	6	5
141	т п	7	5
142	в наше	1	5
143	если не	6	5
144	между тем	19	5
145	в первой	1	5
146	значит что	2	5
147	показывает что	2	5
148	однако это	1	5
149	не так	1	5
150	на деле	8	5
151	та же	3	5
152	романа и	1	5
153	с этим	12	5
154	в современном	1	5
155	в истории	2	5
156	начиная с	1	5
157	в образе	4	5
158	том же	2	5
159	но если	2	5
160	тот же	2	5
161	ничего не	1	5
162	у гоголя	1	5
163	мы не	17	5
164	как у	2	5
165	бы не	6	5
166	в виде	3	5
167	но с	1	5
168	но эта	3	5
169	в ту	2	5
170	и по	5	5
171	и других	3	5
172	что я	5	5
173	как он	1	5
174	отношению к	10	5
175	в известной	3	5
176	человеческой души	1	4
177	с этой	2	4
178	а у	1	4
179	него в	1	4
180	тем что	13	4
181	наш взгляд	1	4
182	так в	4	4
183	а а	2	4
184	но эти	1	4
185	по самой	1	4
186	только на	4	4
187	говорить о	6	4
188	и когда	1	4
189	превращается в	3	4
190	не вполне	1	4
191	с большим	1	4
192	что все	5	4
193	точки зрения	4	4
194	это значит	1	4
195	крайней мере	8	4
196	к нему	7	4
197	мы видим	3	4
198	и мы	3	4
199	по преимуществу	1	4
200	и потому	9	4
201	с точки	3	4
202	стремится к	3	4
203	не знает	4	4
204	что его	3	4
205	который в	2	4
206	так сказать	6	4
207	сих пор	4	4
208	в такой	2	4
209	в каждом	6	4
210	тут же	2	4
211	не означает	1	4
212	не мог	1	4
213	как это	1	4
214	но только	3	4
215	и я	3	4
216	на стороне	2	4
217	но без	2	4
218	заставляет нас	3	4
219	себя в	1	4
220	однако в	1	4
221	могут быть	6	4
222	и есть	4	4
223	ведет к	1	4
224	до сих	4	4
225	известно что	4	4
226	в действии	1	4
227	в область	1	4
228	в человеке	4	4
229	с ними	6	4
230	на наш	2	4
231	в которых	5	4
232	свое я	1	4
233	по крайней	8	4
234	перед нами	3	4
235	нет ничего	2	4
236	это и	2	4
237	его и	1	4
238	и более	4	4
239	сливается с	2	4
240	связана с	1	4
241	эта мысль	2	4
242	времени и	2	4
243	при помощи	2	4
244	между людьми	2	4
245	той же	6	4
246	того что	24	4
247	это был	1	4
248	зависит от	7	4
249	отказаться от	2	4
250	дело в	1	4
251	было в	6	4
252	о жизни	1	4
253	особенно в	1	4
254	с самого	1	4
255	он говорит	3	4
256	он ни	1	4
257	отличие от	2	4
258	но он	3	4
259	далеко не	5	4
260	из жизни	1	4
261	и наконец	3	4
262	что на	3	4
263	и к	5	3
264	от него	2	3
265	в настоящем	1	3
266	только что	12	3
267	в с	1	3
268	в виду	1	3
269	другой стороны	4	3
270	но что	4	3
271	по себе	26	3
272	это определение	2	3
273	связь с	4	3
274	людей и	2	3
275	в первом	5	3
276	мысль о	12	3
277	с высоты	2	3
278	в жизни	1	3
279	давно уже	4	3
280	к самому	2	3
281	только для	3	3
282	отличается от	1	3
283	так например	3	3
284	к тому	9	3
285	на все	3	3
286	во всяком	4	3
287	можно сказать	4	3
288	больше чем	1	3
289	точно так	15	3
290	как она	2	3
291	в одном	4	3
292	перед ним	1	3
293	с другим	2	3
294	и еще	1	3
295	сказать что	8	3
296	едва ли	1	3
297	не то	6	3
298	то в	1	3
299	время в	3	3
300	мы знаем	1	3
301	несмотря на	2	3
302	сильнее чем	1	3
303	к которому	1	3
304	тому же	1	3
305	как по	1	3
306	для того	8	3
307	я и	3	3
308	не есть	24	3
309	в себя	1	3
310	действительности и	3	3
311	него есть	1	3
312	всяком случае	3	3
313	эти слова	2	3
314	совсем не	2	3
315	и тем	8	3
316	должны быть	3	3
317	и что	13	3
318	для человека	8	3
319	даже не	2	3
320	что для	5	3
321	его как	3	3
322	и др	1	3
323	любви к	1	3
324	его к	2	3
325	там где	6	3
326	от ее	2	3
327	гораздо более	1	3
328	в один	4	3
329	в искусстве	6	3
330	пришел к	1	3
331	во второй	1	3
332	образом и	3	3
333	если в	2	3
334	его с	3	3
335	был бы	2	3
336	для себя	3	3
337	сводится к	1	3
338	себе не	6	3
339	до этого	2	3
340	заключается в	2	3
341	развития в	2	3
342	в процессе	2	3
343	вряд ли	4	3
344	может не	1	3
345	никто не	5	3
346	да и	2	3
347	о котором	2	3
348	со стороны	4	3
349	т с	31	3
350	не является	1	3
351	и если	4	3
352	и тогда	4	3
353	в которую	1	3
354	и до	2	3
355	идеи в	2	3
356	по сей	1	3
357	сами по	3	3
358	нет и	2	3
359	как мы	8	3
360	на этот	1	3
361	друг друга	6	3
362	во времени	2	3
363	жизни не	3	3
364	человека но	1	3
365	но на	2	3
366	что оно	12	3
367	нет ни	2	3
368	свидетельствует о	1	3
369	действительности в	1	3
370	и вот	1	3
371	что с	2	3
372	ее в	2	3
373	на самом	4	3
374	у нас	2	3
375	таком случае	2	3
376	не существует	5	3
377	или в	4	3
378	но уже	2	3
379	идеи и	2	3
380	при виде	1	3
381	не все	5	3
382	человека к	1	3
383	этого он	1	3
384	не по	1	3
385	нельзя не	1	3
386	в ней	11	3
387	важную роль	1	3
388	по этому	2	3
389	из этих	10	3
390	а по	1	3
391	и их	4	3
392	не с	4	3
393	свобода воли	1	3
394	в начале	3	3
395	несколько раз	2	3
396	лишь в	2	3
397	отношение к	2	3
398	к ней	7	3
399	самой своей	1	3
400	одного из	1	3
401	бы он	1	3
402	во многих	3	3
403	сердце и	1	3
404	жизни и	3	3
405	в области	3	3
406	и только	5	3
407	это в	2	3
408	к другим	4	3
409	они имеют	1	2
410	человек может	2	2
411	мы наблюдаем	1	2
412	все что	4	2
413	еще раз	2	2
414	же и	3	2
415	которая в	1	2
416	свою личную	1	2
417	не мешает	1	2
418	и имеет	1	2
419	с самим	1	2
420	эта идея	1	2
421	по выражению	1	2
422	время не	1	2
423	в результате	1	2
424	ясно что	1	2
425	по способу	1	2
426	по мере	12	2
427	как было	1	2
428	вслед за	6	2
429	относится и	1	2
430	из нее	2	2
431	участвует в	1	2
432	с тем	9	2
433	одном из	4	2
434	начинается с	1	2
435	только через	1	2
436	приходит в	1	2
437	их в	3	2
438	стремления к	1	2
439	в одно	8	2
440	в художественном	1	2
441	когда в	2	2
442	человек сознает	1	2
443	но мы	3	2
444	художественное произведение	6	2
445	связано с	2	2
446	нам представляется	1	2
447	г в	1	2
448	ассоциации с	1	2
449	и того	2	2
450	в данном	3	2
451	то это	9	2
452	в действительности	7	2
453	следовало бы	2	2
454	как та	2	2
455	которой он	1	2
456	он был	1	2
457	нас и	1	2
458	представляется нам	2	2
459	входит в	3	2
460	мир его	1	2
461	имеет в	1	2
462	только как	9	2
463	но даже	3	2
464	представлял себе	1	2
465	к своей	2	2
466	из себя	3	2
467	а между	6	2
468	самого себя	3	2
469	свою очередь	6	2
470	так мы	1	2
471	в глаза	2	2
472	но этот	2	2
473	на ней	1	2
474	как на	6	2
475	на наших	1	2
476	настоящее время	1	2
477	в пространстве	1	2
478	когда человек	3	2
479	по поводу	8	2
480	уже по	3	2
481	того же	5	2
482	жизни с	1	2
483	намек на	1	2
484	жизнь и	1	2
