N	2gram	Propp_Morf	PoTuStor
1	может быть	61	17
2	и в	17	16
3	и пр	45	12
4	таким образом	26	9
5	в этом	18	9
6	прежде всего	14	9
7	мы можем	5	9
8	и только	3	9
9	совершенно не	1	8
10	точки зрения	7	8
11	и с	1	8
12	не может	19	8
13	и его	3	8
14	не только	8	7
15	сказать что	4	7
16	с его	3	7
17	и к	4	6
18	при этом	1	6
19	для него	2	6
20	самом деле	4	6
21	и это	1	6
22	с точки	6	6
23	что такое	3	5
24	ни в	3	5
25	все эти	5	5
26	только для	2	5
27	в чем	2	5
28	еще не	4	5
29	как бы	6	5
30	отношение к	1	5
31	в него	1	5
32	а потому	2	4
33	все что	1	4
34	для всех	1	4
35	и на	1	4
36	так как	20	4
37	все это	2	4
38	в его	1	4
39	так и	10	4
40	на самом	4	4
41	его в	4	4
42	и даже	2	4
43	и все	1	4
44	с ними	1	4
45	только в	3	4
46	и не	16	4
47	но мы	3	4
48	можно сказать	2	4
49	с самого	1	4
50	но и	9	4
51	хотя бы	5	4
52	и может	1	4
53	и их	3	4
54	самого начала	1	4
55	в этой	3	4
56	как мы	8	4
57	с ее	1	4
58	в один	3	4
59	и ее	5	4
60	и наконец	1	4
61	но в	4	4
62	и вот	1	3
63	до сих	1	3
64	к себе	2	3
65	в том	10	3
66	те же	1	3
67	с другими	2	3
68	между ними	1	3
69	их в	2	3
70	отношения к	1	3
71	учение о	5	3
72	и как	6	3
73	что в	10	3
74	и она	1	3
75	том что	7	3
76	большинстве случаев	3	3
77	на этом	4	3
78	в этих	17	3
79	во всех	6	3
80	но оно	2	3
81	во всяком	2	3
82	в основе	2	3
83	и притом	1	3
84	тех же	4	3
85	только как	1	3
86	как это	7	3
87	только на	1	3
88	в одном	2	3
89	даже не	3	3
90	пр и	3	3
91	а в	8	3
92	в большинстве	3	3
93	то что	10	3
94	и др	12	3
95	могут быть	21	3
96	и есть	3	3
97	сих пор	1	3
98	в области	1	3
99	всяком случае	2	3
100	во время	6	3
101	в свое	2	2
102	мы видим	15	2
103	и этот	2	2
104	это делает	1	2
105	они не	3	2
106	мы не	8	2
107	с этой	3	2
108	по всему	3	2
109	ни было	2	2
110	что это	3	2
111	ее в	3	2
112	может иметь	1	2
113	для нас	2	2
114	и этим	7	2
115	но как	3	2
116	что и	10	2
117	у него	2	2
118	не на	2	2
119	не могут	7	2
120	со всеми	1	2
121	в них	1	2
122	а на	3	2
123	чувства и	1	2
124	не знает	2	2
125	что не	1	2
126	и действительно	1	2
127	здесь же	3	2
128	вообще не	2	2
129	между собою	2	2
130	можно назвать	3	2
131	но ведь	1	2
132	как и	4	2
133	что он	5	2
134	есть в	1	2
135	не есть	1	2
136	в своей	1	2
137	связанные с	1	2
138	как с	1	2
139	по своему	2	2
140	себя и	2	2
141	только и	1	2
142	войти в	1	2
143	в итоге	2	2
144	не менее	7	2
145	в каком	2	2
146	во сне	2	2
147	путь к	2	2
148	и таким	2	2
149	на первый	3	2
150	и вообще	1	2
151	с этим	14	2
152	к этому	4	2
153	оно не	2	2
154	не существует	3	2
155	между собой	5	2
156	что мы	2	2
157	мы уже	4	2
158	все остальные	1	2
159	из этих	2	2
160	на друга	2	2
161	ту же	2	2
162	совсем не	3	2
163	в этот	1	2
164	он не	5	2
165	кажется что	1	2
166	с помощью	1	2
167	в частности	2	2
168	не будет	1	2
169	для меня	1	2
170	говорить о	4	2
171	всех других	2	2
172	есть и	4	2
173	в начале	3	2
174	в пределах	3	2
175	как не	1	2
176	так же	4	2
177	момента в	1	2
178	друг на	2	2
179	было бы	5	2
180	к следующему	1	2
181	если мы	6	2
182	в систему	1	2
183	находится в	1	2
184	о том	6	2
185	в голову	1	2
186	во всей	1	2
187	момент в	2	2
188	один из	7	2
189	и по	3	2
190	определить как	1	2
191	но это	6	2
192	и для	4	2
193	понятия и	1	2
194	то же	10	2
195	не можем	1	2
196	с привлечением	1	1
197	во всем	1	1
198	бы то	3	1
199	об их	1	1
200	дает нам	1	1
201	что они	5	1
202	этой работе	1	1
203	и различными	1	1
204	служит в	1	1
205	вспомним хотя	1	1
206	и то	1	1
207	никак нельзя	1	1
208	в другой	1	1
209	заметим что	3	1
210	образом и	1	1
211	даны в	1	1
212	и здесь	7	1
213	та же	3	1
214	перевести на	1	1
215	только те	1	1
216	же и	1	1
217	в коем	1	1
218	данном случае	2	1
219	в момент	1	1
220	только что	3	1
221	пользу и	1	1
222	на вопрос	2	1
223	не слишком	3	1
224	живое существо	2	1
225	время и	1	1
226	работу в	1	1
227	с одной	2	1
228	на ее	1	1
229	мог бы	1	1
230	в состоянии	1	1
231	не будем	5	1
232	дело с	1	1
233	мы имеем	19	1
234	в применении	1	1
235	это и	3	1
236	несмотря на	4	1
237	на работу	2	1
238	посвящена настоящая	1	1
239	процессы и	1	1
240	уже знаем	1	1
241	из моментов	1	1
242	хотя и	5	1
243	а ведь	1	1
244	по принципу	1	1
245	этом отношении	2	1
246	с тем	2	1
247	в море	5	1
248	что при	3	1
249	в сущности	3	1
250	в каких-либо	1	1
251	как раз	1	1
252	в некоторых	4	1
253	мифах и	1	1
254	привести к	1	1
255	о нем	1	1
256	в качестве	8	1
257	быть поняты	1	1
258	потому не	2	1
259	в полном	1	1
260	и определение	1	1
261	не являются	1	1
262	у нас	3	1
263	теряет свою	1	1
264	конечно служит	1	1
265	и делает	1	1
266	его рождения	1	1
267	в виду	1	1
268	переносятся на	1	1
269	подобно тому	6	1
270	останавливаться не	1	1
271	и братьев	1	1
272	можно было	4	1
273	действия но	1	1
274	связанная с	1	1
275	работы и	1	1
276	вне этой	1	1
277	как они	2	1
278	в своих	2	1
279	наконец мы	1	1
280	связи с	12	1
281	или во	1	1
282	как живое	1	1
283	приходим к	3	1
284	этой точки	1	1
285	на этот	2	1
286	утверждение что	1	1
287	представляет собою	8	1
288	не более	1	1
289	если бы	3	1
290	конечно и	1	1
291	иногда и	2	1
292	именно и	1	1
293	все органические	1	1
294	что его	4	1
295	этим и	1	1
296	но эта	1	1
297	это мы	2	1
298	дело в	1	1
299	оно есть	1	1
300	и начинается	1	1
301	он может	2	1
302	пр как	1	1
303	нужно только	1	1
304	но не	8	1
305	эти две	1	1
306	как его	1	1
307	все события	1	1
308	уже совершенно	1	1
309	а то	3	1
310	на другие	2	1
311	случае не	4	1
312	в связи	10	1
313	те формы	1	1
314	очень важный	2	1
315	этой цели	1	1
316	с теми	4	1
317	в мире	1	1
318	все же	9	1
319	основано на	1	1
320	не что	2	1
321	перейти к	2	1
322	приводит к	3	1
323	на все	1	1
324	не имеет	2	1
325	и со	1	1
326	и могут	1	1
327	остановимся на	1	1
328	этом нет	1	1
329	выше мы	1	1
330	по его	1	1
331	рабочая гипотеза	1	1
332	ключом к	1	1
333	выводятся из	1	1
334	но теоретически	1	1
335	он является	1	1
336	за ней	2	1
337	это было	3	1
338	влияния на	1	1
339	плохо если	1	1
340	отец не	1	1
341	роль в	2	1
342	со стороны	5	1
343	пока не	1	1
344	на его	5	1
345	пару с	1	1
346	мы считаем	1	1
347	с другом	1	1
348	же законы	1	1
349	на своем	1	1
350	но если	10	1
351	словами и	1	1
352	вовсе не	6	1
353	но к	1	1
354	уже не	4	1
355	к тому	5	1
356	где оно	2	1
357	не входит	2	1
358	на одном	1	1
359	а для	1	1
360	той или	1	1
361	а потом	2	1
362	первый взгляд	3	1
363	этот мотив	1	1
364	и были	1	1
365	этих двух	1	1
366	книга о	1	1
367	и отсюда	3	1
368	что эти	3	1
369	в известных	1	1
370	его мать	1	1
371	без всякой	2	1
372	ко всему	1	1
373	предположить что	1	1
374	его и	2	1
375	он был	1	1
376	а с	2	1
377	в данном	2	1
378	о мотивах	2	1
379	всего и	1	1
380	же с	1	1
381	наука о	2	1
382	вытекает из	2	1
383	вопрос о	10	1
384	применении к	1	1
385	мы говорили	1	1
386	в основных	1	1
387	мы увидим	10	1
388	в самых	2	1
389	это достигается	1	1
390	она не	2	1
391	же причина	1	1
392	в течение	1	1
393	в свою	1	1
394	входит в	4	1
395	его не	1	1
396	того чтобы	4	1
397	одной стороны	2	1
398	и ни	1	1
399	не дает	1	1
400	здесь только	2	1
401	в другом	2	1
402	то ни	3	1
403	для того	3	1
404	тому как	5	1
405	в каких	2	1
406	но всегда	1	1
407	предметов и	1	1
408	явления и	1	1
409	быть не	1	1
410	еще одно	1	1
411	что судьба	1	1
412	определить ее	1	1
413	в борьбу	1	1
414	не всегда	10	1
415	очень широко	1	1
416	является его	1	1
417	значение и	3	1
418	точно и	1	1
419	одним словом	1	1
420	а не	11	1
421	есть то	1	1
422	к тем	1	1
423	увидим что	2	1
424	она начинает	1	1
425	значение для	1	1
426	должны быть	2	1
427	имеем в	8	1
428	которые можно	1	1
429	да в	1	1
430	и что	3	1
431	как он	1	1
432	и об	1	1
433	только такое	1	1
434	так чтобы	1	1
435	где же	1	1
436	конечно в	1	1
437	в нашей	1	1
438	еще в	1	1
439	на другой	1	1
440	к чему	3	1
441	и посвящена	1	1
442	можно ли	1	1
443	не место	1	1
444	она хочет	1	1
445	от того	4	1
446	из одного	1	1
447	как один	1	1
448	а во	3	1
449	входить в	2	1
450	под которым	1	1
451	мотив и	2	1
452	бы по	1	1
453	в мифах	1	1
