N	3gram	Berdyaev_M	OGranits
1	с точки зрения	1	5
2	не может быть	22	4
3	по отношению к	4	3
4	есть прежде всего	4	3
5	в том что	3	2
6	не что иное	4	2
7	в зависимости от	1	2
8	есть не что	3	2
9	зависимости от этого	1	2
10	в самом деле	1	2
11	что иное как	4	2
12	и уж конечно	2	1
13	не было бы	5	1
14	эта аналогия между	1	1
15	в этот момент	1	1
16	на самом деле	1	1
17	том основании что	2	1
18	не могу поверить	1	1
19	на том основании	2	1
20	между тем как	2	1
21	подобно тому как	2	1
22	так же как	1	1
23	быть может в	1	1
24	на то что	1	1
25	для того чтобы	4	1
26	быть и речи	1	1
27	том что в	1	1
28	и других представителей	1	1
29	и никогда не	3	1
30	в которых он	2	1
31	с одним из	1	1
32	что в основе	1	1
33	выйти за пределы	1	1
34	в отличие от	1	1
35	и есть не	1	1
36	выходит за пределы	1	1
37	нужно сказать что	1	1
38	как и в	2	1
39	а вовсе не	1	1
40	к тому что	1	1
41	та или иная	1	1
42	в разных местах	2	1
43	нет и не	1	1
44	в этом отношении	1	1
45	в свои права	1	1
46	но и его	1	1
47	прежде всего в	2	1
48	не мог бы	2	1
49	можно было бы	1	1
50	но не менее	1	1
51	и вместе с	4	1
52	и не может	2	1
53	может быть и	2	1
