N	2gram	Tiupa_Narr	VeschiIm
1	не есть	3	79
2	и не	20	57
3	не только	32	48
4	то что	11	48
5	не может	10	46
6	и в	19	45
7	и есть	2	40
8	может быть	25	39
9	а не	12	37
10	общения с	1	25
11	потому что	1	25
12	было бы	4	24
13	только в	4	23
14	по себе	5	23
15	в себе	8	23
16	сказать что	4	22
17	в смысле	1	22
18	как бы	4	20
19	что это	3	19
20	с нею	1	19
21	но и	23	19
22	и ее	2	19
23	в этом	17	18
24	все же	7	18
25	что мы	2	17
26	прежде всего	4	17
27	есть не	1	17
28	таким образом	1	16
29	оно есть	1	16
30	того что	2	16
31	как раз	2	16
32	от всего	1	15
33	как и	7	15
34	уже не	5	15
35	в том	18	15
36	в ней	3	15
37	но это	1	14
38	и то	1	14
39	не в	14	14
40	в самом	1	13
41	не будет	3	13
42	том что	14	13
43	и больше	1	13
44	и для	2	13
45	это и	3	13
46	в себя	6	13
47	то ни	3	13
48	что в	3	12
49	и с	4	12
50	бы то	3	12
51	то же	4	12
52	и даже	3	12
53	есть нечто	1	12
54	есть то	1	12
55	о том	6	12
56	еще не	7	12
57	не что	2	12
58	точки зрения	10	12
59	ничего не	2	12
60	что они	3	12
61	что иное	2	12
62	ни было	3	12
63	совершенно не	2	12
64	что и	1	12
65	и как	5	12
66	иное как	2	12
67	содержит в	1	11
68	не менее	3	11
69	себя в	5	11
70	и пр	1	11
71	тем не	3	11
72	ни в	3	11
73	что не	4	11
74	вовсе не	1	11
75	также и	1	11
76	в то	3	11
77	и только	2	11
78	по крайней	1	10
79	в чем	1	10
80	крайней мере	1	10
81	что оно	1	10
82	с ее	3	10
83	с ним	1	9
84	в результате	2	9
85	со стороны	9	9
86	то и	1	9
87	хотя бы	4	9
88	говорить о	2	9
89	в своем	2	9
90	ни с	1	9
91	это не	2	9
92	у нас	1	9
93	если оно	1	9
94	ли это	1	9
95	она не	2	9
96	но не	6	9
97	и его	5	9
98	должна быть	2	8
99	если бы	1	8
100	что он	6	8
101	себя и	2	8
102	отличается от	4	8
103	но в	6	8
104	мы не	1	8
105	мы имеем	2	8
106	для него	2	8
107	в ее	3	8
108	с другими	1	8
109	его в	2	8
110	и потому	2	8
111	не с	3	8
112	даже не	3	8
113	с другой	8	8
114	можно сказать	5	8
115	отнюдь не	5	8
116	с этой	1	7
117	в сущности	3	7
118	оно не	2	7
119	самом деле	2	7
120	все эти	2	7
121	тем что	3	7
122	ни на	1	7
123	в действительности	1	7
124	и тогда	1	7
125	мог бы	3	7
126	и тем	4	7
127	от того	1	7
