N	3gram	Bakhtin_Pr	PoTuStor
1	с точки зрения	6	6
2	на самом деле	3	4
3	до сих пор	1	3
4	не может быть	11	3
5	и художественного творчества	2	3
6	в большинстве случаев	5	3
7	в чем не	2	3
8	в этом смысле	3	3
9	по сравнению с	1	3
10	можно сказать что	2	3
11	ни в чем	2	3
12	мы можем сказать	2	2
13	все то что	3	2
14	и с его	2	2
15	в конечном счете	4	2
16	в нем нет	1	2
17	все и вся	1	2
18	и может быть	1	2
19	но отнюдь не	7	2
20	по аналогии с	1	2
21	во всех его	4	2
22	не могут быть	2	2
23	можно определить как	1	2
24	в самом деле	3	2
25	не нуждается в	1	2
26	в его целом	5	2
27	и в этом	1	2
28	со всех сторон	2	1
29	быть не может	1	1
30	так и в	2	1
31	в том что	3	1
32	с его помощью	1	1
33	не следует что	2	1
34	и не нуждается	1	1
35	не что иное	1	1
36	и быть не	1	1
37	что иное как	1	1
38	из всего сказанного	1	1
39	плотно со всех	1	1
40	не чем иным	1	1
41	дело в том	1	1
42	могут быть поняты	2	1
43	ни в коем	2	1
44	той или иной	2	1
45	только в этой	1	1
46	всех его моментах	1	1
47	в основных чертах	1	1
48	имеют дела с	1	1
49	но несмотря на	1	1
50	подобно тому как	1	1
51	и не должна	2	1
52	не дает нам	1	1
53	в применении к	3	1
54	в известной степени	2	1
55	останавливаться не будем	1	1
56	можно было бы	3	1
57	можем сказать что	1	1
58	дальше чем на	1	1
59	чрезвычайно характерно для	1	1
60	и есть та	1	1
61	все что угодно	1	1
62	в полном согласии	1	1
63	и прежде всего	5	1
64	никакому сомнению что	1	1
65	в данном случае	4	1
66	связями между ними	1	1
67	не имеют дела	1	1
68	снова и снова	1	1
69	в том смысле	1	1
70	и мы можем	1	1
71	конечно не может	1	1
72	конечно не следует	1	1
73	и как мы	1	1
74	конечно никакому сомнению	1	1
75	чем на один	1	1
76	чем иным как	1	1
77	не может иметь	1	1
78	и пр в	1	1
79	со всеми его	1	1
80	все что есть	1	1
81	то ни было	2	1
82	а иногда и	1	1
83	мы останавливаться не	1	1
84	на один шаг	1	1
85	и др и	1	1
86	в высшей степени	5	1
87	войти в историю	1	1
88	в свое время	1	1
89	и это касается	1	1
90	его отношение к	1	1
91	то же самое	2	1
92	жизни таким образом	1	1
93	нет и быть	1	1
94	и с физическим	1	1
95	в коем случае	2	1
96	для того чтобы	2	1
97	мы еще не	1	1
98	не подлежит конечно	1	1
99	художественного творчества и	3	1
100	в нем и	1	1
101	с одной стороны	3	1
102	на первый план	2	1
103	именно то что	1	1
104	все снова и	1	1
105	форму и содержание	1	1
106	полном согласии с	1	1
107	в этом отношении	2	1
108	таким образом и	1	1
109	вообще не может	1	1
110	это и есть	1	1
111	подлежит конечно никакому	1	1
112	бы то ни	3	1
113	чтобы войти в	1	1
114	имеем дело с	1	1
115	в связи с	1	1
116	может быть только	3	1
