N	3gram	Kanaev_Sov	VLabPisa
1	не может быть	4	8
2	по отношению к	1	7
3	в том что	1	5
4	в конечном счете	1	5
5	в зависимости от	4	5
6	в то же	1	5
7	то же время	1	5
8	равно как и	1	4
9	не было бы	1	4
10	не могут быть	1	4
11	в связи с	1	4
12	мы видели что	3	3
13	в этой области	1	3
14	и в то	1	3
15	одной стороны и	1	2
16	которая не может	1	2
17	во всяком случае	2	2
18	по крайней мере	1	2
19	не в том	1	2
20	мы знаем что	1	2
21	до сих пор	1	2
22	в каждом отдельном	5	2
23	не может не	3	2
24	с одной стороны	1	2
25	можно было бы	1	2
26	и не может	1	2
27	так же как	1	1
28	но ведь это	1	1
29	в свою очередь	2	1
30	разобраться в этой	1	1
31	той или иной	1	1
32	мы видим что	1	1
33	говорить только о	1	1
34	и может быть	1	1
35	в этом смысле	1	1
36	его таким образом	1	1
37	в том случае	1	1
38	в науке и	1	1
39	мы говорим о	1	1
40	в которой он	1	1
41	в этом случае	1	1
42	заключает в себе	1	1
43	может быть в	1	1
44	в самом деле	1	1
45	и благодаря этому	1	1
46	и во всех	1	1
47	что все они	1	1
48	прежде всего необходимо	1	1
49	зависимости от различных	1	1
50	на этот вопрос	1	1
51	и есть то	1	1
52	сами по себе	1	1
53	хотим сказать что	1	1
54	нет единства в	1	1
55	по аналогии с	1	1
56	не подлежит сомнению	2	1
57	быть и речи	1	1
58	в данном случае	1	1
59	именно в том	1	1
60	в новое время	1	1
61	то же самое	2	1
62	по его мнению	1	1
63	но все же	1	1
64	одна из них	1	1
65	а не только	1	1
66	оно может быть	1	1
67	тот или иной	1	1
68	те или иные	1	1
69	может быть и	2	1
