N	3gram	Berdyaev_M	SlovoVZh
1	по отношению к	4	11
2	не может быть	22	7
3	в том что	3	4
4	и по отношению	1	3
5	до сих пор	5	3
6	и не может	2	3
7	может быть и	2	3
8	имеем в виду	1	2
9	на самом деле	1	2
10	выходят за пределы	1	2
11	в отношении к	3	2
12	в зависимости от	1	2
13	что мы все	1	2
14	с точки зрения	1	2
15	и менее всего	2	1
16	только психологическое но	1	1
17	сих пор не	1	1
18	сам по себе	1	1
19	для него не	2	1
20	о том что	3	1
21	и уж конечно	2	1
22	в самом деле	1	1
23	нему как к	1	1
24	все более и	1	1
25	в высшей степени	4	1
26	в творчестве достоевского	7	1
27	и на этом	2	1
28	к нему как	1	1
29	и та же	2	1
30	как и в	2	1
31	том что все	1	1
32	сама по себе	1	1
33	в такой степени	2	1
34	и для него	2	1
35	на протяжении всей	1	1
36	место в творчестве	2	1
37	во всяком случае	1	1
38	в нем и	1	1
39	никогда не бывает	2	1
40	она не может	1	1
41	в этом направлении	1	1
42	подобно тому как	2	1
43	мы увидим что	4	1
44	же как и	1	1
45	и в нем	3	1
46	одна и та	2	1
47	так как будто	1	1
48	а не к	2	1
49	можно было бы	1	1
50	в этом отношении	1	1
51	так же как	1	1
52	между тем как	2	1
53	уже не способен	1	1
54	в свои права	1	1
55	но для этого	2	1
56	записок из подполья	5	1
57	уж конечно не	2	1
58	но и в	4	1
59	более и более	1	1
60	мы имеем в	1	1
61	в чем не	2	1
62	в значительной степени	2	1
63	то время как	2	1
64	это прежде всего	1	1
65	что до сих	1	1
66	том что в	1	1
67	и в этом	1	1
68	ни в чем	2	1
69	берет на себя	1	1
70	на этом основании	1	1
71	и тогда когда	1	1
72	в то время	2	1
73	человек и его	2	1
74	и потому не	3	1
75	как в жизни	1	1
76	если бы не	1	1
77	друг к другу	6	1
